Player,Pos,Age,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,Label
LeBron James,PF,28,0.406,0.602,0.603,0.753,97,513,551,129,67,226,110,2036,31.6,0.64,13.1,36.4,2.4,1.9,12.4,30.2,19.3,11.7,9.9,0.998,MVP,2013,Correct
Kevin Durant,SF,24,0.416,0.539,0.559,0.905,46,594,374,116,105,280,143,2280,28.3,0.647,11.8,21.7,1.9,2.6,13.7,29.8,18.9,9.3,8.9,0.632,Candidate,2013,Predicted
