Player,Pos,Age,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,Label
Michael Jordan,SG,32,0.427,0.506,0.525,0.834,148,395,352,180,42,197,195,2491,29.4,0.582,10.2,21.2,3.1,1.0,8.4,33.3,20.4,10.5,9.8,0.986,MVP,1996,Correct
Karl Malone,PF,32,0.4,0.522,0.524,0.723,175,629,345,138,56,199,245,2106,26.0,0.575,15.8,20.6,2.4,1.5,9.8,29.8,15.1,7.0,7.1,0.075,Candidate,1996,Predicted
