Player,Pos,Age,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,Label
Russell Westbrook,PG,28,0.343,0.459,0.476,0.845,137,727,840,132,31,438,190,2558,30.6,0.554,17.1,57.3,2.3,0.9,15.9,41.7,13.1,11.1,9.3,0.879,MVP,2017,Correct
James Harden,PG,27,0.347,0.53,0.525,0.847,95,564,907,121,38,464,215,2356,27.4,0.613,12.2,50.7,2.0,1.0,19.5,34.2,15.0,8.7,8.0,0.746,Candidate,2017,Predicted
