Player,Pos,Age,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,Label
Michael Jordan,SG,24,0.132,0.546,0.537,0.841,139,310,485,259,131,252,270,2868,31.7,0.603,7.8,27.0,3.9,2.4,9.6,34.1,21.2,13.0,12.5,0.831,MVP,1988,Correct
Larry Bird,SF,31,0.414,0.546,0.556,0.916,108,595,467,125,57,213,157,2275,27.8,0.608,14.0,25.7,2.1,1.1,10.2,30.2,15.0,8.8,8.1,0.659,Candidate,1988,Predicted
