Player,Pos,Age,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,Label
Julius Erving,SF,30,0.222,0.525,0.522,0.787,244,413,364,173,147,266,233,2014,25.1,0.572,12.5,19.8,2.8,2.8,13.1,28.4,13.8,7.5,6.9,0.658,MVP,1981,Correct
Kareem Abdul-Jabbar,C,33,0.0,0.574,0.574,0.766,197,624,272,59,228,249,244,2095,25.5,0.616,15.0,13.6,0.9,4.0,12.8,26.3,14.3,6.1,6.1,0.414,Candidate,1981,Predicted
