Player,Pos,Age,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,Label
Derrick Rose,PG,22,0.332,0.481,0.485,0.858,81,249,623,85,51,278,136,2026,23.5,0.55,6.4,38.7,1.5,1.3,13.1,32.2,13.1,6.8,6.7,0.977,MVP,2011,Correct
LeBron James,SF,26,0.33,0.552,0.541,0.759,80,510,554,124,50,284,163,2111,27.3,0.594,11.4,34.9,2.1,1.3,13.8,31.5,15.6,8.1,7.8,0.431,Candidate,2011,Predicted
