Player,Pos,Age,Tm,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,W/L%,Label
Kobe Bryant,SG,29,LAL,0.361,0.49,0.503,0.84,94,423,441,151,40,257,227,2323,24.2,0.576,9.0,23.9,2.4,0.9,11.3,31.4,13.8,5.8,6.3,0.873,MVP,2008,0.695,Correct
LeBron James,SF,23,CLE,0.315,0.531,0.518,0.712,133,459,539,138,81,255,165,2250,29.1,0.568,11.1,37.3,2.4,2.1,11.4,33.5,15.2,10.9,9.8,0.348,Candidate,2008,0.549,Predicted
