Player,Pos,Age,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,Label
Moses Malone,C,26,0.0,0.52,0.519,0.762,558,630,142,76,125,294,208,2520,26.8,0.576,19.3,6.9,1.1,2.1,11.9,29.9,15.4,4.5,5.5,0.735,MVP,1982,Correct
George Gervin,SG,29,0.278,0.504,0.502,0.864,138,254,187,77,45,210,215,2551,24.2,0.562,7.5,11.4,1.3,0.9,8.5,35.0,10.7,3.9,4.2,0.159,Candidate,1982,Predicted
