Player,Pos,Age,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,Label
Karl Malone,PF,33,0.0,0.555,0.55,0.755,193,616,368,113,48,233,217,2249,28.9,0.6,16.8,24.5,2.0,1.3,11.1,32.7,16.7,8.2,7.7,0.857,MVP,1997,Correct
Michael Jordan,SG,33,0.374,0.507,0.516,0.833,113,369,352,140,44,166,156,2431,27.8,0.567,8.8,21.2,2.4,1.1,7.2,33.2,18.3,8.9,8.6,0.832,Candidate,1997,Predicted
