Player,Pos,Age,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,Label
Larry Bird,SF,29,0.423,0.506,0.521,0.896,190,615,557,166,51,266,182,2115,25.6,0.58,14.2,26.3,2.5,0.9,12.7,27.6,15.8,8.7,8.4,0.981,MVP,1986,Correct
Michael Jordan,SG,22,0.167,0.474,0.462,0.84,23,41,53,37,21,45,46,408,27.5,0.533,8.0,21.7,3.9,2.7,10.5,38.6,1.5,9.7,1.3,0.0,OOR,1986,Predicted
