Player,Pos,Age,Tm,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,W/L%,Label
James Harden,SG,28,HOU,0.367,0.531,0.541,0.858,41,348,630,126,50,315,169,2191,29.8,0.619,8.6,45.1,2.4,1.7,15.1,36.1,15.4,9.9,7.7,0.955,MVP,2018,0.793,Correct
LeBron James,PF,33,CLE,0.367,0.603,0.59,0.731,97,612,747,116,71,347,136,2251,28.6,0.621,13.1,44.4,1.9,2.0,16.1,31.6,14.0,8.7,8.2,0.731,Candidate,2018,0.61,Predicted
