Player,Pos,Age,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,Label
Magic Johnson,PG,29,0.314,0.548,0.535,0.911,111,496,988,138,22,312,172,1730,26.9,0.625,11.7,48.6,2.3,0.4,18.4,24.3,16.1,9.4,8.3,0.782,MVP,1989,Correct
Michael Jordan,SG,25,0.276,0.553,0.546,0.85,149,503,650,234,65,290,247,2633,31.1,0.614,11.6,34.7,3.6,1.2,11.9,32.1,19.8,11.9,11.4,0.704,Candidate,1989,Predicted
