Player,Pos,Age,Tm,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,W/L%,Label
Stephen Curry,PG,27,GSW,0.454,0.566,0.63,0.908,68,362,527,169,15,262,161,2375,31.5,0.669,8.6,33.7,3.0,0.4,12.9,32.6,17.9,11.9,9.5,1.0,MVP,2016,0.89,Correct
Kevin Durant,SF,27,OKC,0.387,0.569,0.573,0.898,45,544,361,69,85,250,137,2029,28.2,0.634,12.4,24.2,1.3,2.5,13.5,30.6,14.5,9.9,7.8,0.112,Candidate,2016,0.671,Predicted
