Player,Pos,Age,Tm,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,W/L%,Label
Tim Duncan,PF,26,SAS,0.273,0.517,0.515,0.71,259,784,316,55,237,248,231,1884,26.9,0.564,19.0,19.5,0.9,5.2,12.9,28.0,16.5,7.6,7.7,0.808,MVP,2003,0.732,Correct
Tracy McGrady,SG,23,ORL,0.386,0.481,0.505,0.793,121,367,411,124,59,195,156,2407,30.3,0.564,9.5,30.0,2.2,1.5,8.4,35.2,16.1,10.5,9.3,0.359,Candidate,2003,0.512,Predicted
