Player,Pos,Age,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,Label
Allen Iverson,SG,25,0.32,0.441,0.447,0.814,50,223,325,178,20,237,147,2207,24.0,0.518,5.2,23.0,3.2,0.5,10.0,35.9,11.8,6.1,6.1,0.904,MVP,2001,Correct
Shaquille O'Neal,C,28,0.0,0.573,0.572,0.513,291,649,277,47,204,218,256,2125,30.2,0.574,18.1,18.8,0.8,4.9,10.5,31.6,14.9,7.7,7.1,0.466,Candidate,2001,Predicted
