Player,Pos,Age,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,Label
Steve Nash,PG,31,0.439,0.548,0.583,0.921,47,286,826,61,12,276,120,1489,23.3,0.632,6.6,44.4,1.1,0.3,19.0,23.3,12.4,5.0,4.9,0.739,MVP,2006,Correct
Dirk Nowitzki,PF,27,0.406,0.496,0.515,0.901,115,613,226,58,83,156,164,2151,28.1,0.589,14.2,14.7,1.0,2.1,7.9,30.0,17.7,8.1,7.9,0.435,Candidate,2006,Predicted
