Player,Pos,Age,Tm,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,W/L%,Label
Moses Malone,C,27,PHI,0.0,0.502,0.501,0.761,445,749,101,89,157,264,206,1908,25.1,0.578,21.6,5.1,1.4,3.0,13.8,26.0,15.1,3.7,4.2,0.96,MVP,1983,0.793,Correct
Magic Johnson,SG,23,LAL,0.0,0.56,0.548,0.8,214,469,829,176,47,301,200,1326,23.0,0.603,13.0,34.4,2.8,0.9,21.5,19.0,12.5,7.2,6.8,0.406,Candidate,1983,0.707,Predicted
