Player,Pos,Age,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,Label
Charles Barkley,PF,29,0.305,0.561,0.545,0.765,237,691,385,119,74,233,196,1944,25.9,0.596,18.1,21.2,2.0,1.6,12.5,26.9,14.4,7.8,7.1,0.852,MVP,1993,Correct
Michael Jordan,SG,29,0.352,0.514,0.515,0.837,135,387,428,221,61,207,188,2541,29.7,0.564,9.8,25.2,3.7,1.3,8.4,34.7,17.2,11.2,10.2,0.577,Candidate,1993,Predicted
