Player,Pos,Age,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,Label
Michael Jordan,SG,34,0.238,0.482,0.473,0.784,130,345,283,141,45,185,151,2357,25.2,0.533,8.5,18.0,2.4,1.0,7.7,33.7,15.8,6.9,7.1,0.934,MVP,1998,Correct
Karl Malone,PF,34,0.333,0.531,0.531,0.761,189,645,316,96,70,247,237,2190,27.9,0.597,17.1,20.9,1.7,1.7,11.9,31.8,16.4,7.3,7.1,0.726,Candidate,1998,Predicted
