Player,Pos,Age,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,Label
Stephen Curry,PG,26,0.443,0.528,0.594,0.914,56,285,619,163,16,249,158,1900,28.0,0.638,7.0,38.6,3.0,0.5,14.3,28.9,15.7,9.9,7.9,0.922,MVP,2015,Correct
James Harden,SG,25,0.375,0.48,0.511,0.868,75,384,565,154,60,321,208,2217,26.7,0.605,8.5,34.6,2.6,1.6,14.9,31.3,16.4,8.8,8.1,0.72,Candidate,2015,Predicted
