W,L,W/L%,GB,PS/G,PA/G,SRS,Teams
51,31,.622,—,106.6,103.0,3.41,Boston Celtics
51,31,.622,—,101.6,97.7,3.67,New York Knicks
40,42,.488,11.0,105.4,107.1,-1.54,New Jersey Nets
38,44,.463,13.0,105.0,109.2,-3.94,Miami Heat
35,47,.427,16.0,101.9,103.2,-1.34,Philadelphia 76ers
25,57,.305,26.0,102.4,106.8,-4.35,Washington Bullets
21,61,.256,30.0,101.6,108.5,-6.52,Orlando Magic
67,15,.817,—,109.9,99.5,10.07,Chicago Bulls
57,25,.695,10.0,108.9,103.4,5.34,Cleveland Cavaliers
48,34,.585,19.0,98.9,96.9,2.06,Detroit Pistons
40,42,.488,27.0,112.2,110.3,1.85,Indiana Pacers
38,44,.463,29.0,106.2,107.7,-1.15,Atlanta Hawks
31,51,.378,36.0,105.0,106.7,-1.46,Milwaukee Bucks
31,51,.378,36.0,109.5,113.4,-3.57,Charlotte Hornets
55,27,.671,—,108.3,101.9,5.70,Utah Jazz
47,35,.573,8.0,104.0,100.6,2.81,San Antonio Spurs
42,40,.512,13.0,102.0,103.7,-1.94,Houston Rockets
24,58,.293,31.0,99.7,107.6,-7.59,Denver Nuggets
22,60,.268,33.0,97.6,105.3,-7.47,Dallas Mavericks
15,67,.183,40.0,100.5,107.5,-6.85,Minnesota Timberwolves
57,25,.695,—,111.4,104.1,6.94,Portland Trail Blazers
55,27,.671,2.0,118.7,114.8,3.77,Golden State Warriors
53,29,.646,4.0,112.1,106.2,5.68,Phoenix Suns
47,35,.573,10.0,106.5,104.7,1.86,Seattle SuperSonics
45,37,.549,12.0,102.9,101.9,1.10,Los Angeles Clippers
43,39,.524,14.0,100.4,101.5,-0.95,Los Angeles Lakers
29,53,.354,28.0,104.3,110.3,-5.63,Sacramento Kings
