W,L,W/L%,GB,PS/G,PA/G,SRS,Teams
57,25,.695,—,113.6,107.7,6.15,Boston Celtics
38,44,.463,19.0,105.5,106.3,-0.16,Washington Bullets
38,44,.463,19.0,105.5,106.0,0.14,New York Knicks
36,46,.439,21.0,105.7,107.1,-0.79,Philadelphia 76ers
19,63,.232,38.0,100.4,108.5,-6.98,New Jersey Nets
54,28,.659,—,109.2,104.1,5.46,Detroit Pistons
50,32,.610,4.0,105.0,101.6,3.76,Chicago Bulls
50,32,.610,4.0,107.9,104.3,4.02,Atlanta Hawks
42,40,.512,12.0,106.1,105.5,1.21,Milwaukee Bucks
42,40,.512,12.0,104.5,103.7,1.28,Cleveland Cavaliers
38,44,.463,16.0,104.6,105.4,-0.18,Indiana Pacers
54,28,.659,—,116.7,112.7,3.32,Denver Nuggets
53,29,.646,1.0,109.3,104.9,3.59,Dallas Mavericks
47,35,.573,7.0,108.5,104.8,2.96,Utah Jazz
46,36,.561,8.0,109.0,107.6,0.82,Houston Rockets
31,51,.378,23.0,113.6,118.5,-5.02,San Antonio Spurs
24,58,.293,30.0,108.0,113.7,-5.84,Sacramento Kings
62,20,.756,—,112.8,107.0,4.81,Los Angeles Lakers
53,29,.646,9.0,116.1,111.5,3.59,Portland Trail Blazers
44,38,.537,18.0,111.4,109.3,1.29,Seattle SuperSonics
28,54,.341,34.0,108.5,113.0,-4.80,Phoenix Suns
20,62,.244,42.0,107.0,115.3,-8.38,Golden State Warriors
17,65,.207,45.0,98.8,109.1,-10.24,Los Angeles Clippers
