W,L,W/L%,GB,PS/G,PA/G,SRS,Teams
52,30,.634,—,94.4,91.3,2.75,Miami Heat
50,32,.610,2.0,92.1,90.7,1.30,New York Knicks
49,33,.598,3.0,94.8,93.4,1.02,Philadelphia 76ers
41,41,.500,11.0,100.1,99.4,0.43,Orlando Magic
35,47,.427,17.0,99.3,100.1,-1.00,Boston Celtics
31,51,.378,21.0,98.0,99.0,-1.18,New Jersey Nets
29,53,.354,23.0,96.6,99.9,-3.47,Washington Wizards
56,26,.683,—,101.3,96.7,4.15,Indiana Pacers
49,33,.598,7.0,98.4,95.8,2.33,Charlotte Hornets
45,37,.549,11.0,97.2,97.3,-0.46,Toronto Raptors
42,40,.512,14.0,103.5,102.0,1.13,Detroit Pistons
42,40,.512,14.0,101.2,101.0,-0.06,Milwaukee Bucks
32,50,.390,24.0,97.0,100.5,-3.64,Cleveland Cavaliers
28,54,.341,28.0,94.3,99.7,-5.41,Atlanta Hawks
17,65,.207,39.0,84.8,94.2,-9.23,Chicago Bulls
55,27,.671,—,96.5,92.0,4.52,Utah Jazz
53,29,.646,2.0,96.2,90.2,5.92,San Antonio Spurs
50,32,.610,5.0,98.5,96.0,2.67,Minnesota Timberwolves
40,42,.488,15.0,101.4,102.0,-0.29,Dallas Mavericks
35,47,.427,20.0,99.0,101.1,-1.76,Denver Nuggets
34,48,.415,21.0,99.5,100.3,-0.57,Houston Rockets
22,60,.268,33.0,93.9,99.5,-5.10,Vancouver Grizzlies
67,15,.817,—,100.8,92.3,8.41,Los Angeles Lakers
59,23,.720,8.0,97.5,91.0,6.36,Portland Trail Blazers
53,29,.646,14.0,98.9,93.7,5.24,Phoenix Suns
45,37,.549,22.0,99.1,98.1,1.17,Seattle SuperSonics
44,38,.537,23.0,105.0,102.0,3.04,Sacramento Kings
19,63,.232,48.0,95.5,103.8,-7.63,Golden State Warriors
15,67,.183,52.0,92.0,103.5,-10.73,Los Angeles Clippers
