W,L,W/L%,GB,PS/G,PA/G,SRS,Teams
56,26,.683,—,96.5,91.1,4.83,Boston Celtics
42,40,.512,14.0,106.5,105.7,0.48,New York Knicks
41,41,.500,15.0,99.0,97.5,1.01,Philadelphia 76ers
24,58,.293,32.0,94.2,100.4,-6.28,New Jersey Nets
22,60,.268,34.0,99.1,105.4,-6.28,Toronto Raptors
62,20,.756,—,98.6,91.3,6.53,Chicago Bulls
37,45,.451,25.0,99.8,100.9,-1.38,Indiana Pacers
35,47,.427,27.0,91.9,92.7,-1.02,Milwaukee Bucks
30,52,.366,32.0,97.0,100.6,-3.78,Detroit Pistons
19,63,.232,43.0,95.5,104.5,-8.88,Cleveland Cavaliers
58,24,.707,—,102.1,94.6,6.76,Miami Heat
52,30,.634,6.0,99.2,93.7,4.92,Orlando Magic
44,38,.537,14.0,95.0,95.8,-1.10,Atlanta Hawks
34,48,.415,24.0,93.3,97.3,-4.08,Charlotte Bobcats
23,59,.280,35.0,97.3,104.7,-7.30,Washington Wizards
55,27,.671,—,104.8,101.0,3.81,Oklahoma City Thunder
50,32,.610,5.0,107.5,102.7,4.81,Denver Nuggets
48,34,.585,7.0,96.3,94.8,1.85,Portland Trail Blazers
39,43,.476,16.0,99.4,101.3,-1.44,Utah Jazz
17,65,.207,38.0,101.1,107.7,-5.97,Minnesota Timberwolves
57,25,.695,—,101.5,95.4,6.01,Los Angeles Lakers
40,42,.488,17.0,105.0,105.9,-0.46,Phoenix Suns
36,46,.439,21.0,103.4,105.7,-2.00,Golden State Warriors
32,50,.390,25.0,98.6,101.8,-2.71,Los Angeles Clippers
24,58,.293,33.0,99.4,104.7,-4.80,Sacramento Kings
61,21,.744,—,103.7,98.0,5.86,San Antonio Spurs
57,25,.695,4.0,100.2,96.0,4.41,Dallas Mavericks
46,36,.561,15.0,94.9,94.0,1.28,New Orleans Hornets
46,36,.561,15.0,99.9,97.6,2.55,Memphis Grizzlies
43,39,.524,18.0,105.9,103.7,2.37,Houston Rockets
