W,L,W/L%,GB,PS/G,PA/G,SRS,Teams
54,28,.659,—,100.0,95.7,3.73,New York Knicks
49,33,.598,5.0,96.9,95.1,1.25,Brooklyn Nets
41,40,.506,12.5,96.5,96.7,-0.62,Boston Celtics
34,48,.415,20.0,93.2,96.5,-3.51,Philadelphia 76ers
34,48,.415,20.0,97.2,98.7,-1.96,Toronto Raptors
49,32,.605,—,94.7,90.7,3.34,Indiana Pacers
45,37,.549,4.5,93.2,92.9,-0.02,Chicago Bulls
38,44,.463,11.5,98.9,100.4,-1.83,Milwaukee Bucks
29,53,.354,20.5,94.9,98.8,-4.33,Detroit Pistons
24,58,.293,25.5,96.5,101.2,-4.87,Cleveland Cavaliers
66,16,.805,—,102.9,95.0,7.03,Miami Heat
44,38,.537,22.0,98.0,97.5,-0.08,Atlanta Hawks
29,53,.354,37.0,93.2,95.8,-2.78,Washington Wizards
21,61,.256,45.0,93.4,102.7,-9.29,Charlotte Bobcats
20,62,.244,46.0,94.1,101.1,-7.12,Orlando Magic
60,22,.732,—,105.7,96.5,9.15,Oklahoma City Thunder
57,25,.695,3.0,106.1,101.1,5.37,Denver Nuggets
43,39,.524,17.0,98.0,98.1,0.30,Utah Jazz
33,49,.402,27.0,97.5,100.7,-2.53,Portland Trail Blazers
31,51,.378,29.0,95.7,98.1,-1.83,Minnesota Timberwolves
56,26,.683,—,101.1,94.6,6.43,Los Angeles Clippers
47,35,.573,9.0,101.2,100.3,1.32,Golden State Warriors
45,37,.549,11.0,102.2,101.0,1.48,Los Angeles Lakers
28,54,.341,28.0,100.2,105.1,-4.26,Sacramento Kings
25,57,.305,31.0,95.2,101.6,-5.75,Phoenix Suns
58,24,.707,—,103.0,96.6,6.67,San Antonio Spurs
56,26,.683,2.0,93.4,89.3,4.32,Memphis Grizzlies
45,37,.549,13.0,106.0,102.5,3.69,Houston Rockets
41,41,.500,17.0,101.1,101.7,-0.24,Dallas Mavericks
27,55,.329,31.0,94.1,97.9,-3.12,New Orleans Hornets
