Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
2002,New Jersey Nets,52,30,.634,—,96.2,92.0,3.67,Y,N
2002,Boston Celtics,49,33,.598,3.0,96.4,94.1,1.75,Y,N
2002,Orlando Magic,44,38,.537,8.0,100.5,98.9,1.25,Y,N
2002,Philadelphia 76ers,43,39,.524,9.0,91.0,89.4,1.27,Y,N
2002,Washington Wizards,37,45,.451,15.0,92.8,94.2,-1.58,N,Y
2002,Miami Heat,36,46,.439,16.0,87.2,88.7,-1.84,N,Y
2002,New York Knicks,30,52,.366,22.0,91.6,95.6,-4.15,N,Y
2002,Detroit Pistons,50,32,.610,—,94.3,92.2,1.69,Y,N
2002,Charlotte Hornets,44,38,.537,6.0,93.9,92.9,0.57,Y,N
2002,Toronto Raptors,42,40,.512,8.0,91.4,91.8,-0.71,Y,N
2002,Indiana Pacers,42,40,.512,8.0,96.8,96.5,-0.07,Y,N
2002,Milwaukee Bucks,41,41,.500,9.0,97.5,97.7,-0.62,N,N
2002,Atlanta Hawks,33,49,.402,17.0,94.0,98.3,-4.41,N,Y
2002,Cleveland Cavaliers,29,53,.354,21.0,95.3,98.6,-3.52,N,Y
2002,Chicago Bulls,21,61,.256,29.0,89.5,98.0,-8.52,N,Y
2002,Midwest Division,58,24,.707,—,96.7,90.5,6.28,N,N
2002,San Antonio Spurs,57,25,.695,1.0,105.2,101.0,4.41,Y,N
2002,Dallas Mavericks,50,32,.610,8.0,99.3,96.0,3.58,Y,N
2002,Minnesota Timberwolves,44,38,.537,14.0,96.0,95.1,1.21,Y,N
2002,Utah Jazz,28,54,.341,30.0,92.3,97.2,-4.31,Y,Y
2002,Houston Rockets,27,55,.329,31.0,92.2,98.0,-5.19,N,Y
2002,Denver Nuggets,23,59,.280,35.0,89.9,97.3,-6.74,N,Y
2002,Memphis Grizzlies,61,21,.744,—,104.6,97.0,7.61,N,N
2002,Pacific Division,58,24,.707,3.0,101.3,94.1,7.15,N,N
2002,Sacramento Kings,49,33,.598,12.0,96.6,93.7,3.21,Y,N
2002,Los Angeles Lakers,45,37,.549,16.0,97.7,94.7,3.24,Y,N
2002,Portland Trail Blazers,39,43,.476,22.0,95.7,96.1,-0.09,Y,Y
2002,Seattle SuperSonics,36,46,.439,25.0,95.1,95.8,-0.30,Y,Y
2002,Los Angeles Clippers,21,61,.256,40.0,97.7,103.1,-4.80,N,Y
