Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
1993,New York Knicks,60,22,.732,—,101.6,95.4,5.87,Y,N
1993,Boston Celtics,48,34,.585,12.0,103.7,102.8,0.93,Y,N
1993,New Jersey Nets,43,39,.524,17.0,102.8,101.6,1.20,Y,N
1993,Orlando Magic,41,41,.500,19.0,105.5,104.2,1.35,N,N
1993,Miami Heat,36,46,.439,24.0,103.6,104.7,-0.93,N,Y
1993,Philadelphia 76ers,26,56,.317,34.0,104.3,110.1,-5.25,N,Y
1993,Washington Bullets,22,60,.268,38.0,101.9,108.9,-6.49,N,Y
1993,Chicago Bulls,57,25,.695,—,105.2,98.9,6.19,Y,N
1993,Cleveland Cavaliers,54,28,.659,3.0,107.7,101.3,6.30,Y,N
1993,Charlotte Hornets,44,38,.537,13.0,110.1,110.4,-0.02,Y,N
1993,Atlanta Hawks,43,39,.524,14.0,107.5,108.4,-0.67,Y,N
1993,Indiana Pacers,41,41,.500,16.0,107.8,106.1,1.77,Y,N
1993,Detroit Pistons,40,42,.488,17.0,100.6,102.0,-1.10,N,Y
1993,Milwaukee Bucks,28,54,.341,29.0,102.3,106.1,-3.26,N,Y
1993,Midwest Division,55,27,.671,—,104.0,99.8,3.57,N,N
1993,Houston Rockets,49,33,.598,6.0,105.5,102.8,2.21,Y,N
1993,San Antonio Spurs,47,35,.573,8.0,106.2,104.0,1.74,Y,N
1993,Utah Jazz,36,46,.439,19.0,105.2,106.9,-2.14,Y,Y
1993,Denver Nuggets,19,63,.232,36.0,98.1,105.9,-7.62,N,Y
1993,Minnesota Timberwolves,11,71,.134,44.0,99.3,114.5,-14.68,N,Y
1993,Dallas Mavericks,62,20,.756,—,113.4,106.7,6.27,N,N
1993,Pacific Division,55,27,.671,7.0,108.3,101.3,6.66,N,N
1993,Phoenix Suns,51,31,.622,11.0,108.5,105.4,2.92,Y,N
1993,Seattle SuperSonics,41,41,.500,21.0,107.1,106.8,0.33,Y,N
1993,Portland Trail Blazers,39,43,.476,23.0,104.2,105.5,-1.20,Y,Y
1993,Los Angeles Clippers,34,48,.415,28.0,109.9,110.9,-0.94,Y,Y
1993,Los Angeles Lakers,25,57,.305,37.0,107.9,111.1,-3.00,Y,Y
