Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
1992,Boston Celtics,51,31,.622,—,106.6,103.0,3.41,Y,N
1992,New York Knicks,51,31,.622,—,101.6,97.7,3.67,Y,N
1992,New Jersey Nets,40,42,.488,11.0,105.4,107.1,-1.54,Y,Y
1992,Miami Heat,38,44,.463,13.0,105.0,109.2,-3.94,Y,Y
1992,Philadelphia 76ers,35,47,.427,16.0,101.9,103.2,-1.34,N,Y
1992,Washington Bullets,25,57,.305,26.0,102.4,106.8,-4.35,N,Y
1992,Orlando Magic,21,61,.256,30.0,101.6,108.5,-6.52,N,Y
1992,Chicago Bulls,67,15,.817,—,109.9,99.5,10.07,Y,N
1992,Cleveland Cavaliers,57,25,.695,10.0,108.9,103.4,5.34,Y,N
1992,Detroit Pistons,48,34,.585,19.0,98.9,96.9,2.06,Y,N
1992,Indiana Pacers,40,42,.488,27.0,112.2,110.3,1.85,Y,Y
1992,Atlanta Hawks,38,44,.463,29.0,106.2,107.7,-1.15,N,Y
1992,Milwaukee Bucks,31,51,.378,36.0,105.0,106.7,-1.46,N,Y
1992,Charlotte Hornets,31,51,.378,36.0,109.5,113.4,-3.57,N,Y
1992,Midwest Division,55,27,.671,—,108.3,101.9,5.70,N,N
1992,Utah Jazz,47,35,.573,8.0,104.0,100.6,2.81,Y,N
1992,San Antonio Spurs,42,40,.512,13.0,102.0,103.7,-1.94,Y,N
1992,Houston Rockets,24,58,.293,31.0,99.7,107.6,-7.59,N,Y
1992,Denver Nuggets,22,60,.268,33.0,97.6,105.3,-7.47,N,Y
1992,Dallas Mavericks,15,67,.183,40.0,100.5,107.5,-6.85,N,Y
1992,Minnesota Timberwolves,57,25,.695,—,111.4,104.1,6.94,N,N
1992,Pacific Division,55,27,.671,2.0,118.7,114.8,3.77,N,N
1992,Portland Trail Blazers,53,29,.646,4.0,112.1,106.2,5.68,Y,N
1992,Golden State Warriors,47,35,.573,10.0,106.5,104.7,1.86,Y,N
1992,Phoenix Suns,45,37,.549,12.0,102.9,101.9,1.10,Y,N
1992,Seattle SuperSonics,43,39,.524,14.0,100.4,101.5,-0.95,Y,N
1992,Los Angeles Clippers,29,53,.354,28.0,104.3,110.3,-5.63,Y,Y
