W,L,W/L%,GB,PS/G,PA/G,SRS,Teams
62,20,.756,—,100.9,93.4,7.44,Boston Celtics
41,41,.500,21.0,97.4,97.3,0.16,Philadelphia 76ers
34,48,.415,28.0,98.1,100.5,-2.31,New Jersey Nets
33,49,.402,29.0,99.0,101.9,-2.54,Toronto Raptors
32,50,.390,30.0,105.2,107.8,-2.33,New York Knicks
66,16,.805,—,100.3,91.4,8.68,Cleveland Cavaliers
41,41,.500,25.0,102.2,102.5,-0.16,Chicago Bulls
39,43,.476,27.0,94.2,94.7,-0.36,Detroit Pistons
36,46,.439,30.0,105.1,106.2,-0.76,Indiana Pacers
34,48,.415,32.0,99.3,100.4,-0.88,Milwaukee Bucks
59,23,.720,—,101.0,94.4,6.48,Orlando Magic
47,35,.573,12.0,98.1,96.5,1.70,Atlanta Hawks
43,39,.524,16.0,98.3,98.0,0.49,Miami Heat
35,47,.427,24.0,93.6,94.9,-1.20,Charlotte Bobcats
19,63,.232,40.0,96.1,103.5,-6.98,Washington Wizards
54,28,.659,—,104.3,100.9,3.13,Denver Nuggets
54,28,.659,—,99.4,94.1,5.00,Portland Trail Blazers
48,34,.585,6.0,103.6,100.9,2.31,Utah Jazz
24,58,.293,30.0,97.8,102.7,-4.74,Minnesota Timberwolves
23,59,.280,31.0,97.0,103.1,-6.04,Oklahoma City Thunder
65,17,.793,—,106.9,99.3,7.11,Los Angeles Lakers
46,36,.561,19.0,109.4,107.5,1.62,Phoenix Suns
29,53,.354,36.0,108.6,112.3,-3.80,Golden State Warriors
19,63,.232,46.0,95.1,103.9,-8.47,Los Angeles Clippers
17,65,.207,48.0,100.6,109.3,-8.60,Sacramento Kings
54,28,.659,—,97.0,93.3,3.36,San Antonio Spurs
53,29,.646,1.0,98.4,94.4,3.73,Houston Rockets
50,32,.610,4.0,101.7,99.8,1.68,Dallas Mavericks
49,33,.598,5.0,95.8,94.3,1.41,New Orleans Hornets
24,58,.293,30.0,93.9,99.3,-5.23,Memphis Grizzlies
