W,L,W/L%,GB,PS/G,PA/G,SRS,Teams
49,23,.681,—,113.6,108.1,5.28,Philadelphia 76ers
48,24,.667,1.0,118.6,114.1,4.24,Brooklyn Nets
46,26,.639,3.0,120.1,114.2,5.57,Milwaukee Bucks
41,31,.569,8.0,107.0,104.7,2.13,New York Knicks
41,31,.569,8.0,113.7,111.4,2.14,Atlanta Hawks
40,32,.556,9.0,108.1,108.0,-0.06,Miami Heat
36,36,.500,13.0,112.6,111.2,1.32,Boston Celtics (7) 
34,38,.472,15.0,116.6,118.5,-1.85,Washington Wizards (8) 
34,38,.472,15.0,115.3,115.3,-0.13,Indiana Pacers (9) 
33,39,.458,16.0,109.5,111.4,-1.94,Charlotte Hornets (10) 
31,41,.431,18.0,110.7,111.6,-0.94,Chicago Bulls (11) 
27,45,.375,22.0,111.3,111.7,-0.54,Toronto Raptors (12) 
22,50,.306,27.0,103.8,112.3,-8.19,Cleveland Cavaliers (13) 
21,51,.292,28.0,104.0,113.3,-9.02,Orlando Magic (14) 
20,52,.278,29.0,106.6,111.1,-4.38,Detroit Pistons (15) 
52,20,.722,—,116.4,107.2,8.97,Utah Jazz
51,21,.708,1.0,115.3,109.5,5.67,Phoenix Suns
47,25,.653,5.0,115.1,110.1,4.82,Denver Nuggets
47,25,.653,5.0,114.0,107.8,6.02,Los Angeles Clippers
42,30,.583,10.0,112.4,110.2,2.26,Dallas Mavericks
42,30,.583,10.0,116.1,114.3,1.81,Portland Trail Blazers
42,30,.583,10.0,109.5,106.8,2.77,Los Angeles Lakers (7) 
39,33,.542,13.0,113.7,112.7,1.10,Golden State Warriors (8) 
38,34,.528,14.0,113.3,112.3,1.07,Memphis Grizzlies (9) 
33,39,.458,19.0,111.1,112.8,-1.58,San Antonio Spurs (10) 
31,41,.431,21.0,114.6,114.9,-0.20,New Orleans Pelicans (11) 
31,41,.431,21.0,113.7,117.4,-3.45,Sacramento Kings (12) 
23,49,.319,29.0,112.1,117.7,-5.25,Minnesota Timberwolves (13) 
22,50,.306,30.0,105.0,115.6,-10.13,Oklahoma City Thunder (14) 
17,55,.236,35.0,108.8,116.7,-7.50,Houston Rockets (15) 
