W,L,W/L%,GB,PS/G,PA/G,SRS,Teams
57,25,.695,—,98.5,91.5,6.48,New York Knicks
50,32,.610,7.0,105.7,101.8,3.68,Orlando Magic
45,37,.549,12.0,103.2,101.0,2.11,New Jersey Nets
42,40,.512,15.0,103.4,100.7,2.40,Miami Heat
32,50,.390,25.0,100.8,105.1,-4.28,Boston Celtics
25,57,.305,32.0,98.0,105.6,-7.37,Philadelphia 76ers
24,58,.293,33.0,100.4,107.7,-7.13,Washington Bullets
57,25,.695,—,101.4,96.2,4.94,Atlanta Hawks
55,27,.671,2.0,98.0,94.9,2.87,Chicago Bulls
47,35,.573,10.0,101.0,97.5,3.26,Indiana Pacers
47,35,.573,10.0,101.2,97.1,3.64,Cleveland Cavaliers
41,41,.500,16.0,106.5,106.7,-0.23,Charlotte Hornets
20,62,.244,37.0,96.9,103.4,-6.24,Milwaukee Bucks
20,62,.244,37.0,96.9,104.7,-7.46,Detroit Pistons
58,24,.707,—,101.1,96.8,4.19,Houston Rockets
55,27,.671,3.0,100.0,94.8,5.05,San Antonio Spurs
53,29,.646,5.0,101.9,97.7,4.10,Utah Jazz
42,40,.512,16.0,100.3,98.8,1.54,Denver Nuggets
20,62,.244,38.0,96.7,103.6,-6.55,Minnesota Timberwolves
13,69,.159,45.0,95.1,103.8,-8.19,Dallas Mavericks
63,19,.768,—,105.9,96.9,8.68,Seattle SuperSonics
56,26,.683,7.0,108.2,103.4,4.68,Phoenix Suns
50,32,.610,13.0,107.9,106.1,1.76,Golden State Warriors
47,35,.573,16.0,107.3,104.6,2.60,Portland Trail Blazers
33,49,.402,30.0,100.4,104.7,-3.93,Los Angeles Lakers
28,54,.341,35.0,101.1,106.9,-5.32,Sacramento Kings
27,55,.329,36.0,103.0,108.7,-5.28,Los Angeles Clippers
