W,L,W/L%,GB,PS/G,PA/G,SRS,Teams
47,35,.573,—,90.3,87.8,1.88,New Jersey Nets
42,40,.512,5.0,90.3,89.7,-0.13,Miami Heat
39,43,.476,8.0,92.0,93.5,-1.97,New York Knicks
36,46,.439,11.0,95.3,96.7,-1.99,Boston Celtics
33,49,.402,14.0,88.0,90.5,-2.95,Philadelphia 76ers
25,57,.305,22.0,91.8,97.4,-6.12,Washington Wizards
21,61,.256,26.0,94.0,101.1,-7.25,Orlando Magic
61,21,.744,—,91.4,85.6,4.93,Indiana Pacers
54,28,.659,7.0,90.1,84.3,5.04,Detroit Pistons
41,41,.500,20.0,91.8,91.9,-0.72,New Orleans Hornets
41,41,.500,20.0,98.0,97.0,0.42,Milwaukee Bucks
35,47,.427,26.0,92.9,95.5,-3.07,Cleveland Cavaliers
33,49,.402,28.0,85.4,88.5,-3.42,Toronto Raptors
28,54,.341,33.0,92.8,97.5,-5.00,Atlanta Hawks
23,59,.280,38.0,89.7,96.0,-6.69,Chicago Bulls
58,24,.707,—,94.5,89.1,5.86,Minnesota Timberwolves
57,25,.695,1.0,91.5,84.3,7.51,San Antonio Spurs
52,30,.634,6.0,105.2,100.8,4.86,Dallas Mavericks
50,32,.610,8.0,96.7,94.3,2.95,Memphis Grizzlies
45,37,.549,13.0,89.8,88.0,2.28,Houston Rockets
43,39,.524,15.0,97.2,96.1,1.65,Denver Nuggets
42,40,.512,16.0,88.7,89.9,-0.53,Utah Jazz
56,26,.683,—,98.2,94.3,4.35,Los Angeles Lakers
55,27,.671,1.0,102.8,97.8,5.41,Sacramento Kings
41,41,.500,15.0,90.7,92.0,-0.58,Portland Trail Blazers
37,45,.451,19.0,93.3,94.0,-0.07,Golden State Warriors
37,45,.451,19.0,97.1,97.8,0.02,Seattle SuperSonics
29,53,.354,27.0,94.2,97.9,-2.94,Phoenix Suns
28,54,.341,28.0,94.8,99.4,-3.74,Los Angeles Clippers
