W,L,W/L%,GB,PS/G,PA/G,SRS,Teams
56,17,.767,—,118.7,108.6,9.41,Milwaukee Bucks
53,19,.736,2.5,112.8,106.5,5.97,Toronto Raptors
48,24,.667,7.5,113.7,107.3,5.83,Boston Celtics
45,28,.616,11.0,109.4,107.5,1.63,Indiana Pacers
44,29,.603,12.0,112.0,109.1,2.59,Miami Heat
43,30,.589,13.0,110.7,108.4,2.25,Philadelphia 76ers
35,37,.486,20.5,111.8,112.3,-1.01,Brooklyn Nets
33,40,.452,23.0,107.3,108.3,-0.93,Orlando Magic
23,42,.354,29.0,102.9,109.6,-7.03,Charlotte Hornets
25,47,.347,30.5,114.4,119.1,-5.24,Washington Wizards
22,43,.338,30.0,106.8,109.9,-4.00,Chicago Bulls
21,45,.318,31.5,105.8,112.3,-6.72,New York Knicks
20,46,.303,32.5,107.2,110.8,-4.38,Detroit Pistons
20,47,.299,33.0,111.8,119.7,-7.71,Atlanta Hawks
19,46,.292,33.0,106.9,114.8,-7.77,Cleveland Cavaliers
52,19,.732,—,113.4,107.6,6.28,Los Angeles Lakers
49,23,.681,3.5,116.3,109.9,6.66,Los Angeles Clippers
46,27,.630,7.0,111.3,109.2,2.35,Denver Nuggets
44,28,.611,8.5,117.8,114.8,3.13,Houston Rockets
44,28,.611,8.5,110.4,108.4,2.33,Oklahoma City Thunder
44,28,.611,8.5,111.3,108.8,2.52,Utah Jazz
43,32,.573,11.0,117.0,112.1,4.87,Dallas Mavericks
35,39,.473,18.5,115.0,116.1,-0.61,Portland Trail Blazers
34,39,.466,19.0,112.6,113.7,-0.91,Memphis Grizzlies
34,39,.466,19.0,113.6,113.4,0.56,Phoenix Suns
32,39,.451,20.0,114.1,115.2,-0.65,San Antonio Spurs
31,41,.431,21.5,110.1,112.1,-1.59,Sacramento Kings
30,42,.417,22.5,115.8,117.1,-0.55,New Orleans Pelicans
19,45,.297,29.5,113.3,117.5,-4.02,Minnesota Timberwolves
15,50,.231,34.0,106.3,115.0,-8.12,Golden State Warriors
