W,L,W/L%,GB,PS/G,PA/G,SRS,Teams
59,23,.720,—,112.6,106.0,6.57,Boston Celtics
45,37,.549,14.0,106.5,106.6,0.11,Philadelphia 76ers
42,40,.512,17.0,106.0,107.3,-1.02,Washington Bullets
24,58,.293,35.0,108.5,113.5,-4.42,New Jersey Nets
24,58,.293,35.0,103.8,110.0,-5.42,New York Knicks
57,25,.695,—,110.0,102.8,7.18,Atlanta Hawks
52,30,.634,5.0,111.2,107.8,3.51,Detroit Pistons
50,32,.610,7.0,110.4,106.5,4.04,Milwaukee Bucks
41,41,.500,16.0,106.1,106.7,-0.17,Indiana Pacers
40,42,.488,17.0,104.8,103.9,1.26,Chicago Bulls
31,51,.378,26.0,104.4,108.2,-3.19,Cleveland Cavaliers
55,27,.671,—,116.7,110.4,5.54,Dallas Mavericks
44,38,.537,11.0,107.9,107.5,0.04,Utah Jazz
42,40,.512,13.0,106.9,105.9,0.60,Houston Rockets
37,45,.451,18.0,116.7,117.6,-1.14,Denver Nuggets
29,53,.354,26.0,110.9,114.1,-3.34,Sacramento Kings
28,54,.341,27.0,108.3,113.4,-5.09,San Antonio Spurs
65,17,.793,—,117.8,108.5,8.32,Los Angeles Lakers
49,33,.598,16.0,117.9,114.8,2.57,Portland Trail Blazers
42,40,.512,23.0,112.0,114.4,-2.54,Golden State Warriors
39,43,.476,26.0,113.7,113.3,0.08,Seattle SuperSonics
36,46,.439,29.0,111.1,113.5,-2.63,Phoenix Suns
12,70,.146,53.0,104.5,115.9,-11.00,Los Angeles Clippers
