Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Dirk Nowitzki,28,DAL,83.0,1138.0,1290,0.882,78,36.2,24.6,8.9,3.4,0.7,0.8,.502,.416,.904,16.3,.278
Steve Nash,32,PHO,44.0,1013.0,1290,0.785,76,35.3,18.6,3.5,11.6,0.8,0.1,.532,.455,.899,12.6,.225
Kobe Bryant,28,LAL,2.0,521.0,1290,0.404,77,40.8,31.6,5.7,5.4,1.4,0.5,.463,.344,.868,13.0,.199
Tim Duncan,30,SAS,0.0,286.0,1290,0.222,80,34.1,20.0,10.6,3.4,0.8,2.4,.546,.111,.637,13.0,.230
LeBron James,22,CLE,0.0,183.0,1290,0.142,78,40.9,27.3,6.7,6.0,1.6,0.7,.476,.319,.698,13.7,.206
Tracy McGrady,27,HOU,0.0,110.0,1290,0.085,71,35.8,24.6,5.3,6.5,1.3,0.5,.431,.331,.707,8.6,.163
Chris Bosh,22,TOR,0.0,43.0,1290,0.033,69,38.5,22.6,10.7,2.5,0.6,1.3,.496,.343,.785,9.6,.174
Gilbert Arenas,25,WAS,0.0,31.0,1290,0.024,74,39.8,28.4,4.6,6.0,1.9,0.2,.418,.351,.844,10.8,.177
Carlos Boozer,25,UTA,0.0,7.0,1290,0.005,74,34.6,20.9,11.7,3.0,0.9,0.3,.561,,.685,9.9,.185
Kevin Garnett,30,MIN,0.0,7.0,1290,0.005,76,39.4,22.4,12.8,4.1,1.2,1.7,.476,.214,.835,10.7,.171
Chauncey Billups,30,DET,0.0,4.0,1290,0.003,70,36.2,17.0,3.4,7.2,1.2,0.2,.427,.345,.883,11.4,.216
Shaquille O'Neal,34,MIA,0.0,3.0,1290,0.002,40,28.4,17.3,7.4,2.0,0.2,1.4,.591,,.422,2.8,.119
Dwyane Wade,25,MIA,0.0,3.0,1290,0.002,51,37.9,27.4,4.7,7.5,2.1,1.2,.491,.266,.807,8.8,.219
Amar'e Stoudemire,24,PHO,0.0,2.0,1290,0.002,82,32.8,20.4,9.6,1.0,1.0,1.3,.575,.000,.781,11.2,.201
Carmelo Anthony,22,DEN,0.0,1.0,1290,0.001,65,38.2,28.9,6.0,3.8,1.2,0.4,.476,.268,.808,7.3,.140
Baron Davis,27,GSW,0.0,1.0,1290,0.001,63,35.3,20.1,4.4,8.1,2.1,0.5,.439,.304,.745,6.4,.139
Tony Parker,24,SAS,0.0,1.0,1290,0.001,77,32.5,18.6,3.2,5.5,1.1,0.1,.520,.395,.783,9.6,.185
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Brandon Roy,22,POR,127.0,638.0,640,0.997,57,35.4,16.8,4.4,4.0,1.2,0.2,.456,.377,.838,4.8,.114
Andrea Bargnani,21,TOR,1.0,264.0,640,0.413,65,25.1,11.6,3.9,0.8,0.5,0.8,.427,.373,.824,1.9,.057
Rudy Gay,20,MEM,0.0,93.0,640,0.145,78,27.0,10.8,4.5,1.3,0.9,0.9,.422,.364,.727,0.5,.011
Adam Morrison,22,CHA,0.0,44.0,640,0.069,78,29.8,11.8,2.9,2.1,0.4,0.1,.376,.337,.710,-1.5,-0.030
Randy Foye,23,MIN,0.0,37.0,640,0.058,82,22.9,10.1,2.7,2.8,0.6,0.3,.434,.368,.854,2.3,.058
Paul Millsap,21,UTA,0.0,19.0,640,0.030,82,18.0,6.8,5.2,0.8,0.8,0.9,.525,.333,.673,4.7,.153
LaMarcus Aldridge,21,POR,0.0,18.0,640,0.028,63,22.1,9.0,5.0,0.4,0.3,1.2,.503,.000,.722,3.4,.118
Jorge Garbajosa,29,TOR,0.0,17.0,640,0.027,67,28.5,8.5,4.9,1.9,1.2,0.2,.420,.342,.731,3.0,.074
Tyrus Thomas,20,CHI,0.0,10.0,640,0.016,72,13.4,5.2,3.7,0.6,0.6,1.1,.475,.000,.606,2.2,.110
Walter Herrmann,27,CHA,0.0,5.0,640,0.008,48,19.5,9.2,2.9,0.5,0.4,0.1,.527,.461,.774,2.4,.125
Craig Smith,23,MIN,0.0,4.0,640,0.006,82,18.7,7.4,5.1,0.6,0.6,0.2,.531,.000,.624,3.9,.121
Rajon Rondo,20,BOS,0.0,3.0,640,0.005,78,23.5,6.4,3.7,3.8,1.6,0.1,.418,.207,.647,2.4,.064
