Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Karl Malone,33,UTA,63.0,986.0,1150,0.857,82,36.6,27.4,9.9,4.5,1.4,0.6,.550,.000,.755,16.7,.268
Michael Jordan,33,CHI,52.0,957.0,1150,0.832,82,37.9,29.6,5.9,4.3,1.7,0.5,.486,.374,.833,18.3,.283
Grant Hill,24,DET,0.0,376.0,1150,0.327,80,39.3,21.4,9.0,7.3,1.8,0.6,.496,.303,.711,14.6,.223
Tim Hardaway,30,MIA,0.0,238.0,1150,0.207,81,38.7,20.3,3.4,8.6,1.9,0.1,.415,.344,.799,12.9,.198
Glen Rice,29,CHH,0.0,134.0,1150,0.117,79,42.6,26.8,4.0,2.0,0.9,0.3,.477,.470,.867,10.8,.154
Gary Payton,28,SEA,0.0,105.0,1150,0.091,82,39.2,21.8,4.6,7.1,2.4,0.2,.476,.313,.715,12.9,.193
Hakeem Olajuwon,34,HOU,0.0,95.0,1150,0.083,78,36.6,23.2,9.2,3.0,1.5,2.2,.510,.313,.787,9.1,.154
Patrick Ewing,34,NYK,0.0,57.0,1150,0.050,78,37.0,22.4,10.7,2.0,0.9,2.4,.488,.222,.754,9.8,.163
Anthony Mason,30,CHH,0.0,7.0,1150,0.006,73,43.1,16.2,11.4,5.7,1.0,0.5,.525,.333,.745,11.4,.173
Shaquille O'Neal,24,LAL,0.0,7.0,1150,0.006,51,38.1,26.2,12.5,3.1,0.9,2.9,.557,.000,.484,8.0,.197
Scottie Pippen,31,CHI,0.0,6.0,1150,0.005,82,37.7,20.2,6.5,5.7,1.9,0.5,.474,.368,.701,13.1,.203
Alonzo Mourning,26,MIA,0.0,5.0,1150,0.004,66,35.2,19.8,9.9,1.6,0.8,2.9,.534,.111,.642,8.4,.174
Dikembe Mutombo,30,ATL,0.0,4.0,1150,0.003,80,37.2,13.3,11.6,1.4,0.6,3.3,.527,,.705,11.3,.183
Mitch Richmond,31,SAC,0.0,4.0,1150,0.003,81,38.6,25.9,3.9,4.2,1.5,0.3,.454,.428,.861,10.8,.166
John Stockton,34,UTA,0.0,3.0,1150,0.003,82,35.3,14.4,2.8,10.5,2.0,0.2,.548,.422,.846,13.6,.226
Charles Barkley,33,HOU,0.0,2.0,1150,0.002,53,37.9,19.2,13.5,4.7,1.3,0.5,.484,.283,.694,9.4,.224
Tom Gugliotta,27,MIN,0.0,1.0,1150,0.001,81,38.7,20.6,8.7,4.1,1.6,1.1,.442,.258,.820,6.7,.103
Allen Iverson,21,PHI,0.0,1.0,1150,0.001,76,40.1,23.5,4.1,7.5,2.1,0.3,.416,.341,.702,4.1,.065
Kevin Johnson,30,PHO,0.0,1.0,1150,0.001,70,38.0,20.1,3.6,9.3,1.5,0.2,.496,.441,.852,11.7,.211
Steve Smith,27,ATL,0.0,1.0,1150,0.001,72,39.1,20.1,3.3,4.2,0.9,0.3,.429,.335,.847,9.1,.154
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Allen Iverson,21,PHI,44.0,44.0,115,0.383,76,40.1,23.5,4.1,7.5,2.1,0.3,.416,.341,.702,4.1,.065
Stephon Marbury,19,MIN,35.0,35.0,115,0.304,67,34.7,15.8,2.7,7.8,1.0,0.3,.408,.354,.727,3.7,.077
Shareef Abdur-Rahim,20,VAN,25.0,25.0,115,0.217,80,35.0,18.7,6.9,2.2,1.0,1.0,.453,.259,.746,2.9,.049
Antoine Walker,20,BOS,6.0,6.0,115,0.052,82,36.2,17.5,9.0,3.2,1.3,0.6,.425,.327,.631,1.7,.027
Kerry Kittles,22,NJN,5.0,5.0,115,0.043,82,36.7,16.4,3.9,3.0,1.9,0.4,.426,.377,.771,6.9,.110
