Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Steve Nash,31,PHO,57.0,924.0,1250,0.739,79,35.4,18.8,4.2,10.5,0.8,0.2,.512,.439,.921,12.4,.212
LeBron James,21,CLE,16.0,688.0,1250,0.550,79,42.5,31.4,7.0,6.6,1.6,0.8,.480,.335,.738,16.3,.232
Dirk Nowitzki,27,DAL,14.0,544.0,1250,0.435,81,38.1,26.6,9.0,2.8,0.7,1.0,.480,.406,.901,17.7,.275
Kobe Bryant,27,LAL,22.0,483.0,1250,0.386,80,41.0,35.4,5.3,4.5,1.8,0.4,.450,.347,.850,15.3,.224
Chauncey Billups,29,DET,15.0,430.0,1250,0.344,81,36.1,18.5,3.1,8.6,0.9,0.1,.418,.433,.894,15.5,.254
Dwyane Wade,24,MIA,0.0,87.0,1250,0.070,75,38.6,27.2,5.7,6.7,1.9,0.8,.495,.171,.783,14.4,.239
Elton Brand,26,LAC,1.0,50.0,1250,0.040,79,39.2,24.7,10.0,2.6,1.0,2.5,.527,.333,.775,14.8,.229
Tim Duncan,29,SAS,0.0,33.0,1250,0.026,80,34.8,18.6,11.0,3.2,0.9,2.0,.484,.400,.629,10.8,.187
Tony Parker,23,SAS,0.0,9.0,1250,0.007,80,33.9,18.9,3.3,5.8,1.0,0.1,.548,.306,.707,9.6,.169
Allen Iverson,30,PHI,0.0,1.0,1250,0.001,72,43.1,33.0,3.2,7.4,1.9,0.1,.447,.323,.814,10.6,.165
Shawn Marion,27,PHO,0.0,1.0,1250,0.001,81,40.3,21.8,11.8,1.8,2.0,1.7,.525,.331,.809,14.6,.214
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Chris Paul,20,NOK,124.0,623.0,625,0.997,78,36.0,16.1,5.1,7.8,2.2,0.1,.430,.282,.847,10.4,.178
Charlie Villanueva,21,TOR,0.0,248.0,625,0.397,81,29.1,13.0,6.4,1.1,0.7,0.8,.463,.327,.706,3.9,.079
Andrew Bogut,21,MIL,0.0,98.0,625,0.157,82,28.6,9.4,7.0,2.3,0.6,0.8,.533,.000,.629,5.5,.113
Raymond Felton,21,CHA,0.0,79.0,625,0.126,80,30.1,11.9,3.3,5.6,1.3,0.1,.391,.358,.725,2.6,.051
Channing Frye,22,NYK,0.0,41.0,625,0.066,65,24.2,12.3,5.8,0.8,0.5,0.7,.477,.333,.825,3.5,.108
Deron Williams,21,UTA,1.0,31.0,625,0.050,80,28.8,10.8,2.4,4.5,0.8,0.2,.421,.416,.704,2.8,.059
Danny Granger,22,IND,0.0,2.0,625,0.003,78,22.6,7.5,4.9,1.2,0.7,0.8,.462,.323,.777,5.1,.139
Luther Head,23,HOU,0.0,2.0,625,0.003,80,28.9,8.8,3.3,2.7,1.1,0.1,.403,.361,.699,3.5,.072
Ryan Gomes,23,BOS,0.0,1.0,625,0.002,61,22.6,7.6,4.9,1.0,0.6,0.1,.487,.333,.752,3.1,.108
