Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Russell Westbrook,28,OKC,69.0,888.0,1010,0.879,81,34.6,31.6,10.7,10.4,1.6,0.4,.425,.343,.845,13.1,.224
James Harden,27,HOU,22.0,753.0,1010,0.746,81,36.4,29.1,8.1,11.2,1.5,0.5,.440,.347,.847,15.0,.245
Kawhi Leonard,25,SAS,9.0,500.0,1010,0.495,74,33.4,25.5,5.8,3.5,1.8,0.7,.485,.380,.880,13.6,.264
LeBron James,32,CLE,1.0,333.0,1010,0.330,74,37.8,26.4,8.6,8.7,1.2,0.6,.548,.363,.674,12.9,.221
Isaiah Thomas,27,BOS,0.0,81.0,1010,0.080,76,33.8,28.9,2.7,5.9,0.9,0.2,.463,.379,.909,12.5,.234
Stephen Curry,28,GSW,0.0,52.0,1010,0.051,79,33.4,25.3,4.5,6.6,1.8,0.2,.468,.411,.898,12.6,.229
Giannis Antetokounmpo,22,MIL,0.0,7.0,1010,0.007,80,35.6,22.9,8.8,5.4,1.6,1.9,.521,.272,.770,12.4,.210
John Wall,26,WAS,0.0,7.0,1010,0.007,78,36.4,23.1,4.2,10.7,2.0,0.6,.451,.327,.801,8.8,.149
Anthony Davis,23,NOP,0.0,2.0,1010,0.002,75,36.1,28.0,11.8,2.1,1.3,2.2,.505,.299,.802,11.0,.195
Kevin Durant,28,GSW,0.0,2.0,1010,0.002,62,33.4,25.1,8.3,4.8,1.1,1.6,.537,.375,.875,12.0,.278
DeMar DeRozan,27,TOR,0.0,1.0,1010,0.001,74,35.4,27.3,5.2,3.9,1.1,0.2,.467,.266,.842,9.0,.166
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Malcolm Brogdon,24,MIL,64.0,414.0,500,0.828,75,26.4,10.2,2.8,4.2,1.1,0.2,.457,.404,.865,4.1,.100
Dario Šarić,22,PHI,13.0,266.0,500,0.532,81,26.3,12.8,6.3,2.2,0.7,0.4,.411,.311,.782,1.0,.023
Joel Embiid,22,PHI,23.0,177.0,500,0.354,31,25.4,20.2,7.8,2.1,0.9,2.5,.466,.367,.783,1.9,.117
Buddy Hield,24,TOT,0.0,21.0,500,0.042,82,23.0,10.6,3.3,1.5,0.5,0.1,.426,.391,.842,1.3,.032
Willy Hernangómez,22,NYK,0.0,8.0,500,0.016,72,18.4,8.2,7.0,1.3,0.6,0.5,.529,.267,.728,3.4,.123
Jamal Murray,19,DEN,0.0,8.0,500,0.016,82,21.5,9.9,2.6,2.1,0.6,0.3,.404,.334,.883,1.3,.037
Marquese Chriss,19,PHO,0.0,3.0,500,0.006,82,21.3,9.2,4.2,0.7,0.8,0.9,.449,.321,.624,1.8,.050
Jaylen Brown,20,BOS,0.0,1.0,500,0.002,78,17.2,6.6,2.8,0.8,0.4,0.2,.454,.341,.685,1.5,.053
Yogi Ferrell,23,TOT,0.0,1.0,500,0.002,46,26.0,10.0,2.4,3.7,0.9,0.2,.406,.386,.831,1.8,.072
Rodney McGruder,25,MIA,0.0,1.0,500,0.002,78,25.2,6.4,3.3,1.6,0.6,0.2,.413,.332,.620,2.9,.072
