Player,Pos,Age,Tm,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,W/L%,Label
Moses Malone,C,27,PHI,0.0,0.502,0.501,0.761,445,749,101,89,157,264,206,1908,25.1,0.578,21.6,5.1,1.4,3.0,13.8,26.0,15.1,3.7,4.2,0.96,MVP,1983,0.793,Correct
Larry Bird,PF,26,BOS,0.286,0.516,0.512,0.84,193,677,458,148,71,240,197,1867,24.1,0.561,15.7,22.4,2.3,1.3,12.6,25.0,14.0,7.5,7.2,0.485,Candidate,1983,0.683,Predicted
