Player,Pos,Age,Tm,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,W/L%,Label
Shaquille O'Neal,C,27,LAL,0.0,0.575,0.574,0.524,336,742,299,36,239,223,255,2344,30.6,0.578,18.3,19.3,0.6,5.3,9.9,31.2,18.6,9.3,9.0,0.998,MVP,2000,0.817,Correct
Karl Malone,PF,36,UTA,0.25,0.511,0.51,0.797,169,610,304,79,71,231,229,2095,27.1,0.582,16.1,20.9,1.4,1.9,11.4,31.9,15.3,7.5,7.1,0.258,Candidate,2000,0.671,Predicted
