Player,Pos,Age,Tm,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,W/L%,Label
Karl Malone,PF,35,UTA,0.0,0.494,0.493,0.788,107,356,201,62,28,162,134,1164,25.6,0.577,15.4,23.0,1.9,1.2,13.8,30.5,9.6,6.7,4.0,0.701,MVP,1999,0.74,Correct
Sam Cassell,PG,29,NJN,0.2,0.446,0.43,0.94,5,10,36,9,0,20,22,127,23.1,0.552,4.4,35.1,2.5,0.0,14.8,31.0,0.8,4.6,0.3,0.0,OOR,1999,0.32,Predicted
