Player,Pos,Age,Tm,3P%,2P%,eFG%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,Share,Status,Season,W/L%,Label
James Harden,SG,28,HOU,0.367,0.531,0.541,0.858,41,348,630,126,50,315,169,2191,29.8,0.619,8.6,45.1,2.4,1.7,15.1,36.1,15.4,9.9,7.7,0.955,MVP,2018,0.793,Correct
Karl-Anthony Towns,C,22,MIN,0.421,0.585,0.596,0.858,238,774,199,64,115,159,285,1743,24.9,0.646,20.0,10.8,1.1,3.5,10.5,22.9,14.0,5.1,5.2,0.0,OOR,2018,0.573,Predicted
