Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season,W/L%
Mahmoud Abdul-Rauf,PG,27,SAC,75,2131,411,924,0.445,94,246,0.382,317,678,0.468,0.496,115,136,0.846,16,106,122,189,56,6,119,174,1031,13.2,0.524,0.266,0.147,0.9,5.9,3.3,15.8,1.4,0.2,10.8,23.2,2.0,0.7,2.7,0.06,-0.8,-1.8,-2.6,-0.4,0,0.0,OOR,1997,0.415
Shareef Abdur-Rahim,PF,20,VAN,80,2802,550,1214,0.453,7,27,0.259,543,1187,0.457,0.456,387,519,0.746,216,339,555,175,79,79,225,199,1494,17.4,0.518,0.022,0.428,8.8,14.2,11.5,12.1,1.5,2.2,13.5,27.6,1.7,1.2,2.9,0.049,0.3,-2.1,-1.8,0.2,0,0.0,OOR,1997,0.171
Rafael Addison,SF,32,CHH,41,355,49,122,0.402,8,20,0.4,41,102,0.402,0.434,22,28,0.786,19,26,45,34,8,3,17,52,128,10.6,0.476,0.164,0.23,6.7,8.6,7.7,15.5,1.2,0.6,11.2,20.1,0.2,0.1,0.4,0.048,-2.6,-1.7,-4.4,-0.2,0,0.0,OOR,1997,0.659
Cory Alexander,PG,23,SAS,80,1454,194,490,0.396,94,252,0.373,100,238,0.42,0.492,95,129,0.736,29,94,123,254,82,16,146,148,577,14.3,0.528,0.514,0.263,2.3,8.0,5.1,30.0,3.1,0.9,21.1,22.2,0.5,0.6,1.1,0.035,0.3,-0.8,-0.6,0.5,0,0.0,OOR,1997,0.244
Jerome Allen,SG,24,IND,76,943,78,221,0.353,30,93,0.323,48,128,0.375,0.421,42,72,0.583,25,73,98,152,31,4,69,84,228,8.7,0.451,0.421,0.326,3.1,9.0,6.1,25.3,1.8,0.3,21.4,15.6,-0.3,0.8,0.4,0.021,-2.5,-0.2,-2.6,-0.1,0,0.0,OOR,1997,0.476
Ray Allen,SG,21,MIL,82,2532,390,908,0.43,117,298,0.393,273,610,0.448,0.494,205,249,0.823,97,229,326,210,75,10,149,218,1102,14.6,0.541,0.328,0.274,4.7,11.0,7.9,13.9,1.6,0.3,12.8,21.4,3.3,1.5,4.9,0.092,0.8,-0.9,-0.1,1.2,0,0.0,OOR,1997,0.402
Derrick Alston,C,24,ATL,2,11,0,5,0.0,0,0,0.0,0,5,0.0,0.0,0,2,0.0,3,1,4,0,0,0,0,0,0,-9.0,0.0,0.0,0.4,33.3,10.6,21.7,0.0,0.0,0.0,0.0,25.2,-0.1,0.0,-0.1,-0.415,-9.5,-12.1,-21.6,-0.1,0,0.0,OOR,1997,0.683
Ashraf Amaya,PF,25,WSB,31,144,12,40,0.3,1,1,1.0,11,39,0.282,0.313,15,28,0.536,19,33,52,3,7,3,10,29,40,8.8,0.382,0.025,0.7,15.7,26.4,21.1,2.9,2.5,1.6,16.0,19.4,-0.2,0.3,0.1,0.019,-6.2,-0.9,-7.1,-0.2,0,0.0,OOR,1997,0.537
Greg Anderson,C,32,SAS,82,1659,130,262,0.496,0,1,0.0,130,261,0.498,0.496,62,93,0.667,157,291,448,34,63,67,73,225,322,11.4,0.531,0.004,0.355,11.0,21.8,16.2,3.2,2.1,3.2,19.4,10.5,0.7,1.5,2.2,0.064,-3.6,0.1,-3.5,-0.6,0,0.0,OOR,1997,0.244
Kenny Anderson,PG,26,POR,82,3081,485,1137,0.427,132,366,0.361,353,771,0.458,0.485,334,435,0.768,91,272,363,584,162,15,193,222,1436,19.5,0.54,0.322,0.383,3.6,10.2,7.0,31.7,2.8,0.4,12.7,22.2,8.0,4.4,12.4,0.193,3.2,1.2,4.4,5.0,0,0.0,OOR,1997,0.598
Nick Anderson,SG,29,ORL,63,2163,288,725,0.397,143,405,0.353,145,320,0.453,0.496,38,94,0.404,66,238,304,182,120,32,86,160,757,13.8,0.494,0.559,0.13,3.5,13.2,8.2,14.5,3.0,1.1,10.1,18.2,1.3,2.9,4.2,0.093,0.2,1.6,1.8,2.1,0,0.0,OOR,1997,0.549
Shandon Anderson,SG,23,UTA,65,1066,147,318,0.462,24,47,0.511,123,271,0.454,0.5,68,99,0.687,52,127,179,49,27,8,73,113,386,10.4,0.534,0.148,0.311,6.5,14.0,10.5,7.1,1.4,0.6,16.8,18.9,0.1,1.2,1.2,0.056,-2.3,-1.4,-3.6,-0.4,0,0.0,OOR,1997,0.78
Willie Anderson,SG,30,MIA,28,303,29,64,0.453,8,19,0.421,21,45,0.467,0.516,17,20,0.85,15,27,42,34,14,4,19,36,83,12.6,0.57,0.297,0.313,6.0,10.4,8.2,18.2,2.5,1.0,20.7,14.2,0.4,0.5,0.9,0.142,-1.4,2.2,0.9,0.2,0,0.0,OOR,1997,0.744
Greg Anthony,PG,29,VAN,65,1863,199,507,0.393,88,238,0.37,111,269,0.413,0.479,130,178,0.73,25,159,184,407,129,4,129,122,616,16.6,0.526,0.469,0.351,1.5,10.0,5.7,36.1,3.8,0.2,18.1,17.8,2.3,1.2,3.5,0.09,0.9,0.5,1.5,1.6,0,0.0,OOR,1997,0.171
B.J. Armstrong,PG,29,GSW,49,1020,148,327,0.453,25,90,0.278,123,237,0.519,0.491,68,79,0.861,7,67,74,126,25,2,53,56,389,12.9,0.538,0.275,0.242,0.8,7.8,4.3,20.3,1.3,0.2,12.8,18.1,1.4,-0.1,1.3,0.061,-0.5,-1.8,-2.3,-0.1,0,0.0,OOR,1997,0.366
Darrell Armstrong,PG,28,ORL,67,1010,132,345,0.383,55,181,0.304,77,164,0.47,0.462,92,106,0.868,35,41,76,175,61,9,99,114,411,14.7,0.525,0.525,0.307,4.0,4.9,4.4,29.7,3.3,0.7,20.2,22.4,0.7,1.1,1.8,0.085,0.5,0.7,1.1,0.8,0,0.0,OOR,1997,0.549
Vincent Askew,SG,30,IND,43,838,81,186,0.435,7,24,0.292,74,162,0.457,0.454,70,88,0.795,25,73,98,90,17,6,46,123,239,9.7,0.532,0.129,0.473,3.6,10.2,7.0,17.3,1.1,0.6,17.0,14.9,0.7,0.8,1.5,0.086,-2.7,0.8,-1.9,0.0,0,0.0,OOR,1997,0.476
Keith Askins,SF,29,MIA,78,1773,138,319,0.433,69,172,0.401,69,147,0.469,0.541,39,58,0.672,86,185,271,75,53,19,59,196,384,9.1,0.557,0.539,0.182,5.9,12.2,9.1,6.7,1.6,0.8,14.6,10.7,1.5,2.8,4.3,0.116,-1.5,1.7,0.2,1.0,0,0.0,OOR,1997,0.744
Stacey Augmon,SG,28,POR,60,942,105,220,0.477,0,0,0.0,105,220,0.477,0.477,69,97,0.711,47,91,138,56,42,17,64,87,279,11.3,0.531,0.0,0.441,6.2,11.4,8.8,9.4,2.4,1.5,19.6,16.2,0.2,1.3,1.5,0.076,-2.6,1.5,-1.1,0.2,0,0.0,OOR,1997,0.598
Isaac Austin,C,27,MIA,82,1881,321,639,0.502,0,3,0.0,321,636,0.505,0.502,150,226,0.664,136,342,478,101,45,43,161,244,792,14.2,0.536,0.005,0.354,8.7,21.2,15.1,9.9,1.3,1.8,17.9,22.5,0.3,3.7,4.0,0.102,-2.5,0.8,-1.7,0.1,0,0.0,OOR,1997,0.744
