Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season
John Williams,SF,26,LAC,74,1638,205,477,0.43,12,53,0.226,193,424,0.455,0.442,70,129,0.543,88,228,316,142,83,23,79,188,492,10.5,0.461,0.111,0.27,5.9,15.6,10.7,11.3,2.5,0.9,12.9,15.4,-0.2,2.1,1.9,0.055,-2.5,1.0,-1.5,0.2,0,0.0,OOR,1993
Kenny Williams,SF,23,IND,57,844,150,282,0.532,0,3,0.0,150,279,0.538,0.532,48,68,0.706,102,126,228,38,21,45,28,87,348,17.7,0.558,0.011,0.241,13.4,16.2,14.8,6.7,1.2,3.4,8.2,17.0,1.8,0.8,2.7,0.151,1.4,-0.4,1.0,0.6,0,0.0,OOR,1993
Lorenzo Williams,PF-C,23,TOT,27,179,17,36,0.472,0,0,0.0,17,36,0.472,0.472,2,7,0.286,17,38,55,5,5,17,8,29,36,10.9,0.461,0.0,0.194,10.9,23.4,17.3,3.6,1.4,5.9,17.0,11.4,0.0,0.3,0.3,0.074,-4.0,2.4,-1.6,0.0,0,0.0,OOR,1993
Micheal Williams,PG,26,MIN,76,2661,353,791,0.446,26,107,0.243,327,684,0.478,0.463,419,462,0.907,84,189,273,661,165,23,227,268,1151,19.0,0.579,0.135,0.584,3.8,8.5,6.2,39.2,3.2,0.6,18.6,20.4,5.8,1.8,7.6,0.138,2.4,0.2,2.7,3.1,0,0.0,OOR,1993
Reggie Williams,SF,28,DEN,79,2722,535,1167,0.458,33,122,0.27,502,1045,0.48,0.473,238,296,0.804,132,296,428,295,126,76,194,284,1341,15.8,0.517,0.105,0.254,5.1,11.6,8.3,16.7,2.2,1.7,13.0,22.3,2.4,3.6,5.9,0.105,0.4,1.1,1.5,2.4,0,0.0,OOR,1993
Scott Williams,PF,24,CHI,71,1369,166,356,0.466,0,7,0.0,166,349,0.476,0.466,90,126,0.714,168,283,451,68,55,66,73,230,422,14.6,0.513,0.02,0.354,13.7,24.7,19.0,6.6,2.1,3.2,15.1,15.3,1.4,2.5,3.9,0.136,-2.3,0.7,-1.6,0.1,0,0.0,OOR,1993
Walt Williams,SF,22,SAC,59,1673,358,823,0.435,61,191,0.319,297,632,0.47,0.472,224,302,0.742,115,150,265,178,66,29,179,209,1001,15.0,0.524,0.232,0.367,7.4,10.4,8.8,16.7,1.9,1.1,15.8,27.7,0.4,1.2,1.6,0.047,0.4,-1.1,-0.7,0.5,0,0.0,OOR,1993
Kevin Willis,PF,30,ATL,80,2878,616,1218,0.506,7,29,0.241,609,1189,0.512,0.509,196,300,0.653,335,693,1028,165,68,41,213,264,1435,17.4,0.531,0.024,0.246,12.5,27.9,19.9,8.9,1.2,0.9,13.6,22.5,3.0,3.0,6.0,0.099,0.1,-1.7,-1.5,0.3,0,0.0,OOR,1993
Kennard Winchester,SG,26,HOU,39,340,61,139,0.439,4,19,0.211,57,120,0.475,0.453,17,22,0.773,17,32,49,13,10,10,15,40,143,11.2,0.481,0.137,0.158,6.0,10.1,8.2,5.9,1.5,1.8,9.2,21.3,0.0,0.4,0.4,0.054,-3.2,-0.3,-3.5,-0.1,0,0.0,OOR,1993
David Wingate,SF,29,CHH,72,1471,180,336,0.536,1,6,0.167,179,330,0.542,0.537,79,107,0.738,49,125,174,183,66,9,89,135,440,11.5,0.574,0.018,0.318,3.8,8.7,6.4,16.2,2.1,0.3,18.9,13.2,1.3,1.0,2.3,0.075,-1.4,0.6,-0.8,0.5,0,0.0,OOR,1993
Joe Wolf,C,28,TOT,23,165,20,44,0.455,0,1,0.0,20,43,0.465,0.455,13,16,0.813,14,34,48,5,7,1,7,24,53,11.9,0.519,0.023,0.364,9.1,23.2,15.9,4.2,2.1,0.4,12.1,14.5,0.1,0.3,0.4,0.118,-3.2,0.2,-3.0,0.0,0,0.0,OOR,1993
David Wood,PF,28,SAS,64,598,52,117,0.444,5,21,0.238,47,96,0.49,0.466,46,55,0.836,38,59,97,34,13,12,29,93,155,8.7,0.549,0.179,0.47,7.6,10.8,9.3,7.6,1.1,1.2,17.0,12.5,0.5,0.5,1.0,0.082,-2.9,0.1,-2.8,-0.1,0,0.0,OOR,1993
Randy Woods,PG,22,LAC,41,174,23,66,0.348,3,14,0.214,20,52,0.385,0.371,19,26,0.731,6,8,14,40,14,1,16,26,68,12.3,0.439,0.212,0.394,3.8,5.1,4.5,30.1,3.9,0.4,17.1,22.1,-0.1,0.2,0.1,0.037,-2.9,0.5,-2.4,0.0,0,0.0,OOR,1993
Orlando Woolridge,SF,33,TOT,58,1555,289,599,0.482,0,9,0.0,289,590,0.49,0.482,120,177,0.678,87,98,185,115,27,27,79,122,698,13.4,0.516,0.015,0.295,5.9,7.3,6.6,11.5,0.9,1.1,10.5,20.8,1.5,0.8,2.3,0.072,-0.4,-0.7,-1.1,0.4,0,0.0,OOR,1993
James Worthy,SF,31,LAL,82,2359,510,1142,0.447,30,111,0.27,480,1031,0.466,0.46,171,211,0.81,73,174,247,278,92,27,137,87,1221,15.6,0.494,0.097,0.185,3.5,8.5,6.0,19.1,1.9,0.7,10.0,24.9,1.4,1.6,3.0,0.06,0.8,-1.0,-0.2,1.0,0,0.0,OOR,1993
Howard Wright,PF,25,ORL,4,10,4,5,0.8,0,0,0.0,4,5,0.8,0.8,0,2,0.0,1,1,2,0,0,0,0,0,8,28.7,0.68,0.0,0.4,12.0,10.7,11.3,0.0,0.0,0.0,0.0,25.3,0.0,0.0,0.0,0.182,7.0,-2.4,4.7,0.0,0,0.0,OOR,1993
Danny Young,PG,30,DET,65,836,69,167,0.413,22,68,0.324,47,99,0.475,0.479,28,32,0.875,13,34,47,119,31,5,30,36,188,10.4,0.519,0.407,0.192,1.6,4.7,3.1,19.2,1.9,0.4,14.2,10.8,0.9,0.5,1.4,0.081,-1.5,1.0,-0.5,0.3,0,0.0,OOR,1993
