Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar,C,35.0,79.0,2554.0,722.0,1228.0,0.588,0.0,2.0,0.0,722.0,1226.0,0.589,0.588,278.0,371.0,0.749,167.0,425.0,592.0,200.0,61.0,170.0,200.0,220.0,1722.0
Alvan Adams,C,28.0,80.0,2447.0,477.0,981.0,0.486,1.0,3.0,0.333,476.0,978.0,0.487,0.487,180.0,217.0,0.829,161.0,387.0,548.0,376.0,114.0,74.0,242.0,287.0,1135.0
Mark Aguirre,SF,23.0,81.0,2784.0,767.0,1589.0,0.483,16.0,76.0,0.211,751.0,1513.0,0.496,0.488,429.0,589.0,0.728,191.0,317.0,508.0,332.0,80.0,26.0,261.0,247.0,1979.0
Danny Ainge,SG,23.0,80.0,2048.0,357.0,720.0,0.496,5.0,29.0,0.172,352.0,691.0,0.509,0.499,72.0,97.0,0.742,83.0,131.0,214.0,251.0,109.0,6.0,98.0,259.0,791.0
Dwight Anderson,PG,22.0,5.0,33.0,7.0,14.0,0.5,0.0,0.0,0.0,7.0,14.0,0.5,0.5,7.0,10.0,0.7,0.0,2.0,2.0,3.0,1.0,0.0,5.0,7.0,21.0
J.J. Anderson,SF,22.0,65.0,1202.0,190.0,379.0,0.501,0.0,4.0,0.0,190.0,375.0,0.507,0.501,100.0,175.0,0.571,119.0,175.0,294.0,67.0,63.0,21.0,79.0,153.0,480.0
Richard Anderson,C,22.0,78.0,1274.0,174.0,431.0,0.404,7.0,19.0,0.368,167.0,412.0,0.405,0.412,48.0,69.0,0.696,111.0,161.0,272.0,120.0,57.0,26.0,93.0,170.0,403.0
Tiny Archibald,PG,34.0,66.0,1811.0,235.0,553.0,0.425,5.0,24.0,0.208,230.0,529.0,0.435,0.429,220.0,296.0,0.743,25.0,66.0,91.0,409.0,38.0,4.0,163.0,110.0,695.0
John Bagley,PG,22.0,68.0,990.0,161.0,373.0,0.432,0.0,14.0,0.0,161.0,359.0,0.448,0.432,64.0,84.0,0.762,17.0,79.0,96.0,167.0,54.0,5.0,118.0,74.0,386.0
James Bailey,PF,25.0,75.0,1765.0,385.0,774.0,0.497,0.0,1.0,0.0,385.0,773.0,0.498,0.497,226.0,322.0,0.702,171.0,303.0,474.0,67.0,43.0,60.0,196.0,271.0,996.0
