Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status,Season
Kareem Abdul-Jabbar,C,40,80,2308,480,903,0.532,0,1,0.0,480,902,0.532,0.532,205,269,0.762,118,360,478,135,48,92,159,216,1165,OOR,1988
Mark Acres,C,25,79,1151,108,203,0.532,0,0,0.0,108,203,0.532,0.532,71,111,0.64,105,165,270,42,29,27,54,198,287,OOR,1988
Alvan Adams,C,33,82,1646,251,506,0.496,1,2,0.5,250,504,0.496,0.497,108,128,0.844,118,247,365,183,82,41,140,245,611,OOR,1988
Michael Adams,PG,25,82,2778,416,927,0.449,139,379,0.367,277,548,0.505,0.524,166,199,0.834,40,183,223,503,168,16,144,138,1137,OOR,1988
Mark Aguirre,SF,28,77,2610,746,1571,0.475,52,172,0.302,694,1399,0.496,0.491,388,504,0.77,182,252,434,278,70,57,203,223,1932,OOR,1988
Danny Ainge,SG,28,81,3018,482,982,0.491,148,357,0.415,334,625,0.534,0.566,158,180,0.878,59,190,249,503,115,17,153,203,1270,OOR,1988
Mark Alarie,PF,24,63,769,144,300,0.48,4,18,0.222,140,282,0.496,0.487,35,49,0.714,70,90,160,39,10,12,50,107,327,OOR,1988
Steve Alford,PG,23,28,197,21,55,0.382,1,8,0.125,20,47,0.426,0.391,16,17,0.941,3,20,23,23,17,3,12,23,59,OOR,1988
Greg Anderson,PF,23,82,1984,379,756,0.501,1,5,0.2,378,751,0.503,0.502,198,328,0.604,161,352,513,79,54,122,143,228,957,OOR,1988
Richard Anderson,PF,27,74,1350,171,439,0.39,48,150,0.32,123,289,0.426,0.444,58,77,0.753,91,212,303,112,51,16,61,137,448,OOR,1988
Ron Anderson,SF,29,74,1097,217,436,0.498,0,2,0.0,217,434,0.5,0.498,108,141,0.766,89,127,216,78,41,6,73,98,542,OOR,1988
Joe Arlauckas,SF,22,9,85,14,43,0.326,0,0,0.0,14,43,0.326,0.326,6,8,0.75,6,7,13,8,3,4,4,16,34,OOR,1988
Vincent Askew,SG,21,14,234,22,74,0.297,0,0,0.0,22,74,0.297,0.297,8,11,0.727,6,16,22,33,10,6,12,12,52,OOR,1988
John Bagley,PG,27,82,2774,393,896,0.439,47,161,0.292,346,735,0.471,0.465,148,180,0.822,61,196,257,479,110,10,201,162,981,OOR,1988
James Bailey,PF,30,65,869,109,241,0.452,0,4,0.0,109,237,0.46,0.452,70,89,0.787,73,137,210,42,17,28,70,180,288,OOR,1988
Thurl Bailey,SF,26,82,2804,633,1286,0.492,1,3,0.333,632,1283,0.493,0.493,337,408,0.826,134,397,531,158,49,125,190,186,1604,OOR,1988
Charles Barkley,PF,24,80,3170,753,1283,0.587,44,157,0.28,709,1126,0.63,0.604,714,951,0.751,385,566,951,254,100,103,304,278,2264,Candidate,1988
John Battle,SG,25,67,1227,278,613,0.454,16,41,0.39,262,572,0.458,0.467,141,188,0.75,26,87,113,158,31,5,75,84,713,OOR,1988
William Bedford,C,24,38,298,44,101,0.436,0,0,0.0,44,101,0.436,0.436,13,23,0.565,27,38,65,4,8,17,19,47,101,OOR,1988
Benoit Benjamin,C,23,66,2171,340,693,0.491,0,8,0.0,340,685,0.496,0.491,180,255,0.706,112,418,530,172,50,225,223,203,860,OOR,1988
