Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status
Shareef Abdur-Rahim,PF,27,85,2684,501,1054,0.475,9,34,0.265,492,1020,0.482,0.48,373,429,0.869,189,450,639,174,68,37,184,222,1384,OOR
Malik Allen,PF,25,45,616,83,198,0.419,0,0,0.0,83,198,0.419,0.419,25,33,0.758,42,77,119,16,12,28,27,81,191,OOR
Ray Allen,SG,28,56,2152,447,1017,0.44,148,378,0.392,299,639,0.468,0.512,245,271,0.904,69,217,286,268,71,11,156,132,1287,OOR
Rafer Alston,PG,27,82,2581,287,764,0.376,161,434,0.371,126,330,0.382,0.481,103,134,0.769,26,200,226,372,114,18,128,212,838,OOR
Chris Andersen,PF,25,71,1029,90,203,0.443,0,1,0.0,90,202,0.446,0.443,63,107,0.589,89,209,298,35,34,114,48,119,243,OOR
Derek Anderson,SG,29,51,1810,230,612,0.376,79,259,0.305,151,353,0.428,0.44,155,188,0.824,26,156,182,228,66,3,90,79,694,OOR
Kenny Anderson,PG,33,44,905,113,256,0.441,1,4,0.25,112,252,0.444,0.443,35,48,0.729,19,62,81,125,26,5,50,73,262,OOR
Shandon Anderson,SG,30,80,1974,238,564,0.422,36,128,0.281,202,436,0.463,0.454,123,161,0.764,53,169,222,122,68,17,118,182,635,OOR
Carmelo Anthony,SF,19,82,2995,624,1465,0.426,69,214,0.322,555,1251,0.444,0.449,408,525,0.777,183,315,498,227,97,41,247,225,1725,OOR
Robert Archibald,C-PF,23,32,256,9,33,0.273,0,0,0.0,9,33,0.273,0.273,14,31,0.452,21,31,52,13,14,3,10,50,32,OOR
Gilbert Arenas,PG,22,55,2066,358,914,0.392,125,333,0.375,233,581,0.401,0.46,237,317,0.748,55,199,254,275,103,12,226,176,1078,OOR
Brandon Armstrong,SG,23,56,434,65,175,0.371,19,52,0.365,46,123,0.374,0.426,2,4,0.5,12,31,43,14,12,2,24,49,151,OOR
Darrell Armstrong,PG,35,79,2247,291,736,0.395,135,429,0.315,156,307,0.508,0.487,123,144,0.854,63,163,226,311,133,16,155,148,840,OOR
Carlos Arroyo,PG,24,71,2008,339,768,0.441,38,117,0.325,301,651,0.462,0.466,181,225,0.804,41,144,185,355,63,5,156,165,897,OOR
Chucky Atkins,PG,29,64,1544,192,484,0.397,81,241,0.336,111,243,0.457,0.48,73,97,0.753,9,84,93,223,45,2,92,102,538,OOR
Stacey Augmon,SF,35,69,1416,143,347,0.412,1,7,0.143,142,340,0.418,0.414,110,139,0.791,52,122,174,85,55,15,76,114,397,OOR
Vin Baker,PF,32,54,1313,208,432,0.481,1,3,0.333,207,429,0.483,0.483,114,157,0.726,112,168,280,66,29,32,77,160,531,OOR
Marcus Banks,PG,22,81,1385,177,442,0.4,27,86,0.314,150,356,0.421,0.431,99,131,0.756,30,103,133,175,88,13,125,171,480,OOR
Leandro Barbosa,PG,21,70,1500,210,470,0.447,83,210,0.395,127,260,0.488,0.535,47,61,0.77,23,100,123,165,93,7,120,184,550,OOR
Matt Barnes,SF,23,38,724,63,138,0.457,2,13,0.154,61,125,0.488,0.464,43,61,0.705,53,98,151,48,27,3,44,76,171,OOR
Dana Barros,SG,36,1,11,2,3,0.667,0,0,0.0,2,3,0.667,0.667,2,2,1.0,0,0,0,0,0,0,0,2,6,OOR
Brent Barry,SG,32,59,1803,215,427,0.504,114,252,0.452,101,175,0.577,0.637,91,110,0.827,21,183,204,342,85,16,139,121,635,OOR
