Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status
Mahmoud Abdul-Rauf,PG,27,75,2131,411,924,0.445,94,246,0.382,317,678,0.468,0.496,115,136,0.846,16,106,122,189,56,6,119,174,1031,OOR
Shareef Abdur-Rahim,PF,20,80,2802,550,1214,0.453,7,27,0.259,543,1187,0.457,0.456,387,519,0.746,216,339,555,175,79,79,225,199,1494,OOR
Rafael Addison,SF,32,41,355,49,122,0.402,8,20,0.4,41,102,0.402,0.434,22,28,0.786,19,26,45,34,8,3,17,52,128,OOR
Cory Alexander,PG,23,80,1454,194,490,0.396,94,252,0.373,100,238,0.42,0.492,95,129,0.736,29,94,123,254,82,16,146,148,577,OOR
Jerome Allen,SG,24,76,943,78,221,0.353,30,93,0.323,48,128,0.375,0.421,42,72,0.583,25,73,98,152,31,4,69,84,228,OOR
Ray Allen,SG,21,82,2532,390,908,0.43,117,298,0.393,273,610,0.448,0.494,205,249,0.823,97,229,326,210,75,10,149,218,1102,OOR
Derrick Alston,C,24,2,11,0,5,0.0,0,0,0.0,0,5,0.0,0.0,0,2,0.0,3,1,4,0,0,0,0,0,0,OOR
Ashraf Amaya,PF,25,31,144,12,40,0.3,1,1,1.0,11,39,0.282,0.313,15,28,0.536,19,33,52,3,7,3,10,29,40,OOR
Greg Anderson,C,32,82,1659,130,262,0.496,0,1,0.0,130,261,0.498,0.496,62,93,0.667,157,291,448,34,63,67,73,225,322,OOR
Kenny Anderson,PG,26,82,3081,485,1137,0.427,132,366,0.361,353,771,0.458,0.485,334,435,0.768,91,272,363,584,162,15,193,222,1436,OOR
Nick Anderson,SG,29,63,2163,288,725,0.397,143,405,0.353,145,320,0.453,0.496,38,94,0.404,66,238,304,182,120,32,86,160,757,OOR
Shandon Anderson,SG,23,65,1066,147,318,0.462,24,47,0.511,123,271,0.454,0.5,68,99,0.687,52,127,179,49,27,8,73,113,386,OOR
Willie Anderson,SG,30,28,303,29,64,0.453,8,19,0.421,21,45,0.467,0.516,17,20,0.85,15,27,42,34,14,4,19,36,83,OOR
Greg Anthony,PG,29,65,1863,199,507,0.393,88,238,0.37,111,269,0.413,0.479,130,178,0.73,25,159,184,407,129,4,129,122,616,OOR
B.J. Armstrong,PG,29,49,1020,148,327,0.453,25,90,0.278,123,237,0.519,0.491,68,79,0.861,7,67,74,126,25,2,53,56,389,OOR
Darrell Armstrong,PG,28,67,1010,132,345,0.383,55,181,0.304,77,164,0.47,0.462,92,106,0.868,35,41,76,175,61,9,99,114,411,OOR
Vincent Askew,SG,30,43,838,81,186,0.435,7,24,0.292,74,162,0.457,0.454,70,88,0.795,25,73,98,90,17,6,46,123,239,OOR
Keith Askins,SF,29,78,1773,138,319,0.433,69,172,0.401,69,147,0.469,0.541,39,58,0.672,86,185,271,75,53,19,59,196,384,OOR
Stacey Augmon,SG,28,60,942,105,220,0.477,0,0,0.0,105,220,0.477,0.477,69,97,0.711,47,91,138,56,42,17,64,87,279,OOR
Isaac Austin,C,27,82,1881,321,639,0.502,0,3,0.0,321,636,0.505,0.502,150,226,0.664,136,342,478,101,45,43,161,244,792,OOR
Vin Baker,PF,25,78,3159,632,1251,0.505,15,54,0.278,617,1197,0.515,0.511,358,521,0.687,267,537,804,211,81,112,245,275,1637,OOR
Charles Barkley,PF,33,53,2009,335,692,0.484,58,205,0.283,277,487,0.569,0.526,288,415,0.694,212,504,716,248,69,25,151,153,1016,OOR
