Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season
Álex Abrines,SG,23,OKC,68,1055,134,341,0.393,94,247,0.381,40,94,0.426,0.531,44,49,0.898,18,68,86,40,37,8,33,114,406,10.1,0.56,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,0.096,-1.3,-0.4,-1.6,0.1,0,0.0,OOR,2017
Quincy Acy,PF,26,TOT,38,558,70,170,0.412,37,90,0.411,33,80,0.413,0.521,45,60,0.75,20,95,115,18,14,15,21,67,222,11.8,0.565,0.529,0.353,3.9,18.0,11.0,4.9,1.2,2.0,9.7,16.8,0.5,0.5,0.9,0.082,-1.5,-0.6,-2.1,0.0,0,0.0,OOR,2017
Steven Adams,C,23,OKC,80,2389,374,655,0.571,0,1,0.0,374,654,0.572,0.571,157,257,0.611,281,332,613,86,89,78,146,195,905,16.5,0.589,0.002,0.392,13.0,15.4,14.2,5.4,1.8,2.6,16.0,16.2,3.3,3.1,6.5,0.13,-0.2,0.0,-0.2,1.1,0,0.0,OOR,2017
Arron Afflalo,SG,31,SAC,61,1580,185,420,0.44,62,151,0.411,123,269,0.457,0.514,83,93,0.892,9,116,125,78,21,6,42,104,515,8.9,0.559,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,1.2,0.2,1.4,0.043,-2.1,-1.5,-3.6,-0.7,0,0.0,OOR,2017
Alexis Ajinça,C,28,NOP,39,584,89,178,0.5,0,4,0.0,89,174,0.511,0.5,29,40,0.725,46,131,177,12,20,22,31,77,207,12.9,0.529,0.022,0.225,8.3,23.8,16.0,3.1,1.7,3.1,13.7,17.2,0.0,0.9,1.0,0.08,-4.0,0.7,-3.3,-0.2,0,0.0,OOR,2017
Cole Aldrich,C,28,MIN,62,531,45,86,0.523,0,0,0.0,45,86,0.523,0.523,15,22,0.682,51,107,158,25,25,23,17,85,105,12.7,0.549,0.0,0.256,11.0,23.9,17.4,6.4,2.4,3.7,15.1,9.4,0.6,0.7,1.3,0.116,-2.3,1.5,-0.8,0.2,0,0.0,OOR,2017
LaMarcus Aldridge,PF,31,SAS,72,2335,500,1049,0.477,23,56,0.411,477,993,0.48,0.488,220,271,0.812,172,351,523,139,46,88,98,158,1243,18.6,0.532,0.053,0.258,8.5,16.6,12.7,9.9,1.0,3.0,7.7,24.5,3.5,3.7,7.2,0.149,0.7,0.1,0.8,1.7,0,0.0,OOR,2017
Lavoy Allen,PF,27,IND,61,871,77,168,0.458,0,1,0.0,77,167,0.461,0.458,23,33,0.697,105,114,219,57,18,24,29,78,177,11.6,0.485,0.006,0.196,13.7,14.5,14.1,9.1,1.0,2.4,13.7,10.9,0.9,0.8,1.7,0.093,-1.5,-0.2,-1.7,0.1,0,0.0,OOR,2017
Tony Allen,SG,35,MEM,71,1914,274,595,0.461,15,54,0.278,259,541,0.479,0.473,80,130,0.615,166,225,391,98,115,29,100,178,643,13.3,0.493,0.091,0.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,0.2,2.9,3.1,0.077,-2.0,1.1,-1.0,0.5,0,0.0,OOR,2017
Al-Farouq Aminu,PF,26,POR,61,1773,183,466,0.393,70,212,0.33,113,254,0.445,0.468,96,136,0.706,77,374,451,99,60,44,94,102,532,11.3,0.506,0.455,0.292,4.8,23.5,14.1,7.9,1.7,2.0,15.2,15.4,-0.1,2.0,1.9,0.051,-1.4,0.4,-1.1,0.4,0,0.0,OOR,2017
Chris Andersen,C,38,CLE,12,114,9,22,0.409,0,3,0.0,9,19,0.474,0.409,10,14,0.714,9,22,31,5,5,7,5,20,28,11.6,0.497,0.136,0.636,9.0,20.6,15.0,5.9,2.2,5.0,15.1,13.0,0.1,0.2,0.2,0.102,-4.7,2.2,-2.5,0.0,0,0.0,OOR,2017
Alan Anderson,SF,34,LAC,30,308,30,80,0.375,14,44,0.318,16,36,0.444,0.463,12,16,0.75,3,21,24,11,3,0,7,35,86,5.0,0.494,0.55,0.2,1.1,7.4,4.4,4.9,0.5,0.0,7.4,13.7,0.0,0.1,0.1,0.02,-4.2,-1.9,-6.1,-0.3,0,0.0,OOR,2017
Justin Anderson,SF,23,TOT,75,1228,186,439,0.424,58,194,0.299,128,245,0.522,0.49,102,129,0.791,69,176,245,66,41,23,66,109,532,13.9,0.537,0.442,0.294,6.2,16.9,11.4,8.8,1.7,1.6,11.7,20.9,0.6,1.3,1.9,0.074,-0.9,-0.4,-1.3,0.2,0,0.0,OOR,2017
Kyle Anderson,SF,23,SAS,72,1020,93,209,0.445,15,40,0.375,78,169,0.462,0.481,45,57,0.789,33,175,208,91,51,26,39,63,246,12.5,0.525,0.191,0.273,3.7,19.0,11.5,12.4,2.5,2.1,14.3,12.1,0.7,2.0,2.7,0.127,-1.4,3.2,1.8,1.0,0,0.0,OOR,2017
Ryan Anderson,PF,28,HOU,72,2116,323,773,0.418,204,506,0.403,119,267,0.446,0.55,129,150,0.86,112,218,330,68,31,14,55,142,979,13.5,0.583,0.655,0.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,4.0,1.1,5.2,0.117,1.7,-2.0,-0.4,0.9,0,0.0,OOR,2017
