Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season
Quincy Acy,PF,22,TOR,29,342,42,75,0.56,1,2,0.5,41,73,0.562,0.567,31,38,0.816,30,47,77,11,13,15,17,53,116,15.9,0.632,0.027,0.507,10.3,16.6,13.4,5.2,2.0,3.5,15.6,14.7,0.7,0.4,1.1,0.157,-1.0,1.0,0.1,0.2,0,0.0,OOR,2013
Jeff Adrien,PF,26,CHA,52,713,72,168,0.429,0,2,0.0,72,166,0.434,0.429,65,100,0.65,68,128,196,36,18,27,32,80,209,13.4,0.493,0.012,0.595,10.6,21.2,15.7,8.3,1.3,3.1,13.1,15.6,0.5,0.4,1.0,0.064,-2.1,-0.9,-3.0,-0.2,0,0.0,OOR,2013
Arron Afflalo,SF,27,ORL,64,2307,397,905,0.439,72,240,0.3,325,665,0.489,0.478,191,223,0.857,29,210,239,206,40,11,138,137,1057,13.0,0.527,0.265,0.246,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,1.5,0.5,2.0,0.042,-1.1,-1.8,-2.9,-0.5,0,0.0,OOR,2013
Josh Akognon,PG,26,DAL,3,9,2,4,0.5,1,2,0.5,1,2,0.5,0.625,0,0,0.0,0,1,1,1,0,0,0,3,5,15.3,0.625,0.5,0.0,0.0,12.1,6.2,19.4,0.0,0.0,0.0,20.3,0.0,0.0,0.0,0.196,-3.1,0.1,-3.0,0.0,0,0.0,OOR,2013
Cole Aldrich,C,24,TOT,45,388,44,80,0.55,0,0,0.0,44,80,0.55,0.55,12,20,0.6,30,90,120,9,5,23,23,60,100,11.1,0.563,0.0,0.25,8.7,26.7,17.7,3.4,0.7,4.6,20.6,12.7,0.1,0.4,0.6,0.07,-3.5,0.6,-2.9,-0.1,0,0.0,OOR,2013
LaMarcus Aldridge,PF,27,POR,74,2790,638,1318,0.484,2,14,0.143,636,1304,0.488,0.485,282,348,0.81,175,495,670,192,62,91,143,187,1560,20.4,0.53,0.011,0.264,7.2,20.9,14.0,13.0,1.2,2.5,8.9,26.5,4.8,2.3,7.2,0.124,1.7,-0.4,1.3,2.3,0,0.0,OOR,2013
Lavoy Allen,C,23,PHI,79,1669,206,454,0.454,0,1,0.0,206,453,0.455,0.454,43,60,0.717,159,236,395,73,24,55,55,180,455,11.5,0.474,0.002,0.132,10.5,16.5,13.4,6.7,0.8,2.6,10.3,14.8,0.9,1.6,2.5,0.072,-3.0,-0.3,-3.3,-0.6,0,0.0,OOR,2013
Ray Allen,SG,37,MIA,79,2035,292,651,0.449,139,332,0.419,153,319,0.48,0.555,140,158,0.886,40,177,217,135,67,15,103,129,863,14.7,0.599,0.51,0.243,2.6,10.1,6.6,10.2,1.7,0.6,12.5,19.3,3.4,1.9,5.4,0.126,1.1,-0.8,0.3,1.2,0,0.0,OOR,2013
Tony Allen,SG,31,MEM,79,2109,284,638,0.445,3,24,0.125,281,614,0.458,0.447,134,187,0.717,121,242,363,98,119,44,94,211,705,13.2,0.489,0.038,0.293,6.6,13.8,10.2,7.6,3.1,1.7,11.5,17.8,1.0,4.1,5.1,0.115,-2.0,2.4,0.4,1.2,0,0.0,OOR,2013
Al-Farouq Aminu,SF,22,NOH,76,2066,225,474,0.475,4,19,0.211,221,455,0.486,0.479,101,137,0.737,139,446,585,103,92,51,116,153,555,13.7,0.519,0.04,0.289,7.9,26.2,16.9,7.8,2.4,2.1,17.8,14.6,0.7,2.4,3.1,0.073,-1.3,1.2,-0.1,1.0,0,0.0,OOR,2013
Lou Amundson,PF,30,TOT,39,372,32,81,0.395,0,0,0.0,32,81,0.395,0.395,12,36,0.333,48,58,106,11,16,12,19,53,76,9.3,0.392,0.0,0.444,14.7,18.7,16.7,4.5,2.3,2.6,16.4,14.2,-0.3,0.4,0.1,0.019,-4.2,0.0,-4.2,-0.2,0,0.0,OOR,2013
Chris Andersen,C,34,MIA,42,624,71,123,0.577,2,3,0.667,69,120,0.575,0.585,63,93,0.677,57,115,172,17,16,44,24,89,207,17.4,0.631,0.024,0.756,11.9,21.5,17.0,4.0,1.4,5.8,12.8,14.4,1.6,1.1,2.7,0.207,-1.0,0.8,-0.2,0.3,0,0.0,OOR,2013
Alan Anderson,SF,30,TOR,65,1495,236,616,0.383,95,285,0.333,141,331,0.426,0.46,126,147,0.857,34,114,148,103,48,7,80,131,693,12.6,0.509,0.463,0.239,2.7,9.2,5.9,11.7,1.7,0.4,10.5,23.6,0.8,0.8,1.6,0.052,-0.5,-1.3,-1.8,0.1,0,0.0,OOR,2013
