Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status
Kareem Abdul-Jabbar,C,34,76,2677,753,1301,0.579,0,3,0.0,753,1298,0.58,0.579,312,442,0.706,172,487,659,225,63,207,230,224,1818,OOR
Alvan Adams,C,27,79,2393,507,1027,0.494,0,1,0.0,507,1026,0.494,0.494,182,233,0.781,138,448,586,356,114,78,196,269,1196,OOR
Mark Aguirre,SF,22,51,1468,381,820,0.465,25,71,0.352,356,749,0.475,0.48,168,247,0.68,89,160,249,164,37,22,135,152,955,OOR
Danny Ainge,SG,22,53,564,79,221,0.357,5,17,0.294,74,204,0.363,0.369,56,65,0.862,25,31,56,87,37,3,53,86,219,OOR
Tiny Archibald,PG,33,68,2167,308,652,0.472,6,16,0.375,302,636,0.475,0.477,236,316,0.747,25,91,116,541,52,3,178,131,858,OOR
Dennis Awtrey,C,33,10,121,5,15,0.333,0,0,0.0,5,15,0.333,0.333,5,9,0.556,7,7,14,8,1,2,6,28,15,OOR
Carl Bailey,C,23,1,7,1,1,1.0,0,0,0.0,1,1,1.0,1.0,0,0,0.0,0,0,0,0,0,0,2,2,2,OOR
James Bailey,PF,24,77,1468,261,505,0.517,0,0,0.0,261,505,0.517,0.517,137,224,0.612,127,264,391,65,42,83,139,270,659,OOR
Greg Ballard,SF,27,79,2946,621,1307,0.475,9,22,0.409,612,1285,0.476,0.479,235,283,0.83,136,497,633,250,137,22,119,204,1486,OOR
Gene Banks,SF,22,80,1700,311,652,0.477,0,8,0.0,311,644,0.483,0.477,145,212,0.684,157,254,411,147,55,17,106,199,767,OOR
Mike Bantom,SF,30,82,2016,334,712,0.469,2,6,0.333,332,706,0.47,0.471,168,267,0.629,174,266,440,114,63,61,149,272,838,OOR
Billy Ray Bates,SG,25,75,1229,327,692,0.473,12,41,0.293,315,651,0.484,0.481,166,211,0.787,53,55,108,111,41,5,93,100,832,OOR
Mel Bennett,PF,27,3,23,2,4,0.5,0,0,0.0,2,4,0.5,0.5,1,6,0.167,1,2,3,0,1,0,4,2,5,OOR
Kent Benson,C,27,75,2467,405,802,0.505,3,11,0.273,402,791,0.508,0.507,127,158,0.804,219,434,653,159,66,98,160,214,940,OOR
Larry Bird,PF,25,77,2923,711,1414,0.503,11,52,0.212,700,1362,0.514,0.507,328,380,0.863,200,637,837,447,143,66,254,244,1761,Candidate
Otis Birdsong,SG,26,37,1025,225,480,0.469,0,10,0.0,225,470,0.479,0.469,74,127,0.583,30,67,97,124,30,5,64,74,524,OOR
Rolando Blackman,SG,22,82,1979,439,855,0.513,1,4,0.25,438,851,0.515,0.514,212,276,0.768,97,157,254,105,46,30,113,122,1091,OOR
Ray Blume,SG,23,49,546,102,222,0.459,4,18,0.222,98,204,0.48,0.468,18,28,0.643,14,27,41,68,23,2,54,57,226,OOR
Alex Bradley,SF,22,39,331,54,103,0.524,0,1,0.0,54,102,0.529,0.524,29,48,0.604,31,34,65,11,12,5,28,37,137,OOR
Charles Bradley,SG,22,51,339,55,122,0.451,0,1,0.0,55,121,0.455,0.451,42,62,0.677,12,26,38,22,14,6,37,61,152,OOR
Dudley Bradley,SG,24,64,937,125,281,0.445,1,4,0.25,124,277,0.448,0.447,74,100,0.74,30,57,87,80,78,10,71,115,325,OOR
Brad Branson,PF,23,10,176,21,52,0.404,0,0,0.0,21,52,0.404,0.404,11,12,0.917,14,19,33,6,5,4,13,17,53,OOR
Mike Bratz,PG,26,81,1616,230,565,0.407,46,138,0.333,184,427,0.431,0.448,119,152,0.783,40,126,166,438,65,11,139,183,625,OOR
Jim Brewer,PF,30,71,966,81,175,0.463,1,6,0.167,80,169,0.473,0.466,7,19,0.368,106,158,264,42,39,46,37,127,170,OOR
Ron Brewer,SG,26,72,2319,569,1194,0.477,8,31,0.258,561,1163,0.482,0.48,211,260,0.812,55,106,161,188,82,30,125,151,1357,OOR
Junior Bridgeman,SF,28,41,924,209,433,0.483,4,9,0.444,205,424,0.483,0.487,89,103,0.864,37,88,125,109,28,3,64,91,511,OOR
Allan Bristow,SF,30,82,2035,218,499,0.437,3,18,0.167,215,481,0.447,0.44,134,164,0.817,119,220,339,448,65,6,165,222,573,OOR
Jim Brogan,SG,23,63,1027,165,364,0.453,9,32,0.281,156,332,0.47,0.466,61,84,0.726,61,59,120,156,49,13,83,123,400,OOR
Michael Brooks,SF,23,82,2750,537,1066,0.504,0,7,0.0,537,1059,0.507,0.504,202,267,0.757,207,417,624,236,113,39,197,285,1276,OOR
Fred Brown,SG,33,82,1785,393,863,0.455,25,77,0.325,368,786,0.468,0.47,111,129,0.86,42,98,140,238,69,4,96,111,922,OOR
Rickey Brown,C,23,82,1260,192,418,0.459,0,0,0.0,192,418,0.459,0.459,86,122,0.705,136,228,364,19,36,29,84,243,470,OOR
Joe Bryant,SF,27,75,1988,341,701,0.486,8,30,0.267,333,671,0.496,0.492,194,247,0.785,79,195,274,189,78,29,183,250,884,OOR
Quinn Buckner,PG,27,70,2156,396,822,0.482,4,15,0.267,392,807,0.486,0.484,110,168,0.655,77,173,250,328,174,3,180,218,906,OOR
Roger Burkman,SG,23,6,30,0,4,0.0,0,1,0.0,0,3,0.0,0.0,5,6,0.833,2,4,6,5,6,2,3,6,5,OOR
David Burns,PG,23,9,87,7,16,0.438,0,0,0.0,7,16,0.438,0.438,9,15,0.6,1,4,5,15,3,0,13,17,23,OOR
Don Buse,PG,31,82,2529,312,685,0.455,73,189,0.386,239,496,0.482,0.509,100,123,0.813,46,177,223,407,164,27,95,176,797,OOR
Kenny Carr,PF,26,74,1926,348,692,0.503,1,10,0.1,347,682,0.509,0.504,198,302,0.656,167,364,531,86,64,22,152,249,895,OOR
M.L. Carr,SF,31,56,1296,184,409,0.45,5,17,0.294,179,392,0.457,0.456,82,116,0.707,56,94,150,128,67,21,63,136,455,OOR
Joe Barry Carroll,C,23,76,2627,527,1016,0.519,0,1,0.0,527,1015,0.519,0.519,235,323,0.728,210,423,633,64,64,127,206,265,1289,OOR
Butch Carter,SG,23,75,1035,188,402,0.468,8,25,0.32,180,377,0.477,0.478,58,70,0.829,30,49,79,60,34,11,54,110,442,OOR
Reggie Carter,SG,24,75,923,119,280,0.425,0,0,0.0,119,280,0.425,0.425,64,80,0.8,35,60,95,130,36,6,78,124,302,OOR
Bill Cartwright,C,24,72,2060,390,694,0.562,0,0,0.0,390,694,0.562,0.562,257,337,0.763,116,305,421,87,48,65,166,208,1037,OOR
