Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status,Season
Jeff Adrien,PF,24,23,196,23,54,0.426,0,0,0.0,23,54,0.426,0.426,11,19,0.579,23,35,58,10,4,5,9,28,57,OOR,2011
Arron Afflalo,SG,25,69,2324,312,627,0.498,105,248,0.423,207,379,0.546,0.581,138,163,0.847,45,206,251,168,34,31,71,153,867,OOR,2011
Maurice Ager,SG,26,4,29,6,11,0.545,3,4,0.75,3,7,0.429,0.682,0,0,0.0,0,2,2,1,1,0,4,4,15,OOR,2011
Alexis Ajinça,C,22,34,340,59,133,0.444,12,34,0.353,47,99,0.475,0.489,13,18,0.722,17,61,78,10,11,19,18,73,143,OOR,2011
Solomon Alabi,C,22,12,59,3,15,0.2,0,0,0.0,3,15,0.2,0.2,0,2,0.0,7,7,14,2,2,2,3,5,6,OOR,2011
Cole Aldrich,C,22,18,142,8,15,0.533,0,0,0.0,8,15,0.533,0.533,2,4,0.5,13,22,35,4,5,7,8,30,18,OOR,2011
LaMarcus Aldridge,PF,25,81,3211,707,1415,0.5,4,23,0.174,703,1392,0.505,0.501,351,444,0.791,278,431,709,170,82,94,153,220,1769,OOR,2011
Malik Allen,PF,32,18,178,11,31,0.355,0,0,0.0,11,31,0.355,0.355,1,2,0.5,12,20,32,4,1,4,3,30,23,OOR,2011
Ray Allen,SG,35,80,2890,480,978,0.491,168,378,0.444,312,600,0.52,0.577,193,219,0.881,51,223,274,219,77,16,117,147,1321,OOR,2011
Tony Allen,SG,29,72,1494,251,492,0.51,4,23,0.174,247,469,0.527,0.514,137,182,0.753,70,123,193,104,129,44,86,161,643,OOR,2011
Al-Farouq Aminu,SF,20,81,1452,160,406,0.394,45,143,0.315,115,263,0.437,0.45,92,119,0.773,75,192,267,60,59,25,103,121,457,OOR,2011
