Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season,W/L%
Chris Silva,PF,24,MIA,11,83,9,13,0.692,1,1,1.0,8,12,0.667,0.731,11,15,0.733,7,18,25,6,1,5,9,20,30,13.4,0.765,0.077,1.154,9.8,23.3,16.8,10.5,0.6,6.3,31.5,15.4,0.1,0.1,0.2,0.139,-5.0,1.2,-3.8,0.0,2021,0.478
Ben Simmons,PG,24,PHI,38,1293,234,420,0.557,3,9,0.333,231,411,0.562,0.561,132,205,0.644,68,234,302,286,57,26,139,122,603,18.5,0.591,0.021,0.488,6.0,19.2,12.8,32.4,2.1,1.8,21.4,21.3,1.8,2.2,4.0,0.147,1.0,1.7,2.7,1.5,2021,0.696
Anfernee Simons,SG,21,POR,39,656,108,264,0.409,79,187,0.422,29,77,0.377,0.559,24,31,0.774,8,84,92,57,8,5,31,66,319,12.3,0.574,0.708,0.117,1.3,14.3,7.5,12.8,0.6,0.7,10.0,20.3,0.7,0.0,0.8,0.056,0.5,-2.3,-1.9,0.0,2021,0.609
Deividas Sirvydis,SG,20,DET,8,13,1,5,0.2,1,5,0.2,0,0,0.0,0.3,1,2,0.5,0,2,2,1,1,0,1,1,4,1.8,0.34,1.0,0.4,0.0,17.6,8.6,10.9,3.8,0.0,14.5,23.1,-0.1,0.0,0.0,-0.143,-10.1,-1.2,-11.3,0.0,2021,0.267
Alen Smailagić,PF,20,GSW,4,15,2,7,0.286,1,4,0.25,1,3,0.333,0.357,0,2,0.0,0,0,0,0,0,0,0,5,5,-7.8,0.317,0.571,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,-0.1,0.0,-0.1,-0.219,-12.7,-5.3,-18.0,-0.1,2021,0.478
Marcus Smart,PG,26,BOS,27,858,112,281,0.399,53,153,0.346,59,128,0.461,0.493,72,93,0.774,13,67,80,146,41,13,45,65,349,14.4,0.542,0.544,0.331,1.7,8.8,5.2,23.2,2.3,1.4,12.3,18.4,1.2,0.7,1.9,0.108,-0.1,-0.1,-0.2,0.4,2021,0.5
Dennis Smith Jr.,PG,23,DET,19,349,51,128,0.398,17,51,0.333,34,77,0.442,0.465,12,16,0.75,11,39,50,66,20,14,23,30,131,14.3,0.485,0.398,0.125,3.4,12.7,8.0,29.7,2.8,3.6,14.6,19.8,0.0,0.5,0.5,0.068,-1.1,1.8,0.8,0.2,2021,0.267
Ish Smith,PG,32,WAS,19,391,44,116,0.379,5,20,0.25,39,96,0.406,0.401,6,15,0.4,10,56,66,90,15,4,19,18,99,10.6,0.404,0.172,0.129,2.7,15.3,8.9,30.7,1.8,0.9,13.4,15.1,-0.2,0.3,0.2,0.02,-2.2,-0.3,-2.5,0.0,2021,0.364
Jalen Smith,PF,20,PHO,15,66,8,21,0.381,2,9,0.222,6,12,0.5,0.429,1,3,0.333,5,10,15,2,0,2,3,7,19,5.8,0.426,0.429,0.143,8.7,16.5,12.7,4.0,0.0,2.7,11.8,17.1,-0.1,0.1,0.0,-0.011,-4.3,-1.4,-5.7,-0.1,2021,0.689
Tony Snell,SG,29,ATL,33,659,63,122,0.516,48,84,0.571,15,38,0.395,0.713,4,4,1.0,13,62,75,46,5,8,14,49,178,10.2,0.719,0.689,0.033,2.2,10.1,6.2,9.5,0.4,1.1,10.2,9.0,1.2,0.2,1.4,0.105,0.2,-0.3,-0.1,0.3,2021,0.5
