Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season,W/L%
Karl-Anthony Towns,C,25,MIN,26,874,218,444,0.491,60,150,0.4,158,294,0.537,0.559,124,143,0.867,71,200,271,111,20,39,88,91,620,22.8,0.612,0.338,0.322,8.4,25.7,16.7,21.7,1.1,3.7,14.8,28.6,1.6,0.9,2.5,0.136,3.6,0.6,4.1,1.3,2021,0.239
Gary Trent Jr.,SG,22,POR,43,1322,223,545,0.409,122,315,0.387,101,230,0.439,0.521,59,77,0.766,22,76,98,58,38,6,31,67,627,12.1,0.542,0.578,0.141,1.7,6.4,4.0,6.6,1.4,0.4,5.1,19.9,1.2,0.0,1.2,0.042,-0.5,-2.3,-2.7,-0.2,2021,0.609
P.J. Tucker,PF,35,HOU,35,1003,49,135,0.363,28,90,0.311,21,45,0.467,0.467,18,23,0.783,36,118,154,46,29,20,33,93,144,5.6,0.496,0.667,0.17,3.7,13.0,8.1,6.1,1.4,1.8,18.5,7.6,-0.2,0.9,0.8,0.036,-5.0,0.3,-4.7,-0.7,2021,0.289
Rayjon Tucker,F,23,PHI,2,6,1,1,1.0,1,1,1.0,0,0,0.0,1.5,6,6,1.0,0,1,1,1,0,0,0,2,9,64.2,1.236,1.0,6.0,0.0,17.7,9.2,23.9,0.0,0.0,0.0,25.8,0.1,0.0,0.1,1.112,20.7,9.4,30.1,0.0,2021,0.696
Myles Turner,C,24,IND,41,1268,182,383,0.475,60,182,0.33,122,201,0.607,0.554,98,125,0.784,55,210,265,43,38,144,56,142,522,16.2,0.596,0.475,0.326,4.8,18.6,11.7,4.7,1.4,9.7,11.3,16.8,1.1,2.2,3.3,0.124,-1.1,2.0,0.9,0.9,2021,0.477
Jonas Valančiūnas,C,28,MEM,38,1044,243,442,0.55,11,37,0.297,232,405,0.573,0.562,101,133,0.759,152,322,474,66,23,27,71,114,598,21.9,0.597,0.084,0.301,15.1,34.1,24.3,9.8,1.0,2.4,12.4,23.0,2.1,1.6,3.8,0.173,1.7,-0.8,0.8,0.7,2021,0.488
Denzel Valentine,SG,27,CHI,40,725,109,292,0.373,57,171,0.333,52,121,0.43,0.471,9,9,1.0,18,134,152,65,25,1,22,43,284,10.7,0.48,0.586,0.031,2.8,20.0,11.6,12.3,1.6,0.1,6.9,18.8,-0.1,0.8,0.7,0.045,-1.8,-0.7,-2.6,-0.1,2021,0.432
Jarred Vanderbilt,PF,21,MIN,44,785,98,163,0.601,1,4,0.25,97,159,0.61,0.604,43,74,0.581,70,168,238,58,43,30,44,88,240,15.4,0.614,0.025,0.454,9.2,24.0,16.3,10.4,2.6,3.2,18.4,12.8,0.9,1.0,1.9,0.114,-2.2,1.1,-1.1,0.2,2021,0.239
Fred VanVleet,SG,26,TOR,41,1511,271,683,0.397,139,373,0.373,132,310,0.426,0.499,143,159,0.899,26,150,176,259,71,29,80,101,824,17.2,0.547,0.546,0.233,1.8,11.4,6.4,26.7,2.3,1.9,9.6,23.8,2.3,1.4,3.7,0.118,2.4,0.0,2.4,1.7,2021,0.391
Devin Vassell,SF,20,SAS,36,618,67,161,0.416,34,82,0.415,33,79,0.418,0.522,26,30,0.867,17,93,110,37,32,11,15,50,194,12.1,0.557,0.509,0.186,2.8,16.1,9.4,8.0,2.5,1.5,7.9,13.4,0.4,0.9,1.3,0.104,-1.8,1.7,-0.1,0.3,2021,0.535
Gabe Vincent,PG,24,MIA,31,462,65,173,0.376,32,110,0.291,33,63,0.524,0.468,19,21,0.905,5,31,36,49,15,2,27,54,181,7.7,0.497,0.636,0.121,1.3,7.2,4.3,16.2,1.6,0.5,12.9,20.3,-0.4,0.4,0.0,0.005,-4.4,-0.9,-5.4,-0.4,2021,0.478
Noah Vonleh,PF,25,BRK,4,11,0,3,0.0,0,2,0.0,0,1,0.0,0.0,0,0,0.0,0,1,1,1,0,0,2,2,0,-19.1,0.0,0.667,0.0,0.0,9.8,5.1,10.2,0.0,0.0,40.0,19.8,-0.1,0.0,-0.1,-0.49,-20.9,-8.9,-29.9,-0.1,2021,0.674
Nikola Vučević,C,30,ORL,45,1532,445,924,0.482,119,292,0.408,326,632,0.516,0.546,92,111,0.829,89,437,526,170,42,28,83,83,1101,23.6,0.566,0.316,0.12,5.9,30.6,17.9,21.7,1.3,1.7,7.9,29.8,2.5,2.1,4.6,0.144,5.5,0.1,5.6,3.0,2021,0.326
Dean Wade,PF,24,CLE,38,524,60,140,0.429,35,92,0.38,25,48,0.521,0.554,15,20,0.75,19,76,95,35,12,11,14,36,170,11.8,0.571,0.657,0.143,3.9,16.7,10.1,9.7,1.1,1.9,8.6,13.4,0.6,0.4,1.0,0.091,-0.6,0.2,-0.3,0.2,2021,0.37
Moritz Wagner,C,23,WAS,27,391,64,129,0.496,14,45,0.311,50,84,0.595,0.55,41,52,0.788,14,65,79,33,22,8,24,64,183,14.7,0.602,0.349,0.403,3.8,17.8,10.7,12.1,2.6,1.7,13.6,18.8,0.4,0.5,0.9,0.108,-1.6,0.7,-0.9,0.1,2021,0.364
Kemba Walker,PG,30,BOS,27,829,165,419,0.394,78,216,0.361,87,203,0.429,0.487,78,84,0.929,8,86,94,125,33,9,59,34,486,16.2,0.533,0.516,0.2,1.1,11.7,6.3,22.7,2.0,1.0,11.5,26.8,0.7,0.6,1.4,0.079,1.7,-0.8,0.9,0.6,2021,0.5
Lonnie Walker,SG,22,SAS,37,968,164,386,0.425,63,177,0.356,101,209,0.483,0.506,36,46,0.783,9,94,103,61,19,13,38,73,427,10.1,0.526,0.459,0.119,1.0,10.4,5.6,9.2,0.9,1.2,8.6,20.0,-0.3,0.8,0.5,0.027,-2.2,-1.4,-3.7,-0.4,2021,0.535
John Wall,PG,30,HOU,31,985,227,561,0.405,61,190,0.321,166,371,0.447,0.459,122,164,0.744,15,90,105,209,30,23,104,38,637,16.0,0.503,0.339,0.292,1.5,10.1,5.7,37.0,1.4,2.1,14.1,31.9,-0.6,0.8,0.3,0.013,1.5,-1.7,-0.2,0.4,2021,0.289
Brad Wanamaker,PG,31,GSW,40,629,61,173,0.353,13,61,0.213,48,112,0.429,0.39,50,56,0.893,8,58,66,99,26,6,38,56,185,8.4,0.468,0.353,0.324,1.3,9.7,5.5,20.9,1.9,0.8,16.1,16.0,-0.3,0.6,0.3,0.027,-4.8,0.2,-4.5,-0.4,2021,0.478
T.J. Warren,SF,27,IND,4,117,27,51,0.529,0,7,0.0,27,44,0.614,0.529,8,10,0.8,2,12,14,5,2,0,4,16,62,11.9,0.56,0.137,0.196,1.9,11.5,6.7,6.7,0.8,0.0,6.7,21.9,0.1,0.1,0.1,0.05,-3.0,-2.5,-5.5,-0.1,2021,0.477
P.J. Washington,PF,22,CHO,41,1226,175,397,0.441,56,147,0.381,119,250,0.476,0.511,83,107,0.776,62,211,273,116,41,53,91,114,489,13.1,0.551,0.37,0.27,5.5,18.9,12.1,13.6,1.6,4.4,17.0,18.7,0.2,1.5,1.7,0.068,-1.6,0.5,-1.1,0.3,2021,0.511
Yuta Watanabe,SF,26,TOR,27,307,21,67,0.313,13,35,0.371,8,32,0.25,0.41,9,10,0.9,20,61,81,13,10,14,8,25,64,9.4,0.448,0.522,0.149,6.9,22.7,14.5,5.6,1.6,4.6,10.1,11.2,0.0,0.4,0.4,0.059,-2.8,0.0,-2.8,-0.1,2021,0.391
Tremont Waters,PG,23,BOS,12,100,10,31,0.323,6,15,0.4,4,16,0.25,0.419,7,8,0.875,2,6,8,31,6,0,13,6,33,11.8,0.478,0.484,0.258,2.2,6.7,4.5,40.6,2.9,0.0,27.4,20.5,0.0,0.1,0.1,0.025,-0.4,-0.8,-1.2,0.0,2021,0.5
Paul Watson,SF,26,TOR,24,234,25,55,0.455,20,44,0.455,5,11,0.455,0.636,2,4,0.5,3,32,35,11,5,2,6,31,72,8.7,0.634,0.8,0.073,1.4,15.6,8.2,6.6,1.0,0.9,9.6,11.6,0.2,0.2,0.4,0.076,-2.3,-0.8,-3.0,-0.1,2021,0.391
Quinndary Weatherspoon,SG,24,SAS,10,46,2,8,0.25,0,2,0.0,2,6,0.333,0.25,2,2,1.0,0,3,3,4,4,1,8,9,6,-3.2,0.338,0.25,0.25,0.0,7.0,3.4,10.7,4.2,1.9,47.4,16.0,-0.3,0.1,-0.2,-0.187,-13.5,-0.2,-13.7,-0.1,2021,0.535
Russell Westbrook,PG,32,WAS,37,1289,299,693,0.431,46,152,0.303,253,541,0.468,0.465,149,242,0.616,56,315,371,379,47,15,184,106,793,17.3,0.496,0.219,0.349,4.6,26.1,15.2,46.6,1.7,1.0,18.7,31.8,-1.0,1.4,0.5,0.017,1.2,-0.3,1.0,1.0,2021,0.364
Coby White,PG,20,CHI,44,1388,243,594,0.409,99,282,0.351,144,312,0.462,0.492,77,86,0.895,21,180,201,204,23,7,99,109,662,11.5,0.524,0.475,0.145,1.7,14.1,8.0,20.9,0.8,0.4,13.5,22.5,0.2,1.0,1.2,0.041,-1.5,-1.8,-3.4,-0.5,2021,0.432
Derrick White,SG,26,SAS,19,524,81,212,0.382,38,114,0.333,43,98,0.439,0.472,44,50,0.88,3,46,49,65,13,21,26,51,244,12.6,0.521,0.538,0.236,0.6,9.4,4.9,17.7,1.2,3.5,10.0,21.7,0.1,0.6,0.6,0.058,-0.6,0.1,-0.6,0.2,2021,0.535
Hassan Whiteside,C,31,SAC,28,416,96,173,0.555,0,1,0.0,96,172,0.558,0.555,33,63,0.524,49,120,169,16,6,39,32,52,225,19.9,0.56,0.006,0.364,12.8,32.5,22.5,5.8,0.7,7.8,13.8,23.9,0.2,0.5,0.7,0.078,-1.6,-0.2,-1.8,0.0,2021,0.457
Greg Whittington,PF,27,DEN,4,12,0,3,0.0,0,2,0.0,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-10.2,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,-0.1,0.0,-0.1,-0.265,-11.4,-6.1,-17.5,0.0,2021,0.609
Andrew Wiggins,PF,25,GSW,46,1484,313,662,0.473,92,234,0.393,221,428,0.516,0.542,115,164,0.701,49,171,220,100,41,43,88,102,833,14.5,0.567,0.353,0.248,3.5,12.1,7.8,10.5,1.3,2.6,10.7,23.6,0.4,1.6,1.9,0.063,-0.3,-0.8,-1.1,0.3,2021,0.478
Grant Williams,PF,22,BOS,38,714,69,150,0.46,32,77,0.416,37,73,0.507,0.567,19,36,0.528,37,82,119,39,22,15,32,99,189,8.9,0.57,0.513,0.24,5.8,12.9,9.3,7.1,1.5,2.0,16.2,11.9,0.4,0.6,1.0,0.065,-3.2,0.0,-3.2,-0.2,2021,0.5
Kenrich Williams,PF,26,OKC,45,891,136,235,0.579,30,67,0.448,106,168,0.631,0.643,20,37,0.541,56,123,179,85,32,9,44,80,322,14.8,0.641,0.285,0.157,6.6,14.4,10.5,14.5,1.7,0.9,14.9,14.4,1.4,1.0,2.4,0.128,-0.8,1.1,0.3,0.5,2021,0.422
Lou Williams,PG,34,LAC,42,918,181,430,0.421,45,119,0.378,136,311,0.437,0.473,103,119,0.866,15,73,88,144,39,4,66,42,510,15.9,0.529,0.277,0.277,1.9,8.8,5.4,23.2,2.1,0.4,12.0,26.5,0.7,0.8,1.6,0.082,-0.5,-1.4,-1.9,0.0,2021,0.66
Patrick Williams,PF,19,CHI,43,1212,158,339,0.466,36,96,0.375,122,243,0.502,0.519,59,77,0.766,40,170,210,53,30,31,62,92,411,9.8,0.551,0.283,0.227,3.7,15.2,9.6,5.9,1.2,2.2,14.3,15.4,0.0,1.2,1.2,0.048,-3.1,-0.5,-3.6,-0.5,2021,0.432
Robert Williams,C,23,BOS,39,689,132,184,0.717,0,1,0.0,132,183,0.721,0.717,37,57,0.649,97,162,259,57,35,71,38,74,301,27.0,0.72,0.005,0.31,15.6,26.4,21.0,12.3,2.5,9.7,15.4,15.4,2.4,1.4,3.8,0.264,3.2,3.3,6.5,1.5,2021,0.5
Zion Williamson,PF,20,NOP,43,1412,433,690,0.628,8,23,0.348,425,667,0.637,0.633,258,364,0.709,111,192,303,152,37,30,111,100,1132,27.9,0.666,0.033,0.528,8.9,15.1,12.0,18.5,1.3,2.1,11.5,29.0,5.7,0.7,6.4,0.219,5.6,-0.4,5.2,2.6,2021,0.444
D.J. Wilson,PF,24,MIL,18,184,28,71,0.394,15,40,0.375,13,31,0.419,0.5,6,8,0.75,7,40,47,7,2,8,9,25,77,10.0,0.517,0.563,0.113,4.0,23.0,13.5,5.5,0.5,3.9,10.8,19.2,-0.1,0.2,0.2,0.042,-3.9,-0.8,-4.7,-0.1,2021,0.644
Dylan Windler,SF,24,CLE,31,513,57,130,0.438,26,77,0.338,31,53,0.585,0.538,21,27,0.778,20,87,107,33,19,12,32,37,161,10.9,0.567,0.592,0.208,4.2,19.5,11.7,9.3,1.8,2.1,18.4,14.7,0.0,0.6,0.6,0.054,-1.8,0.1,-1.7,0.0,2021,0.37
Justise Winslow,SF,24,MEM,16,337,50,146,0.342,5,41,0.122,45,105,0.429,0.36,9,16,0.563,13,64,77,28,12,7,25,32,114,4.9,0.372,0.281,0.11,4.0,21.0,12.2,11.3,1.7,1.9,14.0,22.2,-1.1,0.5,-0.6,-0.091,-7.2,-0.2,-7.4,-0.5,2021,0.488
Cassius Winston,PG,22,WAS,10,57,6,15,0.4,5,10,0.5,1,5,0.2,0.567,2,2,1.0,0,7,7,10,0,1,1,5,19,12.1,0.598,0.667,0.133,0.0,13.1,6.5,23.2,0.0,1.5,5.9,12.3,0.1,0.0,0.1,0.12,-0.2,-1.3,-1.6,0.0,2021,0.364
James Wiseman,C,19,GSW,32,686,158,306,0.516,11,33,0.333,147,273,0.538,0.534,51,81,0.63,44,146,190,20,10,30,50,105,378,13.4,0.553,0.108,0.265,6.8,22.4,14.6,4.7,0.7,3.9,12.8,24.3,-0.4,0.9,0.6,0.039,-4.0,-1.3,-5.4,-0.6,2021,0.478
Christian Wood,C,25,HOU,23,714,195,354,0.551,39,103,0.379,156,251,0.622,0.606,65,97,0.67,39,186,225,30,19,32,41,46,494,22.9,0.623,0.291,0.274,5.6,28.9,16.7,7.9,1.3,4.0,9.4,26.1,1.1,1.1,2.2,0.148,2.9,0.1,3.0,0.9,2021,0.289
Robert Woodard,SF,21,SAC,8,22,6,13,0.462,1,4,0.25,5,9,0.556,0.5,3,8,0.375,3,5,8,0,0,0,1,1,16,16.5,0.484,0.308,0.615,14.9,25.6,20.1,0.0,0.0,0.0,5.7,34.0,0.0,0.0,0.0,-0.034,-0.4,-7.3,-7.7,0.0,2021,0.457
Delon Wright,SG,28,DET,37,1075,137,297,0.461,31,90,0.344,106,207,0.512,0.513,73,93,0.785,37,130,167,183,58,19,49,45,378,16.4,0.559,0.303,0.313,3.8,13.8,8.7,25.9,2.7,1.6,12.7,15.7,1.7,1.3,2.9,0.131,0.9,1.7,2.6,1.2,2021,0.267
Thaddeus Young,PF,32,CHI,40,996,224,380,0.589,6,24,0.25,218,356,0.612,0.597,29,54,0.537,98,159,257,177,53,24,82,101,483,20.8,0.598,0.063,0.142,11.1,17.3,14.3,27.2,2.5,2.1,16.9,20.9,1.9,1.4,3.4,0.162,1.9,1.8,3.7,1.4,2021,0.432
Trae Young,PG,22,ATL,44,1516,338,778,0.434,107,297,0.36,231,481,0.48,0.503,342,391,0.875,31,147,178,415,36,10,188,83,1125,22.7,0.592,0.382,0.503,2.3,10.4,6.4,45.3,1.2,0.6,16.5,32.5,4.3,0.8,5.2,0.163,5.6,-1.7,3.9,2.3,2021,0.5
Cody Zeller,C,28,CHO,26,558,92,181,0.508,3,20,0.15,89,161,0.553,0.517,40,58,0.69,65,114,179,55,18,11,24,61,227,17.1,0.55,0.11,0.32,12.6,22.5,17.5,14.6,1.6,2.0,10.4,17.7,1.0,0.6,1.7,0.142,-0.2,0.1,-0.1,0.3,2021,0.511
Ivica Zubac,C,23,LAC,47,985,155,241,0.643,0,3,0.0,155,238,0.651,0.643,95,115,0.826,123,215,338,53,20,44,50,116,405,20.3,0.694,0.012,0.477,14.3,24.1,19.3,7.5,1.0,3.9,14.6,15.4,3.2,1.3,4.5,0.22,1.0,-0.1,0.9,0.7,2021,0.66
