Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status,Season
Shareef Abdur-Rahim,PF,29,72,1961,332,632,0.525,5,22,0.227,327,610,0.536,0.529,218,278,0.784,106,251,357,149,48,42,108,227,887,OOR,2006
Alex Acker,SG,23,5,35,4,16,0.25,1,5,0.2,3,11,0.273,0.281,0,0,0.0,1,4,5,4,1,0,4,4,9,OOR,2006
Malik Allen,PF,27,54,701,121,247,0.49,1,1,1.0,120,246,0.488,0.492,23,38,0.605,44,96,140,20,14,16,34,92,266,OOR,2006
Ray Allen,SG,30,78,3022,681,1500,0.454,269,653,0.412,412,847,0.486,0.544,324,359,0.903,71,261,332,286,105,16,188,151,1955,OOR,2006
Tony Allen,PG,24,51,978,129,274,0.471,11,34,0.324,118,240,0.492,0.491,100,134,0.746,32,79,111,67,51,18,67,126,369,OOR,2006
Rafer Alston,PG,29,63,2431,280,738,0.379,102,312,0.327,178,426,0.418,0.449,99,143,0.692,36,219,255,425,101,15,157,194,761,OOR,2006
Chris Andersen,C,27,32,570,56,98,0.571,0,0,0.0,56,98,0.571,0.571,49,103,0.476,61,94,155,6,8,41,26,84,161,OOR,2006
Alan Anderson,SF,23,36,564,75,181,0.414,24,58,0.414,51,123,0.415,0.481,33,41,0.805,23,47,70,32,11,4,32,48,207,OOR,2006
Derek Anderson,SG,31,43,1047,108,303,0.356,40,134,0.299,68,169,0.402,0.422,93,111,0.838,21,122,143,101,23,6,54,98,349,OOR,2006
Shandon Anderson,SF,32,48,638,54,126,0.429,5,19,0.263,49,107,0.458,0.448,13,18,0.722,18,63,81,30,17,6,24,75,126,OOR,2006
Martynas Andriuškevičius,C,19,6,9,0,1,0.0,0,0,0.0,0,1,0.0,0.0,0,0,0.0,1,3,4,0,2,0,0,1,0,OOR,2006
Carmelo Anthony,SF,21,80,2941,756,1572,0.481,37,152,0.243,719,1420,0.506,0.493,573,709,0.808,122,272,394,216,88,42,218,229,2122,OOR,2006
Rafael Araújo,C,25,52,601,53,145,0.366,0,1,0.0,53,144,0.368,0.366,15,28,0.536,43,101,144,15,24,6,42,104,121,OOR,2006
Gilbert Arenas,PG,24,80,3384,746,1668,0.447,199,540,0.369,547,1128,0.485,0.507,655,799,0.82,59,221,280,484,161,25,297,286,2346,OOR,2006
Trevor Ariza,SF,20,57,999,93,226,0.412,1,5,0.2,92,221,0.416,0.414,77,127,0.606,78,140,218,61,57,11,62,100,264,OOR,2006
Darrell Armstrong,PG,37,62,622,43,128,0.336,11,48,0.229,32,80,0.4,0.379,33,42,0.786,18,63,81,86,27,3,58,71,130,OOR,2006
Carlos Arroyo,PG-SG,26,77,1194,168,378,0.444,7,20,0.35,161,358,0.45,0.454,106,137,0.774,33,97,130,232,38,4,83,119,449,OOR,2006
Chucky Atkins,PG-SG,31,71,1713,226,573,0.394,97,274,0.354,129,299,0.431,0.479,129,163,0.791,23,97,120,198,43,2,87,152,678,OOR,2006
Stacey Augmon,SF,37,36,385,25,73,0.342,0,0,0.0,25,73,0.342,0.342,21,30,0.7,18,35,53,23,12,6,11,40,71,OOR,2006
Vin Baker,C,34,8,85,7,15,0.467,0,0,0.0,7,15,0.467,0.467,13,18,0.722,2,17,19,4,4,4,9,13,27,OOR,2006
Marcus Banks,PG,24,58,1497,219,468,0.468,22,63,0.349,197,405,0.486,0.491,118,147,0.803,23,112,135,220,54,11,119,162,578,OOR,2006
Leandro Barbosa,SG,23,57,1592,273,567,0.481,87,196,0.444,186,371,0.501,0.558,111,147,0.755,31,119,150,158,48,6,89,145,744,OOR,2006
Matt Barnes,PF-SF,25,56,631,70,140,0.5,3,15,0.2,67,125,0.536,0.511,32,47,0.681,48,73,121,28,20,7,30,100,175,OOR,2006
Andre Barrett,PG,23,19,282,38,104,0.365,2,14,0.143,36,90,0.4,0.375,9,12,0.75,9,16,25,52,10,0,15,13,87,OOR,2006
Earl Barron,C,24,8,45,5,16,0.313,0,0,0.0,5,16,0.313,0.313,3,4,0.75,2,8,10,0,0,0,5,10,13,OOR,2006
Brent Barry,SG,34,74,1259,156,345,0.452,80,202,0.396,76,143,0.531,0.568,39,59,0.661,29,130,159,123,39,27,52,99,431,OOR,2006
Jon Barry,SG,36,20,342,25,65,0.385,12,32,0.375,13,33,0.394,0.477,24,29,0.828,1,30,31,26,13,1,22,25,86,OOR,2006
Eddie Basden,SF,22,19,141,15,37,0.405,1,7,0.143,14,30,0.467,0.419,8,10,0.8,7,21,28,8,9,2,9,17,39,OOR,2006
Brandon Bass,PF,20,29,268,28,70,0.4,0,0,0.0,28,70,0.4,0.4,12,19,0.632,18,50,68,3,3,7,11,18,68,OOR,2006
Esteban Batista,PF,22,57,495,34,80,0.425,0,1,0.0,34,79,0.43,0.425,33,53,0.623,61,83,144,7,15,11,38,111,101,OOR,2006
Tony Battie,C,29,82,2215,280,552,0.507,0,6,0.0,280,546,0.513,0.507,89,134,0.664,145,312,457,49,46,69,88,250,649,OOR,2006
Shane Battier,SF,27,81,2839,303,621,0.488,65,165,0.394,238,456,0.522,0.54,147,208,0.707,164,265,429,136,92,114,90,223,818,OOR,2006
Lonny Baxter,C-PF,27,41,400,45,104,0.433,0,0,0.0,45,104,0.433,0.433,28,35,0.8,45,72,117,4,11,8,20,56,118,OOR,2006
Charlie Bell,SG,26,59,1283,180,410,0.439,71,168,0.423,109,242,0.45,0.526,63,89,0.708,21,99,120,130,59,5,41,126,494,OOR,2006
Raja Bell,SG,29,79,2959,425,930,0.457,197,446,0.442,228,484,0.471,0.563,115,146,0.788,44,209,253,207,76,22,89,248,1162,OOR,2006
Jonathan Bender,SF,25,2,21,4,5,0.8,0,0,0.0,4,5,0.8,0.8,2,2,1.0,0,4,4,2,0,1,0,2,10,OOR,2006
Mike Bibby,PG,27,82,3167,597,1382,0.432,192,497,0.386,405,885,0.458,0.501,342,403,0.849,29,211,240,444,82,10,199,169,1728,OOR,2006
Andris Biedriņš,C,19,68,1000,118,185,0.638,0,0,0.0,118,185,0.638,0.638,22,72,0.306,124,159,283,24,23,47,34,190,258,OOR,2006
