Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season
Kareem Abdul-Jabbar,C,40,80,2308,480,903,0.532,0,1,0.0,480,902,0.532,0.532,205,269,0.762,118,360,478,135,48,92,159,216,1165,15.8,0.57,0.001,0.298,6.1,16.9,11.7,8.4,1.0,2.2,13.5,21.4,2.6,2.7,5.3,0.111,-0.1,0.1,0.0,1.2,0,0.0,OOR,1988
Mark Acres,C,25,79,1151,108,203,0.532,0,0,0.0,108,203,0.532,0.532,71,111,0.64,105,165,270,42,29,27,54,198,287,9.3,0.57,0.0,0.547,11.6,15.9,13.9,4.5,1.2,1.3,17.7,11.4,1.1,1.0,2.2,0.09,-2.6,-0.2,-2.8,-0.2,0,0.0,OOR,1988
Alvan Adams,C,33,82,1646,251,506,0.496,1,2,0.5,250,504,0.496,0.497,108,128,0.844,118,247,365,183,82,41,140,245,611,13.1,0.543,0.004,0.253,8.0,17.0,12.5,14.9,2.4,1.4,19.9,17.4,0.6,1.6,2.2,0.064,-1.5,1.0,-0.5,0.6,0,0.0,OOR,1988
Michael Adams,PG,25,82,2778,416,927,0.449,139,379,0.367,277,548,0.505,0.524,166,199,0.834,40,183,223,503,168,16,144,138,1137,15.6,0.56,0.409,0.215,1.5,7.2,4.2,22.5,2.8,0.3,12.4,16.2,4.4,3.2,7.5,0.13,1.5,0.9,2.5,3.1,0,0.001,Candidate,1988
Mark Aguirre,SF,28,77,2610,746,1571,0.475,52,172,0.302,694,1399,0.496,0.491,388,504,0.77,182,252,434,278,70,57,203,223,1932,21.9,0.539,0.109,0.321,7.7,10.3,9.0,18.4,1.3,1.3,10.2,31.6,6.5,2.3,8.8,0.163,4.6,-0.8,3.8,3.9,0,0.001,Candidate,1988
Danny Ainge,SG,28,81,3018,482,982,0.491,148,357,0.415,334,625,0.534,0.566,158,180,0.878,59,190,249,503,115,17,153,203,1270,15.9,0.598,0.364,0.183,2.5,7.0,4.9,22.2,1.9,0.3,12.6,17.3,6.7,1.9,8.6,0.136,2.7,-0.3,2.4,3.3,0,0.0,OOR,1988
Mark Alarie,PF,24,63,769,144,300,0.48,4,18,0.222,140,282,0.496,0.487,35,49,0.714,70,90,160,39,10,12,50,107,327,11.6,0.508,0.06,0.163,10.1,13.2,11.6,7.7,0.6,0.9,13.5,19.9,0.3,0.6,0.9,0.058,-1.9,-1.3,-3.2,-0.2,0,0.0,OOR,1988
Steve Alford,PG,23,28,197,21,55,0.382,1,8,0.125,20,47,0.426,0.391,16,17,0.941,3,20,23,23,17,3,12,23,59,11.6,0.472,0.145,0.309,1.7,10.9,6.3,15.4,4.3,0.9,16.1,15.6,0.0,0.3,0.3,0.082,-4.1,3.1,-1.1,0.0,0,0.0,OOR,1988
Greg Anderson,PF,23,82,1984,379,756,0.501,1,5,0.2,378,751,0.503,0.502,198,328,0.604,161,352,513,79,54,122,143,228,957,14.7,0.531,0.007,0.434,8.7,19.4,14.0,5.3,1.3,3.4,13.7,20.8,0.8,1.5,2.3,0.056,-1.6,-1.1,-2.7,-0.4,0,0.0,OOR,1988
Richard Anderson,PF,27,74,1350,171,439,0.39,48,150,0.32,123,289,0.426,0.444,58,77,0.753,91,212,303,112,51,16,61,137,448,11.1,0.474,0.342,0.175,7.3,17.0,12.1,10.4,1.8,0.7,11.4,15.6,0.7,1.6,2.3,0.082,-0.7,0.1,-0.6,0.5,0,0.0,OOR,1988
