Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status
Kareem Abdul-Jabbar,C,38,79,2629,755,1338,0.564,0,2,0.0,755,1336,0.565,0.564,336,439,0.765,133,345,478,280,67,130,203,248,1846,Candidate
Alvan Adams,C,31,78,2005,341,679,0.502,0,2,0.0,341,677,0.504,0.502,159,203,0.783,148,329,477,324,103,46,206,272,841,OOR
Michael Adams,PG,23,18,139,16,44,0.364,0,3,0.0,16,41,0.39,0.364,8,12,0.667,2,4,6,22,9,1,11,9,40,OOR
Mark Aguirre,SF,26,74,2501,668,1327,0.503,16,56,0.286,652,1271,0.513,0.509,318,451,0.705,177,268,445,339,62,14,252,229,1670,OOR
Danny Ainge,SG,26,80,2407,353,701,0.504,26,73,0.356,327,628,0.521,0.522,123,136,0.904,47,188,235,405,94,7,129,204,855,OOR
Ron Anderson,SF,27,77,1676,310,628,0.494,2,9,0.222,308,619,0.498,0.495,85,127,0.669,130,144,274,144,56,6,82,125,707,OOR
John Bagley,PG,25,78,2472,366,865,0.423,9,37,0.243,357,828,0.431,0.428,170,215,0.791,76,199,275,735,122,10,239,165,911,OOR
James Bailey,PF,28,48,1245,202,443,0.456,0,4,0.0,202,439,0.46,0.456,129,167,0.772,102,232,334,50,33,40,99,207,533,OOR
Thurl Bailey,PF,24,82,2358,483,1077,0.448,0,7,0.0,483,1070,0.451,0.448,230,277,0.83,148,345,493,153,42,114,144,160,1196,OOR
Greg Ballard,SF,31,75,1792,272,570,0.477,17,35,0.486,255,535,0.477,0.492,101,126,0.802,132,285,417,83,65,8,54,174,662,OOR
Gene Banks,SF,26,82,2139,356,688,0.517,0,19,0.0,356,669,0.532,0.517,183,255,0.718,178,182,360,251,81,10,139,212,895,OOR
Ken Bannister,PF,25,70,1405,235,479,0.491,0,1,0.0,235,478,0.492,0.491,131,249,0.526,89,233,322,42,42,24,129,208,601,OOR
Charles Barkley,PF,22,80,2952,595,1041,0.572,17,75,0.227,578,966,0.598,0.58,396,578,0.685,354,672,1026,312,173,125,350,333,1603,OOR
John Battle,SG,23,64,639,101,222,0.455,0,7,0.0,101,215,0.47,0.455,75,103,0.728,12,50,62,74,23,3,47,80,277,OOR
Benoit Benjamin,C,21,79,2088,324,661,0.49,1,3,0.333,323,658,0.491,0.491,229,307,0.746,161,439,600,79,64,206,145,286,878,OOR
Kent Benson,C,31,72,1344,201,415,0.484,1,2,0.5,200,413,0.484,0.486,66,83,0.795,118,258,376,80,58,51,58,196,469,OOR
Larry Bird,SF,29,82,3113,796,1606,0.496,82,194,0.423,714,1412,0.506,0.521,441,492,0.896,190,615,805,557,166,51,266,182,2115,MVP
Otis Birdsong,SG,30,77,2395,542,1056,0.513,8,22,0.364,534,1034,0.516,0.517,122,210,0.581,88,114,202,261,85,17,179,228,1214,OOR
Uwe Blab,C,23,48,409,44,94,0.468,0,0,0.0,44,94,0.468,0.468,36,67,0.537,25,66,91,17,3,12,28,65,124,OOR
Rolando Blackman,SG,26,82,2787,677,1318,0.514,4,29,0.138,673,1289,0.522,0.515,404,483,0.836,88,203,291,271,79,25,189,138,1762,OOR
Manute Bol,C,23,80,2090,128,278,0.46,0,1,0.0,128,277,0.462,0.46,42,86,0.488,123,354,477,23,28,397,65,255,298,OOR
Sam Bowie,C,24,38,1132,167,345,0.484,0,0,0.0,167,345,0.484,0.484,114,161,0.708,93,234,327,99,21,96,88,142,448,OOR
Dudley Bradley,SG,28,70,842,73,209,0.349,17,68,0.25,56,141,0.397,0.39,32,56,0.571,24,71,95,107,85,3,44,101,195,OOR
Mike Bratz,PG,30,33,269,26,70,0.371,4,14,0.286,22,56,0.393,0.4,14,18,0.778,2,21,23,39,13,0,17,43,70,OOR
Randy Breuer,C,25,82,1792,272,570,0.477,0,1,0.0,272,569,0.478,0.477,141,198,0.712,159,299,458,114,50,116,122,214,685,OOR
Ron Brewer,SG,30,44,570,86,224,0.384,5,17,0.294,81,207,0.391,0.395,34,38,0.895,14,39,53,40,17,6,23,44,211,OOR
Frank Brickowski,C,26,40,311,30,58,0.517,0,0,0.0,30,58,0.517,0.517,18,27,0.667,16,38,54,21,11,7,23,74,78,OOR
