Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status,Season
Kareem Abdul-Jabbar,C,36,80,2622,716,1238,0.578,0,1,0.0,716,1237,0.579,0.578,285,394,0.723,169,418,587,211,55,143,221,211,1717,Candidate,1984
Alvan Adams,C,29,70,1452,269,582,0.462,0,4,0.0,269,578,0.465,0.462,132,160,0.825,118,201,319,219,73,31,117,195,670,OOR,1984
Mark Aguirre,SF,24,79,2900,925,1765,0.524,15,56,0.268,910,1709,0.532,0.528,465,621,0.749,161,308,469,358,80,22,285,246,2330,OOR,1984
Danny Ainge,SG,24,71,1154,166,361,0.46,6,22,0.273,160,339,0.472,0.468,46,56,0.821,29,87,116,162,41,4,70,143,384,OOR,1984
J.J. Anderson,SF,23,48,311,55,130,0.423,0,3,0.0,55,127,0.433,0.423,12,29,0.414,38,25,63,22,15,9,20,28,122,OOR,1984
Richard Anderson,PF,23,78,1380,272,638,0.426,3,19,0.158,269,619,0.435,0.429,116,150,0.773,136,270,406,193,46,28,109,183,663,OOR,1984
Tiny Archibald,PG,35,46,1038,136,279,0.487,4,18,0.222,132,261,0.506,0.495,64,101,0.634,16,60,76,160,33,0,78,78,340,OOR,1984
Ken Austin,SF,22,7,28,6,13,0.462,0,0,0.0,6,13,0.462,0.462,0,0,0.0,2,1,3,1,1,1,3,7,12,OOR,1984
John Bagley,PG,23,76,1712,257,607,0.423,2,17,0.118,255,590,0.432,0.425,157,198,0.793,49,107,156,333,78,4,170,113,673,OOR,1984
James Bailey,PF,26,73,1174,254,517,0.491,0,1,0.0,254,516,0.492,0.491,138,192,0.719,104,190,294,79,33,40,101,197,646,OOR,1984
Thurl Bailey,PF,22,81,2009,302,590,0.512,0,0,0.0,302,590,0.512,0.512,88,117,0.752,115,349,464,129,38,122,105,193,692,OOR,1984
Greg Ballard,SF,29,82,2701,510,1061,0.481,2,15,0.133,508,1046,0.486,0.482,166,208,0.798,140,348,488,290,94,35,142,214,1188,OOR,1984
Gene Banks,PF,24,80,2600,424,747,0.568,1,6,0.167,423,741,0.571,0.568,200,270,0.741,204,378,582,254,105,23,166,256,1049,OOR,1984
Dave Batton,C,27,4,31,5,10,0.5,0,0,0.0,5,10,0.5,0.5,0,0,0.0,1,3,4,3,0,3,4,5,10,OOR,1984
Kent Benson,C,29,82,1734,248,451,0.55,0,1,0.0,248,450,0.551,0.55,83,101,0.822,117,292,409,130,71,53,79,230,579,OOR,1984
Larry Bird,PF,27,79,3028,758,1542,0.492,18,73,0.247,740,1469,0.504,0.497,374,421,0.888,181,615,796,520,144,69,237,197,1908,MVP,1984
Otis Birdsong,SG,28,69,2168,583,1147,0.508,5,20,0.25,578,1127,0.513,0.51,194,319,0.608,74,96,170,266,86,17,170,180,1365,OOR,1984
Rolando Blackman,SG,24,81,3025,721,1320,0.546,1,11,0.091,720,1309,0.55,0.547,372,458,0.812,124,249,373,288,56,37,169,127,1815,OOR,1984
Tom Boswell,PF,30,38,261,28,52,0.538,1,1,1.0,27,51,0.529,0.548,16,21,0.762,28,36,64,16,9,0,13,58,73,OOR,1984
Charles Bradley,SG,24,8,39,3,7,0.429,0,0,0.0,3,7,0.429,0.429,5,7,0.714,0,3,3,5,0,1,8,6,11,OOR,1984
Mike Bratz,PG,28,82,1428,213,521,0.409,15,51,0.294,198,470,0.421,0.423,120,137,0.876,41,102,143,252,84,6,109,155,561,OOR,1984
Randy Breuer,C,23,57,472,68,177,0.384,0,0,0.0,68,177,0.384,0.384,32,46,0.696,48,61,109,17,11,38,35,98,168,OOR,1984
Ron Brewer,SG,28,53,992,179,403,0.444,3,14,0.214,176,389,0.452,0.448,52,67,0.776,22,41,63,50,24,21,40,64,413,OOR,1984
Junior Bridgeman,SF,30,81,2431,509,1094,0.465,6,31,0.194,503,1063,0.473,0.468,196,243,0.807,80,252,332,265,53,14,148,224,1220,OOR,1984
Michael Brooks,SF,25,47,1405,213,445,0.479,0,5,0.0,213,440,0.484,0.479,104,151,0.689,142,200,342,88,50,14,78,125,530,OOR,1984
Fred Brown,SG,35,71,1129,258,506,0.51,9,34,0.265,249,472,0.528,0.519,77,86,0.895,14,48,62,194,49,2,70,84,602,OOR,1984
Rickey Brown,C,25,68,785,94,201,0.468,0,0,0.0,94,201,0.468,0.468,48,65,0.738,67,114,181,29,18,23,53,161,236,OOR,1984
Wallace Bryant,C,24,29,317,52,133,0.391,0,0,0.0,52,133,0.391,0.391,14,33,0.424,37,43,80,13,9,11,16,48,118,OOR,1984
Quinn Buckner,PG,29,79,1249,138,323,0.427,0,6,0.0,138,317,0.435,0.427,48,74,0.649,41,96,137,214,84,3,100,187,324,OOR,1984
Don Buse,PG,33,76,1327,150,352,0.426,18,59,0.305,132,293,0.451,0.452,63,80,0.788,29,87,116,303,86,1,87,62,381,OOR,1984
Kenny Carr,PF,28,82,2455,518,923,0.561,0,5,0.0,518,918,0.564,0.561,247,367,0.673,208,434,642,157,68,33,202,274,1283,OOR,1984
M.L. Carr,SF,33,60,585,70,171,0.409,3,15,0.2,67,156,0.429,0.418,42,48,0.875,26,49,75,49,17,4,46,67,185,OOR,1984
Joe Barry Carroll,C,25,80,2962,663,1390,0.477,0,1,0.0,663,1389,0.477,0.477,313,433,0.723,235,401,636,198,103,142,268,244,1639,OOR,1984
Butch Carter,SG,25,73,2045,413,862,0.479,15,46,0.326,398,816,0.488,0.488,136,178,0.764,70,83,153,206,128,13,141,211,977,OOR,1984
Howard Carter,SG,22,55,688,145,316,0.459,5,19,0.263,140,297,0.471,0.467,47,61,0.77,38,48,86,71,19,4,42,81,342,OOR,1984
Bill Cartwright,C,26,77,2487,453,808,0.561,0,1,0.0,453,807,0.561,0.561,404,502,0.805,195,454,649,107,44,97,200,262,1310,OOR,1984
Harvey Catchings,PF,32,69,1156,61,153,0.399,0,1,0.0,61,152,0.401,0.399,22,42,0.524,89,182,271,43,25,81,57,172,144,OOR,1984
Tom Chambers,PF,24,82,2570,554,1110,0.499,0,12,0.0,554,1098,0.505,0.499,375,469,0.8,219,313,532,133,47,51,192,309,1483,OOR,1984
Maurice Cheeks,PG,27,75,2494,386,702,0.55,8,20,0.4,378,682,0.554,0.556,170,232,0.733,44,161,205,478,171,20,182,196,950,OOR,1984
Carlos Clark,SG,23,31,127,19,52,0.365,0,2,0.0,19,50,0.38,0.365,16,18,0.889,7,10,17,17,8,1,12,13,54,OOR,1984
Don Collins,SG,25,61,957,187,387,0.483,1,5,0.2,186,382,0.487,0.484,65,89,0.73,62,67,129,67,43,14,80,119,440,OOR,1984
Leroy Combs,SF,23,48,446,81,163,0.497,0,3,0.0,81,160,0.506,0.497,56,91,0.615,19,37,56,38,23,18,46,49,218,OOR,1984
Lester Conner,SG,24,82,2573,360,730,0.493,1,6,0.167,359,724,0.496,0.494,186,259,0.718,132,173,305,401,162,12,143,176,907,OOR,1984
Darwin Cook,PG,25,82,1870,304,687,0.443,11,46,0.239,293,641,0.457,0.451,95,126,0.754,51,105,156,356,164,36,142,184,714,OOR,1984
Jeff Cook,C,27,81,1950,188,387,0.486,1,2,0.5,187,385,0.486,0.487,94,130,0.723,174,310,484,123,68,47,91,282,471,OOR,1984
Michael Cooper,SG,27,82,2387,273,549,0.497,38,121,0.314,235,428,0.549,0.532,155,185,0.838,53,209,262,482,113,67,148,267,739,OOR,1984
