Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alaa Abdelnaby,PF,26.0,54.0,506.0,118.0,231.0,0.511,0.0,2.0,0.0,118.0,229.0,0.515,0.511,20.0,35.0,0.571,37.0,77.0,114.0,13.0,15.0,12.0,45.0,104.0,256.0
Mahmoud Abdul-Rauf,PG,25.0,73.0,2082.0,472.0,1005.0,0.47,83.0,215.0,0.386,389.0,790.0,0.492,0.511,138.0,156.0,0.885,32.0,105.0,137.0,263.0,77.0,9.0,119.0,126.0,1165.0
Michael Adams,PG,32.0,29.0,443.0,67.0,148.0,0.453,29.0,81.0,0.358,38.0,67.0,0.567,0.551,25.0,30.0,0.833,6.0,23.0,29.0,95.0,23.0,1.0,26.0,41.0,188.0
Rafael Addison,SF,30.0,79.0,1776.0,279.0,586.0,0.476,24.0,83.0,0.289,255.0,503.0,0.507,0.497,74.0,99.0,0.747,67.0,175.0,242.0,109.0,53.0,25.0,76.0,236.0,656.0
Danny Ainge,SG,35.0,74.0,1374.0,194.0,422.0,0.46,78.0,214.0,0.364,116.0,208.0,0.558,0.552,105.0,130.0,0.808,25.0,84.0,109.0,210.0,46.0,7.0,79.0,155.0,571.0
Victor Alexander,C,25.0,50.0,1237.0,230.0,447.0,0.515,6.0,25.0,0.24,224.0,422.0,0.531,0.521,36.0,60.0,0.6,87.0,204.0,291.0,60.0,28.0,29.0,76.0,145.0,502.0
Derrick Alston,C,22.0,64.0,1032.0,120.0,258.0,0.465,0.0,4.0,0.0,120.0,254.0,0.472,0.465,59.0,120.0,0.492,98.0,121.0,219.0,33.0,39.0,35.0,53.0,107.0,299.0
Greg Anderson,PF,30.0,51.0,622.0,57.0,104.0,0.548,0.0,0.0,0.0,57.0,104.0,0.548,0.548,34.0,71.0,0.479,62.0,126.0,188.0,17.0,23.0,32.0,32.0,103.0,148.0
Kenny Anderson,PG,24.0,72.0,2689.0,411.0,1031.0,0.399,97.0,294.0,0.33,314.0,737.0,0.426,0.446,348.0,414.0,0.841,73.0,177.0,250.0,680.0,103.0,14.0,225.0,184.0,1267.0
Nick Anderson,SG,27.0,76.0,2588.0,439.0,923.0,0.476,179.0,431.0,0.415,260.0,492.0,0.528,0.573,143.0,203.0,0.704,85.0,250.0,335.0,314.0,125.0,22.0,141.0,124.0,1200.0
Willie Anderson,SG,28.0,38.0,556.0,76.0,162.0,0.469,3.0,19.0,0.158,73.0,143.0,0.51,0.478,30.0,41.0,0.732,15.0,40.0,55.0,52.0,26.0,10.0,38.0,71.0,185.0
Greg Anthony,PG,27.0,61.0,943.0,128.0,293.0,0.437,56.0,155.0,0.361,72.0,138.0,0.522,0.532,60.0,76.0,0.789,7.0,57.0,64.0,160.0,50.0,7.0,57.0,99.0,372.0
B.J. Armstrong,PG,27.0,82.0,2577.0,418.0,894.0,0.468,108.0,253.0,0.427,310.0,641.0,0.484,0.528,206.0,233.0,0.884,25.0,161.0,186.0,244.0,84.0,8.0,103.0,159.0,1150.0
Darrell Armstrong,PG,26.0,3.0,8.0,3.0,8.0,0.375,2.0,6.0,0.333,1.0,2.0,0.5,0.5,2.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,10.0
Vincent Askew,SG,28.0,71.0,1721.0,248.0,504.0,0.492,31.0,94.0,0.33,217.0,410.0,0.529,0.523,176.0,238.0,0.739,65.0,116.0,181.0,176.0,49.0,13.0,85.0,191.0,703.0
Keith Askins,SF,27.0,50.0,854.0,81.0,207.0,0.391,21.0,78.0,0.269,60.0,129.0,0.465,0.442,46.0,57.0,0.807,86.0,112.0,198.0,39.0,35.0,17.0,25.0,109.0,229.0
Stacey Augmon,SG,26.0,76.0,2362.0,397.0,876.0,0.453,7.0,26.0,0.269,390.0,850.0,0.459,0.457,252.0,346.0,0.728,157.0,211.0,368.0,197.0,100.0,47.0,152.0,163.0,1053.0
Anthony Avent,PF,25.0,71.0,1066.0,105.0,244.0,0.43,0.0,0.0,0.0,105.0,244.0,0.43,0.43,48.0,75.0,0.64,97.0,196.0,293.0,41.0,28.0,50.0,53.0,170.0,258.0
Vin Baker,PF,23.0,82.0,3361.0,594.0,1229.0,0.483,7.0,24.0,0.292,587.0,1205.0,0.487,0.486,256.0,432.0,0.593,289.0,557.0,846.0,296.0,86.0,116.0,221.0,277.0,1451.0
Charles Barkley,PF,31.0,68.0,2382.0,554.0,1141.0,0.486,74.0,219.0,0.338,480.0,922.0,0.521,0.518,379.0,507.0,0.748,203.0,553.0,756.0,276.0,110.0,45.0,150.0,201.0,1561.0
Dana Barros,PG,27.0,82.0,3318.0,571.0,1165.0,0.49,197.0,425.0,0.464,374.0,740.0,0.505,0.575,347.0,386.0,0.899,27.0,247.0,274.0,619.0,149.0,4.0,242.0,159.0,1686.0
Jon Barry,SG,25.0,52.0,602.0,57.0,134.0,0.425,16.0,48.0,0.333,41.0,86.0,0.477,0.485,61.0,80.0,0.763,15.0,34.0,49.0,85.0,30.0,4.0,41.0,54.0,191.0
John Battle,SG,32.0,28.0,280.0,43.0,114.0,0.377,11.0,31.0,0.355,32.0,83.0,0.386,0.425,19.0,26.0,0.731,3.0,8.0,11.0,37.0,8.0,1.0,17.0,28.0,116.0
Sergei Bazarevich,PG,29.0,10.0,74.0,11.0,22.0,0.5,1.0,6.0,0.167,10.0,16.0,0.625,0.523,7.0,9.0,0.778,1.0,6.0,7.0,14.0,1.0,1.0,7.0,10.0,30.0
