Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status,Season
Kareem Abdul-Jabbar,C,39,78,2441,560,993,0.564,1,3,0.333,559,990,0.565,0.564,245,343,0.714,152,371,523,203,49,97,186,245,1366,OOR,1987
Alvan Adams,C,32,68,1690,311,618,0.503,0,1,0.0,311,617,0.504,0.503,134,170,0.788,91,247,338,223,62,37,139,207,756,OOR,1987
Michael Adams,PG,24,63,1303,160,393,0.407,28,102,0.275,132,291,0.454,0.443,105,124,0.847,38,85,123,244,85,6,81,88,453,OOR,1987
Rafael Addison,SF,22,62,711,146,331,0.441,16,50,0.32,130,281,0.463,0.465,51,64,0.797,41,65,106,45,27,7,54,75,359,OOR,1987
Mark Aguirre,SF,27,80,2663,787,1590,0.495,53,150,0.353,734,1440,0.51,0.512,429,557,0.77,181,246,427,254,84,30,217,243,2056,OOR,1987
Danny Ainge,SG,27,71,2499,410,844,0.486,85,192,0.443,325,652,0.498,0.536,148,165,0.897,49,193,242,400,101,14,141,189,1053,OOR,1987
Mark Alarie,PF,23,64,1110,217,443,0.49,2,9,0.222,215,434,0.495,0.492,67,101,0.663,73,141,214,74,22,28,56,138,503,OOR,1987
Richard Anderson,PF,26,51,312,59,139,0.424,4,16,0.25,55,123,0.447,0.439,22,29,0.759,24,55,79,33,7,3,19,37,144,OOR,1987
Ron Anderson,SF,28,63,721,139,294,0.473,0,5,0.0,139,289,0.481,0.473,85,108,0.787,73,78,151,54,31,3,55,65,363,OOR,1987
John Bagley,PG,26,72,2182,312,732,0.426,31,103,0.301,281,629,0.447,0.447,113,136,0.831,55,197,252,379,91,7,163,114,768,OOR,1987
James Bailey,PF,29,34,542,112,239,0.469,0,0,0.0,112,239,0.469,0.469,58,80,0.725,48,89,137,20,12,23,54,119,282,OOR,1987
Thurl Bailey,PF,25,81,2155,463,1036,0.447,0,2,0.0,463,1034,0.448,0.447,190,236,0.805,145,287,432,102,38,88,123,150,1116,OOR,1987
Greg Ballard,SF,32,82,1579,248,564,0.44,15,40,0.375,233,524,0.445,0.453,68,91,0.747,99,241,340,108,50,15,70,167,579,OOR,1987
Gene Banks,SF,27,63,1822,249,462,0.539,0,5,0.0,249,457,0.545,0.539,112,146,0.767,115,193,308,170,52,17,113,173,610,OOR,1987
Charles Barkley,PF,23,68,2740,557,937,0.594,21,104,0.202,536,833,0.643,0.606,429,564,0.761,390,604,994,331,119,104,322,252,1564,OOR,1987
John Battle,SG,24,64,804,144,315,0.457,0,10,0.0,144,305,0.472,0.457,93,126,0.738,16,44,60,124,29,5,60,76,381,OOR,1987
William Bedford,C,23,50,979,142,358,0.397,0,1,0.0,142,357,0.398,0.397,50,86,0.581,79,167,246,57,18,37,85,125,334,OOR,1987
Benoit Benjamin,C,22,72,2230,320,713,0.449,0,2,0.0,320,711,0.45,0.449,188,263,0.715,134,452,586,135,60,187,184,251,828,OOR,1987
Kent Benson,C,32,73,895,140,316,0.443,2,7,0.286,138,309,0.447,0.446,47,58,0.81,80,151,231,39,39,28,45,138,329,OOR,1987
Walter Berry,SF-PF,22,63,1586,407,766,0.531,0,3,0.0,407,763,0.533,0.531,187,288,0.649,136,173,309,105,38,40,153,196,1001,OOR,1987
Joe Binion,PF,25,11,51,4,10,0.4,0,0,0.0,4,10,0.4,0.4,6,10,0.6,8,10,18,1,2,2,3,5,14,OOR,1987
Larry Bird,SF,30,74,3005,786,1497,0.525,90,225,0.4,696,1272,0.547,0.555,414,455,0.91,124,558,682,566,135,70,240,185,2076,Candidate,1987
Otis Birdsong,SG,31,7,127,19,42,0.452,0,1,0.0,19,41,0.463,0.452,6,9,0.667,3,4,7,17,3,0,9,16,44,OOR,1987
Uwe Blab,C,24,30,160,20,51,0.392,0,0,0.0,20,51,0.392,0.392,13,28,0.464,11,25,36,13,4,9,15,33,53,OOR,1987
Rolando Blackman,SG,27,80,2758,626,1264,0.495,5,15,0.333,621,1249,0.497,0.497,419,474,0.884,96,182,278,266,64,21,174,142,1676,OOR,1987
Manute Bol,C,24,82,1552,103,231,0.446,0,1,0.0,103,230,0.448,0.446,45,67,0.672,84,278,362,11,20,302,61,189,251,OOR,1987
Sam Bowie,C,25,5,163,30,66,0.455,0,0,0.0,30,66,0.455,0.455,20,30,0.667,14,19,33,9,1,10,15,19,80,OOR,1987
Dudley Bradley,SG,29,68,900,76,213,0.357,13,50,0.26,63,163,0.387,0.387,47,58,0.81,31,71,102,66,105,8,34,118,212,OOR,1987
Adrian Branch,SF,23,32,219,48,96,0.5,0,2,0.0,48,94,0.511,0.5,42,54,0.778,23,30,53,16,16,3,24,39,138,OOR,1987
Randy Breuer,C,26,76,1467,241,497,0.485,0,0,0.0,241,497,0.485,0.485,118,202,0.584,129,221,350,47,56,61,100,229,600,OOR,1987
Frank Brickowski,PF-C,27,44,487,63,124,0.508,0,4,0.0,63,120,0.525,0.508,50,70,0.714,48,68,116,17,20,6,32,118,176,OOR,1987
Junior Bridgeman,SF,33,34,418,79,171,0.462,1,6,0.167,78,165,0.473,0.465,16,20,0.8,14,38,52,35,10,2,15,50,175,OOR,1987
Mike Brittain,C,23,6,29,4,9,0.444,0,0,0.0,4,9,0.444,0.444,1,2,0.5,2,2,4,2,1,0,2,3,9,OOR,1987
Michael Brooks,SF,28,10,148,13,37,0.351,0,0,0.0,13,37,0.351,0.351,7,10,0.7,9,19,28,11,9,0,11,19,33,OOR,1987
Mike Brown,C,23,62,818,106,201,0.527,0,0,0.0,106,201,0.527,0.527,46,72,0.639,71,143,214,24,20,7,59,129,258,OOR,1987
Tony Brown,SG,26,77,2339,358,810,0.442,5,20,0.25,353,790,0.447,0.445,152,206,0.738,84,135,219,259,89,14,153,273,873,OOR,1987
