Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season
Kareem Abdul-Jabbar,C,41,74,1695,313,659,0.475,0,3,0.0,313,656,0.477,0.475,122,165,0.739,103,231,334,74,38,85,95,196,748,12.9,0.511,0.005,0.25,7.3,14.2,11.0,6.1,1.1,2.9,11.5,20.1,0.9,2.0,2.9,0.082,-1.9,-0.2,-2.1,0.0,0,0.0,OOR,1989
Mark Acres,C,26,62,632,55,114,0.482,1,1,1.0,54,113,0.478,0.487,26,48,0.542,59,87,146,19,19,6,23,94,137,8.2,0.507,0.009,0.421,10.9,15.6,13.3,3.7,1.5,0.6,14.5,10.4,0.4,0.5,0.9,0.066,-3.0,-0.4,-3.4,-0.2,0,0.0,OOR,1989
Michael Adams,PG,26,77,2787,468,1082,0.433,166,466,0.356,302,616,0.49,0.509,322,393,0.819,71,212,283,490,166,11,180,149,1424,17.5,0.567,0.431,0.363,2.5,8.3,5.2,22.2,2.7,0.2,12.5,19.7,5.4,2.9,8.3,0.143,2.7,0.2,2.9,3.4,0,0.0,OOR,1989
Mark Aguirre,SF,29,80,2597,586,1270,0.461,51,174,0.293,535,1096,0.488,0.481,288,393,0.733,146,240,386,278,45,36,208,229,1511,16.4,0.524,0.137,0.309,6.4,10.0,8.3,17.9,0.9,0.8,12.6,27.4,2.4,2.1,4.5,0.082,1.4,-1.3,0.1,1.4,0,0.0,OOR,1989
Danny Ainge,PG,29,73,2377,480,1051,0.457,116,305,0.38,364,746,0.488,0.512,205,240,0.854,71,184,255,402,93,8,145,186,1281,18.0,0.554,0.29,0.228,3.3,8.7,6.0,25.3,1.9,0.2,11.1,22.6,5.2,1.4,6.7,0.135,2.9,-0.4,2.5,2.7,0,0.0,OOR,1989
Mark Alarie,PF,25,74,1141,206,431,0.478,13,38,0.342,193,393,0.491,0.493,73,87,0.839,103,152,255,63,25,22,62,160,498,13.3,0.531,0.088,0.202,9.5,15.2,12.2,7.8,1.0,1.1,11.7,18.7,1.2,1.0,2.2,0.093,-1.1,-0.8,-2.0,0.0,0,0.0,OOR,1989
Steve Alford,PG,24,66,906,148,324,0.457,20,55,0.364,128,269,0.476,0.488,50,61,0.82,10,62,72,92,45,3,45,57,366,11.9,0.522,0.17,0.188,1.1,6.8,4.0,13.2,2.2,0.2,11.4,16.6,0.7,0.7,1.4,0.072,-2.1,-0.5,-2.6,-0.1,0,0.0,OOR,1989
Randy Allen,SG,24,7,43,8,19,0.421,0,1,0.0,8,18,0.444,0.421,1,2,0.5,3,4,7,0,1,1,2,7,17,6.9,0.428,0.053,0.105,7.4,10.2,8.7,0.0,1.1,1.3,9.1,20.9,-0.1,0.0,0.0,-0.035,-5.5,-1.7,-7.2,-0.1,0,0.0,OOR,1989
Greg Anderson,PF,24,82,2401,460,914,0.503,0,3,0.0,460,911,0.505,0.503,207,403,0.514,255,421,676,61,102,103,180,221,1127,14.9,0.516,0.003,0.441,11.2,20.2,15.5,3.7,2.0,2.6,14.2,20.6,0.4,3.1,3.4,0.069,-1.1,-0.8,-2.0,0.0,0,0.0,OOR,1989
Michael Anderson,PG,22,36,730,73,175,0.417,1,7,0.143,72,168,0.429,0.42,57,82,0.695,44,45,89,153,44,3,84,64,204,10.5,0.483,0.04,0.469,6.3,7.1,6.7,26.9,2.8,0.2,28.5,15.7,-0.5,0.6,0.2,0.01,-2.2,-0.2,-2.4,-0.1,0,0.0,OOR,1989
