Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status,Season
Mahmoud Abdul-Rauf,PG,26,57,2029,414,955,0.434,121,309,0.392,293,646,0.454,0.497,146,157,0.93,26,112,138,389,64,3,115,117,1095,OOR,1996
Michael Adams,PG,33,21,329,37,83,0.446,14,41,0.341,23,42,0.548,0.53,26,35,0.743,5,17,22,67,21,4,25,25,114,OOR,1996
Rafael Addison,SF,31,53,516,77,165,0.467,0,9,0.0,77,156,0.494,0.467,17,22,0.773,25,65,90,30,9,9,27,74,171,OOR,1996
Cory Alexander,PG,22,60,560,63,155,0.406,26,66,0.394,37,89,0.416,0.49,16,25,0.64,9,33,42,121,27,2,68,94,168,OOR,1996
Jerome Allen,SG,23,41,362,36,105,0.343,10,33,0.303,26,72,0.361,0.39,26,36,0.722,5,20,25,49,21,5,34,42,108,OOR,1996
Derrick Alston,C,23,73,1614,198,387,0.512,1,3,0.333,197,384,0.513,0.513,55,112,0.491,127,175,302,61,56,52,59,191,452,OOR,1996
John Amaechi,PF,25,28,357,29,70,0.414,0,0,0.0,29,70,0.414,0.414,19,33,0.576,13,39,52,9,6,11,34,49,77,OOR,1996
Ashraf Amaya,PF,24,54,1104,121,252,0.48,0,1,0.0,121,251,0.482,0.48,97,149,0.651,114,189,303,33,22,10,57,151,339,OOR,1996
Greg Anderson,PF,31,46,344,24,47,0.511,0,1,0.0,24,46,0.522,0.511,6,25,0.24,29,71,100,10,9,24,22,66,54,OOR,1996
Kenny Anderson,PG,25,69,2344,349,834,0.418,92,256,0.359,257,578,0.445,0.474,260,338,0.769,63,140,203,575,111,14,146,178,1050,OOR,1996
Nick Anderson,SG,28,77,2717,400,904,0.442,168,430,0.391,232,474,0.489,0.535,166,240,0.692,92,323,415,279,121,46,141,135,1134,OOR,1996
Willie Anderson,SG,29,76,2060,288,660,0.436,34,120,0.283,254,540,0.47,0.462,132,163,0.81,48,198,246,197,75,59,143,230,742,OOR,1996
Greg Anthony,PG,28,69,2096,324,781,0.415,90,271,0.332,234,510,0.459,0.472,229,297,0.771,29,145,174,476,116,11,160,137,967,OOR,1996
B.J. Armstrong,PG,28,82,2262,340,727,0.468,98,207,0.473,242,520,0.465,0.535,234,279,0.839,22,162,184,401,68,6,128,147,1012,OOR,1996
Darrell Armstrong,PG,27,13,41,16,32,0.5,6,12,0.5,10,20,0.5,0.594,4,4,1.0,0,2,2,5,6,0,6,4,42,OOR,1996
Vincent Askew,SG,29,69,1725,215,436,0.493,29,86,0.337,186,350,0.531,0.526,123,161,0.764,65,153,218,163,47,15,96,178,582,OOR,1996
Keith Askins,SF,28,75,1897,157,391,0.402,99,237,0.418,58,154,0.377,0.528,45,57,0.789,113,211,324,121,48,61,82,271,458,OOR,1996
Stacey Augmon,SF,27,77,2294,362,738,0.491,1,4,0.25,361,734,0.492,0.491,251,317,0.792,137,167,304,137,106,31,138,188,976,OOR,1996
Anthony Avent,PF,26,71,1586,179,466,0.384,0,0,0.0,179,466,0.384,0.384,57,77,0.74,108,247,355,69,30,42,107,202,415,OOR,1996
Vin Baker,PF,24,82,3319,699,1429,0.489,10,48,0.208,689,1381,0.499,0.493,321,479,0.67,263,545,808,212,68,91,216,272,1729,OOR,1996
Steve Bardo,SG,27,9,123,9,23,0.391,0,4,0.0,9,19,0.474,0.391,4,6,0.667,2,20,22,15,4,1,5,17,22,OOR,1996
Charles Barkley,PF,32,71,2632,580,1160,0.5,49,175,0.28,531,985,0.539,0.521,440,566,0.777,243,578,821,262,114,56,218,208,1649,OOR,1996
Dana Barros,PG,28,80,2328,379,806,0.47,150,368,0.408,229,438,0.523,0.563,130,147,0.884,21,171,192,306,58,3,120,116,1038,OOR,1996
Brent Barry,SG,24,79,1898,283,597,0.474,123,296,0.416,160,301,0.532,0.577,111,137,0.81,38,130,168,230,95,22,120,196,800,OOR,1996
Jon Barry,SG,26,68,712,91,185,0.492,44,93,0.473,47,92,0.511,0.611,31,37,0.838,17,46,63,85,33,11,42,51,257,OOR,1996
Corey Beck,PG,24,5,33,2,8,0.25,0,0,0.0,2,8,0.25,0.25,1,2,0.5,3,4,7,5,1,0,4,8,5,OOR,1996
Benoit Benjamin,C,31,83,1896,294,590,0.498,0,3,0.0,294,587,0.501,0.498,140,194,0.722,141,398,539,64,45,85,144,224,728,OOR,1996
Elmer Bennett,PG,25,8,66,4,17,0.235,0,0,0.0,4,17,0.235,0.235,3,4,0.75,1,4,5,8,1,1,7,6,11,OOR,1996
Mario Bennett,SF,22,19,230,29,64,0.453,0,1,0.0,29,63,0.46,0.453,27,42,0.643,21,28,49,6,11,11,11,46,85,OOR,1996
