Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status,Season
Kareem Abdul-Jabbar,C,33,80,2976,836,1457,0.574,0,1,0.0,836,1456,0.574,0.574,423,552,0.766,197,624,821,272,59,228,249,244,2095,Candidate,1981
Tom Abernethy,SF,26,39,298,25,59,0.424,0,1,0.0,25,58,0.431,0.424,13,22,0.591,20,28,48,19,7,3,8,34,63,OOR,1981
Alvan Adams,C,26,75,2054,458,870,0.526,0,0,0.0,458,870,0.526,0.526,199,259,0.768,157,389,546,344,106,69,226,226,1115,OOR,1981
Darrell Allums,PF,22,22,276,23,67,0.343,0,1,0.0,23,66,0.348,0.343,13,22,0.591,19,46,65,25,5,8,23,51,59,OOR,1981
Tiny Archibald,PG,32,80,2820,382,766,0.499,0,9,0.0,382,757,0.505,0.499,342,419,0.816,36,140,176,618,75,18,265,201,1106,OOR,1981
Dennis Awtrey,C,32,47,607,44,93,0.473,0,0,0.0,44,93,0.473,0.473,14,20,0.7,33,75,108,54,12,8,33,85,102,OOR,1981
James Bailey,PF,23,82,2539,444,889,0.499,1,2,0.5,443,887,0.499,0.5,256,361,0.709,192,415,607,98,74,143,219,332,1145,OOR,1981
Greg Ballard,SF,26,82,2610,549,1186,0.463,7,32,0.219,542,1154,0.47,0.466,166,196,0.847,167,413,580,195,118,39,117,194,1271,OOR,1981
Mike Bantom,SF,29,76,2375,431,882,0.489,0,6,0.0,431,876,0.492,0.489,199,281,0.708,150,277,427,240,80,85,197,284,1061,OOR,1981
Billy Ray Bates,SG,24,77,1560,439,902,0.487,14,54,0.259,425,848,0.501,0.494,170,199,0.854,71,86,157,196,82,6,149,120,1062,OOR,1981
Mel Bennett,PF,26,28,313,26,60,0.433,0,2,0.0,26,58,0.448,0.433,53,81,0.654,33,60,93,15,3,11,31,56,105,OOR,1981
Kent Benson,C,26,59,1956,364,770,0.473,0,4,0.0,364,766,0.475,0.473,196,254,0.772,124,276,400,172,72,67,190,184,924,OOR,1981
Henry Bibby,PG,31,73,1112,118,306,0.386,32,95,0.337,86,211,0.408,0.438,67,98,0.684,25,49,74,200,47,2,76,85,335,OOR,1981
