Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season,W/L%
David Benoit,SF,32,UTA,49,446,71,147,0.483,5,13,0.385,66,134,0.493,0.5,31,39,0.795,20,61,81,22,6,6,28,75,178,11.1,0.542,0.088,0.265,5.7,16.6,11.3,8.4,0.7,1.1,14.6,19.8,0.4,0.4,0.7,0.08,-2.8,-1.2,-4.0,-0.2,0,0.0,OOR,2001,0.646
Travis Best,PG,28,IND,77,2457,347,788,0.44,37,97,0.381,310,691,0.449,0.464,187,226,0.827,38,184,222,473,110,11,127,246,918,16.7,0.517,0.123,0.287,1.8,8.2,5.1,34.0,2.4,0.3,12.5,19.3,4.8,2.3,7.2,0.14,0.8,0.6,1.4,2.1,0,0.0,OOR,2001,0.5
Mike Bibby,PG,22,VAN,82,3190,525,1157,0.454,108,285,0.379,417,872,0.478,0.5,143,188,0.761,47,257,304,685,107,12,248,148,1301,16.8,0.525,0.246,0.162,1.7,9.2,5.5,38.3,1.8,0.3,16.7,21.3,4.0,1.4,5.3,0.081,2.0,-1.2,0.7,2.2,0,0.0,OOR,2001,0.28
Chauncey Billups,SG,24,MIN,77,1790,248,587,0.422,73,194,0.376,175,393,0.445,0.485,144,171,0.842,32,126,158,260,51,11,111,178,713,14.1,0.538,0.33,0.291,2.0,8.1,5.0,22.2,1.5,0.4,14.4,19.5,2.7,0.9,3.7,0.098,0.4,-0.9,-0.5,0.7,0,0.0,OOR,2001,0.573
Mookie Blaylock,PG,33,GSW,69,2352,317,801,0.396,73,225,0.324,244,576,0.424,0.441,53,76,0.697,71,201,272,462,163,20,128,134,760,15.8,0.455,0.281,0.095,3.0,9.9,6.1,32.3,3.5,0.6,13.3,17.3,1.9,1.6,3.5,0.071,0.2,1.0,1.2,1.9,0,0.0,OOR,2001,0.207
Corie Blount,PF,32,GSW,68,1305,130,294,0.442,2,8,0.25,128,286,0.448,0.446,51,83,0.614,181,219,400,59,42,22,73,165,313,11.8,0.473,0.027,0.282,13.9,19.4,16.5,7.1,1.6,1.2,18.1,13.2,0.5,1.2,1.8,0.065,-2.6,-0.9,-3.5,-0.5,0,0.0,OOR,2001,0.207
Mark Blount,C,25,BOS,64,1098,101,200,0.505,0,0,0.0,101,200,0.505,0.505,46,66,0.697,97,134,231,32,39,76,62,183,248,11.1,0.541,0.0,0.33,9.9,14.9,12.3,4.8,1.8,5.3,21.3,12.0,0.5,1.4,1.9,0.084,-4.2,1.1,-3.1,-0.3,0,0.0,OOR,2001,0.439
Muggsy Bogues,PG,36,TOR,3,34,0,2,0.0,0,1,0.0,0,1,0.0,0.0,0,0,0.0,0,3,3,5,2,0,4,3,0,-0.5,0.0,0.5,0.0,0.0,10.2,5.0,19.3,3.1,0.0,66.7,7.9,-0.1,0.0,-0.1,-0.128,-8.9,1.7,-7.2,0.0,0,0.0,OOR,2001,0.573
Etdrick Bohannon,PF,27,CLE,6,19,2,4,0.5,0,0,0.0,2,4,0.5,0.5,4,4,1.0,3,4,7,0,0,2,1,4,8,22.4,0.694,0.0,1.0,18.3,24.3,21.3,0.0,0.0,7.7,14.8,16.1,0.1,0.0,0.1,0.276,1.0,0.7,1.7,0.0,0,0.0,OOR,2001,0.366
Calvin Booth,C,24,WAS,55,933,120,252,0.476,0,0,0.0,120,252,0.476,0.476,53,78,0.679,77,169,246,42,29,111,53,146,293,16.1,0.512,0.0,0.31,9.5,21.1,15.2,7.4,1.6,8.5,15.6,16.3,0.6,1.4,2.1,0.106,-1.9,2.7,0.7,0.6,0,0.0,OOR,2001,0.232
Cal Bowdler,SF,23,ATL,44,375,53,114,0.465,1,5,0.2,52,109,0.477,0.469,33,40,0.825,30,47,77,4,10,21,11,45,140,15.8,0.532,0.044,0.351,8.9,14.1,11.4,1.8,1.4,4.0,7.7,17.0,0.7,0.4,1.0,0.134,-0.6,-0.3,-0.9,0.1,0,0.0,OOR,2001,0.305
Bruce Bowen,SF,29,MIA,82,2685,211,581,0.363,103,307,0.336,108,274,0.394,0.452,98,161,0.609,45,200,245,132,83,53,74,269,623,8.1,0.478,0.528,0.277,2.0,8.8,5.4,8.2,1.7,1.5,10.2,13.1,0.5,3.7,4.2,0.075,-2.6,1.5,-1.1,0.6,0,0.0,OOR,2001,0.61
Ryan Bowen,SF,25,DEN,57,696,80,144,0.556,4,11,0.364,76,133,0.571,0.569,27,44,0.614,62,51,113,30,37,12,24,95,191,13.3,0.585,0.076,0.306,9.6,8.1,8.8,6.8,2.8,1.2,12.8,12.0,1.2,0.4,1.7,0.114,-1.1,1.3,0.1,0.4,0,0.0,OOR,2001,0.488
Ira Bowman,PG,27,ATL,3,19,0,2,0.0,0,0,0.0,0,2,0.0,0.0,0,0,0.0,1,1,2,7,0,0,1,0,0,9.2,0.0,0.0,0.0,5.8,5.9,5.9,50.5,0.0,0.0,33.3,7.1,0.0,0.0,0.0,-0.024,0.0,-1.7,-1.7,0.0,0,0.0,OOR,2001,0.305
Earl Boykins,PG,24,LAC,10,149,25,63,0.397,1,8,0.125,24,55,0.436,0.405,14,17,0.824,4,7,11,32,5,0,9,9,65,17.2,0.461,0.127,0.27,3.2,5.2,4.2,38.7,1.8,0.0,11.3,24.7,0.2,0.1,0.3,0.089,1.3,-1.1,0.2,0.1,0,0.0,OOR,2001,0.378
Shawn Bradley,C,28,DAL,82,2001,219,447,0.49,1,6,0.167,218,441,0.494,0.491,140,178,0.787,160,448,608,38,36,228,88,256,579,16.2,0.551,0.013,0.398,9.2,24.4,17.0,2.8,0.9,8.1,14.3,13.9,2.5,3.8,6.3,0.151,-1.0,2.5,1.6,1.8,0,0.0,OOR,2001,0.646
Elton Brand,PF,21,CHI,74,2906,578,1215,0.476,0,2,0.0,578,1213,0.477,0.476,334,472,0.708,285,461,746,240,71,118,219,243,1490,20.4,0.524,0.002,0.388,11.2,19.6,15.2,17.0,1.3,3.0,13.3,26.3,4.1,2.0,6.1,0.101,2.2,-1.2,1.1,2.2,0,0.0,OOR,2001,0.183
Terrell Brandon,PG,30,MIN,78,2821,511,1134,0.451,33,91,0.363,478,1043,0.458,0.465,195,224,0.871,60,238,298,583,161,21,155,138,1250,20.0,0.507,0.08,0.198,2.4,9.7,6.0,33.7,3.0,0.5,11.2,22.2,5.8,2.7,8.5,0.145,2.6,0.5,3.1,3.6,0,0.0,OOR,2001,0.573
Chucky Brown,SF,32,CLE,26,339,40,95,0.421,0,3,0.0,40,92,0.435,0.421,22,34,0.647,8,46,54,11,9,7,8,37,102,9.7,0.464,0.032,0.358,2.6,15.7,9.0,5.3,1.4,1.5,6.8,15.5,0.1,0.2,0.4,0.05,-2.9,-0.5,-3.5,-0.1,0,0.0,OOR,2001,0.366
Dee Brown,PG,32,ORL,7,155,16,44,0.364,12,32,0.375,4,12,0.333,0.5,4,5,0.8,0,11,11,12,4,0,7,10,48,9.0,0.519,0.727,0.114,0.0,8.1,3.9,11.9,1.3,0.0,13.2,15.2,0.1,0.1,0.2,0.059,-1.4,-1.0,-2.4,0.0,0,0.0,OOR,2001,0.524
P.J. Brown,C,31,CHH,80,2811,249,561,0.444,0,4,0.0,249,557,0.447,0.444,178,209,0.852,257,485,742,127,78,92,108,260,676,13.3,0.518,0.007,0.373,10.5,19.6,15.1,7.3,1.5,2.4,14.2,12.5,3.4,4.7,8.0,0.137,-1.3,0.9,-0.4,1.1,0,0.0,OOR,2001,0.561
Randy Brown,PG,32,BOS,54,1238,100,237,0.422,0,3,0.0,100,234,0.427,0.422,23,40,0.575,23,76,99,154,62,10,56,132,223,8.2,0.438,0.013,0.169,2.1,7.5,4.7,20.1,2.6,0.6,18.0,11.4,-0.1,1.0,0.9,0.034,-4.2,1.1,-3.1,-0.3,0,0.0,OOR,2001,0.439
Rick Brunson,PG,28,NYK,22,208,18,54,0.333,2,14,0.143,16,40,0.4,0.352,8,15,0.533,5,16,21,31,8,1,17,21,46,6.3,0.38,0.259,0.278,2.9,9.2,6.0,24.2,2.0,0.4,21.9,17.4,-0.4,0.2,-0.2,-0.039,-4.9,-0.2,-5.1,-0.2,0,0.0,OOR,2001,0.585
Kobe Bryant,SG,22,LAL,68,2783,701,1510,0.464,61,200,0.305,640,1310,0.489,0.484,475,557,0.853,104,295,399,338,114,43,220,222,1938,24.5,0.552,0.132,0.369,4.3,11.8,8.1,23.0,2.1,1.1,11.1,31.8,9.2,2.2,11.3,0.196,5.1,-0.3,4.8,4.7,0,0.009,Candidate,2001,0.683
Mark Bryant,PF,35,DAL,18,101,8,20,0.4,0,0,0.0,8,20,0.4,0.4,3,5,0.6,4,17,21,3,1,2,5,29,19,2.1,0.428,0.0,0.25,4.5,18.3,11.6,4.2,0.5,1.4,18.4,12.2,-0.1,0.1,0.0,0.005,-9.0,-0.2,-9.2,-0.2,0,0.0,OOR,2001,0.646
Greg Buckner,SG,24,DAL,37,820,84,192,0.438,2,7,0.286,82,185,0.443,0.443,59,81,0.728,60,97,157,49,33,9,27,118,229,12.1,0.503,0.036,0.422,8.4,12.9,10.7,8.8,2.1,0.8,10.6,14.1,1.1,0.9,2.0,0.118,-1.2,0.7,-0.5,0.3,0,0.0,OOR,2001,0.646
Jud Buechler,SF,32,DET,57,737,76,164,0.463,32,77,0.416,44,87,0.506,0.561,9,12,0.75,20,74,94,39,21,10,25,83,193,9.9,0.57,0.47,0.073,2.9,11.0,6.8,8.4,1.4,1.0,12.9,11.4,0.8,0.7,1.5,0.098,-1.8,0.9,-0.9,0.2,0,0.0,OOR,2001,0.39
Rodney Buford,SF,23,PHI,47,573,104,241,0.432,16,38,0.421,88,203,0.433,0.465,24,29,0.828,16,58,74,17,17,6,29,68,248,11.3,0.489,0.158,0.12,3.2,11.2,7.3,5.4,1.6,0.8,10.3,22.3,0.1,0.7,0.8,0.071,-2.5,-0.5,-2.9,-0.1,0,0.0,OOR,2001,0.683
Matt Bullard,PF,33,HOU,61,1000,129,305,0.423,86,213,0.404,43,92,0.467,0.564,10,14,0.714,22,108,130,42,10,9,12,76,354,13.0,0.569,0.698,0.046,2.6,12.2,7.5,6.9,0.5,0.6,3.7,14.9,2.2,0.4,2.6,0.125,2.5,-1.0,1.5,0.9,0,0.0,OOR,2001,0.549
Scott Burrell,SF,30,CHH,4,41,7,15,0.467,2,6,0.333,5,9,0.556,0.533,1,4,0.25,1,2,3,1,3,0,0,8,17,12.8,0.507,0.4,0.267,2.8,5.5,4.2,4.6,3.9,0.0,0.0,18.8,0.1,0.1,0.1,0.135,-2.5,2.2,-0.2,0.0,0,0.0,OOR,2001,0.561
Jason Caffey,PF,27,MIL,70,1460,179,367,0.488,0,0,0.0,179,367,0.488,0.488,142,211,0.673,135,218,353,53,38,25,77,184,500,13.7,0.544,0.0,0.575,10.6,16.8,13.7,5.5,1.4,1.3,14.3,16.6,2.3,1.2,3.5,0.114,-1.2,-1.0,-2.2,-0.1,0,0.0,OOR,2001,0.634
Marcus Camby,C,26,NYK,63,2127,304,580,0.524,1,8,0.125,303,572,0.53,0.525,150,225,0.667,196,527,723,52,66,136,63,205,759,20.9,0.559,0.014,0.388,11.5,29.0,20.5,4.5,1.7,5.2,8.5,17.0,4.8,5.5,10.3,0.233,2.0,2.5,4.6,3.5,0,0.0,OOR,2001,0.585
Elden Campbell,PF,32,CHH,78,2337,367,834,0.44,0,6,0.0,367,828,0.443,0.44,288,406,0.709,157,451,608,104,60,140,144,280,1022,16.4,0.505,0.007,0.487,7.7,21.9,14.8,8.1,1.4,4.4,12.4,22.8,1.9,4.5,6.4,0.131,-1.4,1.2,-0.3,1.0,0,0.0,OOR,2001,0.561
Brian Cardinal,PF,23,DET,15,126,10,31,0.323,0,5,0.0,10,26,0.385,0.323,11,18,0.611,8,15,23,3,7,2,9,27,31,4.7,0.398,0.161,0.581,6.7,13.0,9.8,3.6,2.8,1.1,18.8,16.5,-0.2,0.2,0.0,-0.009,-7.7,1.4,-6.3,-0.1,0,0.0,OOR,2001,0.39
Chris Carr,SG,26,BOS,35,309,53,112,0.473,17,37,0.459,36,75,0.48,0.549,46,60,0.767,11,33,44,11,4,3,19,45,169,16.3,0.611,0.33,0.536,4.0,13.0,8.3,6.7,0.7,0.7,12.1,23.1,0.8,0.2,0.9,0.142,0.8,-1.8,-1.1,0.1,0,0.0,OOR,2001,0.439
Anthony Carter,PG,25,MIA,72,1630,195,480,0.406,6,40,0.15,189,440,0.43,0.413,65,103,0.631,46,134,180,268,73,10,119,154,461,11.3,0.439,0.083,0.215,3.4,9.8,6.6,29.5,2.5,0.5,18.5,19.2,-0.8,2.5,1.7,0.05,-3.0,1.1,-1.9,0.0,0,0.0,OOR,2001,0.61
Vince Carter,SF,24,TOR,75,2979,762,1656,0.46,162,397,0.408,600,1259,0.477,0.509,384,502,0.765,176,240,416,291,114,82,167,205,2070,25.0,0.551,0.24,0.303,6.5,9.3,7.9,19.2,2.0,1.9,8.2,30.7,10.3,2.6,12.9,0.208,7.6,0.1,7.6,7.2,0,0.006,Candidate,2001,0.573
Sam Cassell,PG,31,MIL,76,2709,537,1132,0.474,30,98,0.306,507,1034,0.49,0.488,277,323,0.858,46,244,290,580,88,8,220,214,1381,20.1,0.542,0.087,0.285,1.9,10.1,6.1,36.4,1.7,0.2,14.7,24.9,7.0,1.4,8.5,0.15,2.5,-1.5,1.1,2.1,0,0.0,OOR,2001,0.634
Kelvin Cato,C,26,HOU,35,624,64,111,0.577,0,0,0.0,64,111,0.577,0.577,37,57,0.649,47,94,141,11,13,31,25,89,165,13.0,0.606,0.0,0.514,8.9,17.0,13.1,2.8,1.1,3.4,15.5,11.9,1.0,0.7,1.7,0.128,-2.0,0.8,-1.2,0.1,0,0.0,OOR,2001,0.549
Duane Causwell,C,32,MIA,31,384,32,85,0.376,0,0,0.0,32,85,0.376,0.376,12,25,0.48,23,60,83,5,8,18,23,67,76,4.8,0.396,0.0,0.294,7.1,18.6,12.8,2.2,1.1,3.6,19.3,15.0,-0.7,0.7,0.0,0.002,-7.5,0.8,-6.7,-0.5,0,0.0,OOR,2001,0.61
Cedric Ceballos,SF,31,MIA,40,559,101,229,0.441,22,73,0.301,79,156,0.506,0.489,37,43,0.86,34,72,106,20,16,7,32,61,261,15.4,0.526,0.319,0.188,7.1,15.0,11.0,6.9,1.5,0.9,11.4,23.5,0.5,0.8,1.3,0.114,0.0,-0.5,-0.5,0.2,0,0.0,OOR,2001,0.61
Calbert Cheaney,SG,29,DEN,9,153,10,30,0.333,0,0,0.0,10,30,0.333,0.333,1,2,0.5,5,15,20,9,4,2,5,14,21,4.1,0.34,0.0,0.067,3.5,10.8,7.1,8.6,1.4,0.9,13.9,10.5,-0.2,0.1,-0.1,-0.035,-5.6,0.0,-5.6,-0.1,0,0.0,OOR,2001,0.488
Chris Childs,PG,33,NYK,77,1859,135,335,0.403,32,106,0.302,103,229,0.45,0.451,60,71,0.845,24,178,202,355,59,15,156,242,362,9.0,0.494,0.316,0.212,1.5,11.2,6.4,29.8,1.7,0.6,29.9,13.3,-0.2,2.3,2.2,0.057,-3.4,0.8,-2.6,-0.3,0,0.0,OOR,2001,0.585
Doug Christie,SG,30,SAC,81,2939,311,788,0.395,94,250,0.376,217,538,0.403,0.454,280,312,0.897,95,260,355,289,183,45,154,224,996,14.8,0.538,0.317,0.396,3.6,9.3,6.5,14.6,3.2,1.0,14.3,16.2,4.3,4.4,8.7,0.141,0.0,2.3,2.3,3.2,0,0.0,OOR,2001,0.671
Keon Clark,PF,25,TOR,81,1720,249,519,0.48,0,1,0.0,249,518,0.481,0.48,142,240,0.592,136,298,434,72,32,154,90,244,640,15.6,0.512,0.002,0.462,8.6,19.6,14.0,6.8,1.0,6.3,12.6,18.6,1.5,2.2,3.7,0.104,-2.1,1.0,-1.1,0.4,0,0.0,OOR,2001,0.573
Mateen Cleaves,PG,23,DET,78,1268,160,400,0.4,5,17,0.294,155,383,0.405,0.406,97,137,0.708,26,106,132,207,49,1,139,153,422,9.0,0.458,0.043,0.343,2.2,9.1,5.6,26.8,2.0,0.1,23.2,20.5,-1.3,1.2,-0.1,-0.006,-4.5,-0.7,-5.2,-1.0,0,0.0,OOR,2001,0.39
John Coker,C,29,GSW,6,32,1,8,0.125,0,0,0.0,1,8,0.125,0.125,0,0,0.0,3,2,5,2,1,0,2,4,2,-2.8,0.125,0.0,0.0,9.2,7.2,8.3,8.8,1.6,0.0,20.0,13.2,-0.1,0.0,-0.1,-0.192,-8.8,-4.0,-12.9,-0.1,0,0.0,OOR,2001,0.207
Derrick Coleman,PF,33,CHH,34,683,97,255,0.38,20,51,0.392,77,204,0.377,0.42,63,92,0.685,46,138,184,39,10,21,42,53,277,13.8,0.469,0.2,0.361,7.7,23.0,15.4,10.2,0.8,2.3,12.4,22.8,0.1,1.1,1.2,0.082,-0.5,-0.5,-0.9,0.2,0,0.0,OOR,2001,0.561
Bimbo Coles,PG,32,CLE,47,804,91,239,0.381,2,16,0.125,89,223,0.399,0.385,48,56,0.857,9,39,48,138,27,6,59,87,232,9.3,0.44,0.067,0.234,1.3,5.6,3.5,27.9,1.8,0.5,18.3,18.1,-0.3,0.3,0.0,0.0,-3.3,-1.5,-4.8,-0.6,0,0.0,OOR,2001,0.366
